T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
64.938086,-208.211914,10000.0,0.1,0.901207,1.109623,100.0,1.603921,88.903771,1035.027199,730.306243,twophase
72.296411,-200.853589,35000.0,0.35,3.110932,0.321447,100.0,1.402939,88.749352,1092.333164,754.888922,twophase
76.10371,-197.04629,60000.0,0.6,5.353843,0.186782,100.0,1.322975,88.793097,1146.9204,777.383642,twophase
78.821388,-194.328612,85000.0,0.85,7.641894,0.130858,100.0,1.273835,88.877104,1202.978337,799.687713,twophase
80.981009,-192.168991,110000.0,1.1,9.977592,0.100225,100.0,1.238893,88.975296,1261.840557,822.252784,twophase
82.794763,-190.355237,135000.0,1.35,12.36173,0.080895,100.0,1.212079,89.079199,1324.323411,845.258756,twophase
84.370573,-188.779427,160000.0,1.6,14.794626,0.067592,100.0,1.190508,89.185263,1391.116037,868.797367,twophase
85.771414,-187.378586,185000.0,1.85,17.27646,0.057882,100.0,1.172584,89.291788,1462.906343,892.92427,twophase
87.037491,-186.112509,210000.0,2.1,19.807387,0.050486,100.0,1.157338,89.397895,1540.442205,917.678229,twophase
88.196162,-184.953838,235000.0,2.35,22.387585,0.044668,100.0,1.144135,89.503111,1624.574328,943.089369,twophase
89.266953,-183.883047,260000.0,2.6,25.017269,0.039972,100.0,1.132539,89.607179,1716.296425,969.183101,twophase
90.264327,-182.885673,285000.0,2.85,27.696694,0.036105,100.0,1.122237,89.709963,1816.790343,995.98212,twophase
91.19932,-181.95068,310000.0,3.1,30.426161,0.032866,100.0,1.112999,89.8114,1927.481808,1023.50746,twophase
92.08056,-181.06944,335000.0,3.35,33.206014,0.030115,100.0,1.104648,89.911466,2050.112887,1051.779049,twophase
92.914931,-180.235069,360000.0,3.6,36.036635,0.02775,100.0,1.097049,90.010166,2186.839176,1080.815997,twophase
93.708022,-179.441978,385000.0,3.85,38.918448,0.025695,100.0,1.090094,90.107519,2340.363334,1110.636713,twophase
94.464436,-178.685564,410000.0,4.1,41.851911,0.023894,100.0,1.083696,90.203554,2514.122579,1141.258922,twophase
95.188016,-177.961984,435000.0,4.35,44.837521,0.022303,100.0,1.077784,90.298304,2712.557974,1172.699612,twophase
95.882003,-177.267997,460000.0,4.6,47.875804,0.020887,100.0,1.072299,90.391806,2941.51069,1204.974928,twophase
96.54916,-176.60084,485000.0,4.85,50.967323,0.01962,100.0,1.067193,90.484099,3208.821307,1238.100028,twophase
97.191864,-175.958136,510000.0,5.1,54.112669,0.01848,100.0,1.062424,90.57522,3525.265044,1272.088905,twophase
97.812173,-175.337827,535000.0,5.35,57.312464,0.017448,100.0,1.057958,90.665207,3906.065289,1306.954177,twophase
98.411885,-174.738115,560000.0,5.6,60.567362,0.016511,100.0,1.053765,90.754096,4373.450658,1342.706845,twophase
98.99258,-174.15742,585000.0,5.85,63.878043,0.015655,100.0,1.049818,90.841924,4961.203923,1379.356028,twophase
99.555652,-173.594348,610000.0,6.1,67.245218,0.014871,100.0,1.046095,90.928723,5723.283002,1416.908657,twophase
100.102341,-173.047659,635000.0,6.35,70.669624,0.01415,100.0,1.042577,91.014527,6751.512294,1455.36915,twophase
100.633755,-172.516245,660000.0,6.6,74.152027,0.013486,100.0,1.039246,91.099367,8215.845072,1494.739041,twophase
101.150887,-171.999113,685000.0,6.85,77.693221,0.012871,100.0,1.036086,91.183272,10469.8654,1535.016589,twophase
101.65463,-171.49537,710000.0,7.1,81.294028,0.012301,100.0,1.033086,91.266271,14390.486743,1576.196339,twophase
102.145793,-171.004207,735000.0,7.35,84.955297,0.011771,100.0,1.030231,91.348391,22914.535766,1618.268656,twophase
102.62511,-170.52489,760000.0,7.6,88.677904,0.011277,100.0,1.027512,91.429658,55691.427768,1661.219212,twophase
103.093249,-170.056751,785000.0,7.85,92.462755,0.010815,100.0,1.024918,91.510095,-132193.764927,1705.028441,twophase
103.55082,-169.59918,810000.0,8.1,96.310782,0.010383,100.0,1.022442,91.589727,-30377.869351,1749.670951,twophase
103.998382,-169.151618,835000.0,8.35,100.222946,0.009978,100.0,1.020075,91.668575,-17212.588149,1795.114895,twophase
104.436447,-168.713553,860000.0,8.6,104.200238,0.009597,100.0,1.01781,91.74666,-12036.066771,1841.321305,twophase
104.865489,-168.284511,885000.0,8.85,108.243677,0.009238,100.0,1.01564,91.824003,-9271.750043,1888.243386,twophase
105.285944,-167.864056,910000.0,9.1,112.35431,0.0089,100.0,1.01356,91.900622,-7554.216435,1935.825774,twophase
105.698216,-167.451784,935000.0,9.35,116.533216,0.008581,100.0,1.011564,91.976537,-6385.472413,1984.003759,twophase
106.102679,-167.047321,960000.0,9.6,120.781503,0.008279,100.0,1.009647,92.051763,-5540.597596,2032.702479,twophase
106.49968,-166.65032,985000.0,9.85,125.100311,0.007994,100.0,1.007805,92.126319,-4903.196554,2081.836095,twophase
106.889544,-166.260456,1010000.0,10.1,129.490808,0.007723,100.0,1.006033,92.200219,-4407.045669,2131.306945,twophase
107.272572,-165.877428,1035000.0,10.35,133.954199,0.007465,100.0,1.004327,92.273478,-4011.743502,2181.004693,twophase
107.649047,-165.500953,1060000.0,10.6,138.491717,0.007221,100.0,1.002685,92.346113,-3691.295427,2230.805485,twophase
108.019233,-165.130767,1085000.0,10.85,143.104632,0.006988,100.0,1.001102,92.418135,-3428.270181,2280.571123,twophase
108.383377,-164.766623,1110000.0,11.1,147.794244,0.006766,100.0,0.999576,92.489559,-3210.595491,2330.148279,twophase
108.741711,-164.408289,1135000.0,11.35,152.561891,0.006555,100.0,0.998103,92.560396,-3029.70114,2379.36776,twophase
109.094454,-164.055546,1160000.0,11.6,157.408945,0.006353,100.0,0.996681,92.63066,-2879.393406,2428.043865,twophase
109.441811,-163.708189,1185000.0,11.85,162.336814,0.00616,100.0,0.995308,92.700362,-2755.147367,2475.973839,twophase
109.783977,-163.366023,1210000.0,12.1,167.346945,0.005976,100.0,0.993981,92.769512,-2653.648709,2522.937476,twophase
110.121133,-163.028867,1235000.0,12.35,172.440819,0.005799,100.0,0.992699,92.838123,-2572.490463,2568.69689,twophase
110.453453,-162.696547,1260000.0,12.6,177.61996,0.00563,100.0,0.991458,92.906203,-2509.969517,2612.99651,twophase
110.781101,-162.368899,1285000.0,12.85,182.885931,0.005468,100.0,0.990258,92.973762,-2464.949735,2655.563324,twophase
111.104231,-162.045769,1310000.0,13.1,188.240334,0.005312,100.0,0.989095,93.040811,-2436.771291,2696.107431,twophase
111.42299,-161.72701,1335000.0,13.35,193.684815,0.005163,100.0,0.98797,93.107358,-2425.193453,2734.322956,twophase
111.737517,-161.412483,1360000.0,13.6,199.221062,0.00502,100.0,0.98688,93.173413,-2430.362839,2769.889359,twophase
112.047944,-161.102056,1385000.0,13.85,204.850808,0.004882,100.0,0.985823,93.238982,-2452.802192,2802.47322,twophase
112.354399,-160.795601,1410000.0,14.1,210.57583,0.004749,100.0,0.984799,93.304075,-2493.416596,2831.730528,twophase
112.656999,-160.493001,1435000.0,14.35,216.397954,0.004621,100.0,0.983806,93.368699,-2553.515182,2857.309549,twophase
112.95586,-160.19414,1460000.0,14.6,222.319053,0.004498,100.0,0.982842,93.432862,-2634.846599,2878.854294,twophase
113.25109,-159.89891,1485000.0,14.85,228.341047,0.004379,100.0,0.981907,93.49657,-2739.645664,2896.008659,twophase
113.542792,-159.607208,1510000.0,15.1,234.465911,0.004265,100.0,0.980999,93.559831,-2870.68586,2908.421232,twophase
113.831067,-159.318933,1535000.0,15.35,240.695667,0.004155,100.0,0.980118,93.622652,-3031.326034,2915.750811,twophase
114.116008,-159.033992,1560000.0,15.6,247.032396,0.004048,100.0,0.979262,93.685039,-3225.526796,2917.67261,twophase
114.397707,-158.752293,1585000.0,15.85,253.478231,0.003945,100.0,0.978431,93.746998,-3457.786707,2913.885128,twophase
114.67625,-158.47375,1610000.0,16.1,260.035363,0.003846,100.0,0.977623,93.808534,-3732.900154,2904.117628,twophase
114.951719,-158.198281,1635000.0,16.35,266.70604,0.003749,100.0,0.976838,93.869655,-4055.350255,2888.13813,twophase
115.224195,-157.925805,1660000.0,16.6,273.492572,0.003656,100.0,0.976075,93.930365,-4427.997608,2865.761786,twophase
115.493754,-157.656246,1685000.0,16.85,280.397333,0.003566,100.0,0.975333,93.99067,-4849.492317,2836.859458,twophase
115.760468,-157.389532,1710000.0,17.1,287.422757,0.003479,100.0,0.974611,94.050575,-5309.575795,2801.366286,twophase
116.024409,-157.125591,1735000.0,17.35,294.571347,0.003395,100.0,0.973909,94.110086,-5781.462436,2759.289967,twophase
116.285643,-156.864357,1760000.0,17.6,301.845674,0.003313,100.0,0.973226,94.169206,-6211.765066,2710.718425,twophase
116.544236,-156.605764,1785000.0,17.85,309.24838,0.003234,100.0,0.972561,94.227941,-6512.803423,2655.826523,twophase
116.800249,-156.349751,1810000.0,18.1,316.782179,0.003157,100.0,0.971914,94.286295,-6570.280841,2594.881406,twophase
117.053744,-156.096256,1835000.0,18.35,324.449861,0.003082,100.0,0.971284,94.344272,-6282.907185,2528.246059,twophase
117.304777,-155.845223,1860000.0,18.6,332.254292,0.00301,100.0,0.970671,94.401878,-5628.169463,2456.380659,twophase
117.553404,-155.596596,1885000.0,18.85,340.198423,0.002939,100.0,0.970074,94.459116,-4701.730748,2379.84131,twophase
117.799679,-155.350321,1910000.0,19.1,348.285283,0.002871,100.0,0.969492,94.51599,-3677.844546,2299.275788,twophase
118.043654,-155.106346,1935000.0,19.35,356.517991,0.002805,100.0,0.968926,94.572504,-2720.793073,2215.416022,twophase
118.285378,-154.864622,1960000.0,19.6,364.899754,0.00274,100.0,0.968374,94.628662,-1926.731828,2129.067118,twophase
118.524899,-154.625101,1985000.0,19.85,373.433871,0.002678,100.0,0.967836,94.684467,-1323.127711,2041.092914,twophase
118.762265,-154.387735,2010000.0,20.1,382.123739,0.002617,100.0,0.967313,94.739924,-896.412589,1952.398204,twophase
118.997518,-154.152482,2035000.0,20.35,390.972854,0.002558,100.0,0.966802,94.795035,-617.839449,1863.908002,twophase
119.230704,-153.919296,2060000.0,20.6,399.984813,0.0025,100.0,0.966304,94.849804,-458.274488,1776.544433,twophase
