T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
846.763633,573.613633,10000.0,0.1,0.04114,24.307105,1000.0,5.630958,756.928952,1109.193411,822.133936,supercritical_gas
846.754828,573.604828,35000.0,0.35,0.14398,6.945407,1000.0,5.271329,756.910761,1109.226529,822.141194,supercritical_gas
846.746017,573.596017,60000.0,0.6,0.246804,4.051791,1000.0,5.116586,756.892566,1109.259631,822.148449,supercritical_gas
846.737199,573.587199,85000.0,0.85,0.349613,2.860302,1000.0,5.01658,756.874368,1109.292715,822.155701,supercritical_gas
846.728376,573.578376,110000.0,1.1,0.452407,2.210398,1000.0,4.942546,756.856167,1109.325781,822.162949,supercritical_gas
846.719546,573.569546,135000.0,1.35,0.555185,1.8012,1000.0,4.883736,756.837963,1109.35883,822.170195,supercritical_gas
846.710711,573.560711,160000.0,1.6,0.657948,1.519877,1000.0,4.834942,756.819756,1109.391863,822.177438,supercritical_gas
846.701869,573.551869,185000.0,1.85,0.760696,1.314586,1000.0,4.793243,756.801546,1109.424877,822.184678,supercritical_gas
846.693021,573.543021,210000.0,2.1,0.863428,1.158175,1000.0,4.756834,756.783333,1109.457875,822.191915,supercritical_gas
846.684167,573.534167,235000.0,2.35,0.966144,1.035042,1000.0,4.724523,756.765117,1109.490856,822.199149,supercritical_gas
846.675307,573.525307,260000.0,2.6,1.068846,0.935589,1000.0,4.695479,756.746898,1109.523819,822.20638,supercritical_gas
846.666441,573.516441,285000.0,2.85,1.171531,0.853584,1000.0,4.669101,756.728676,1109.556765,822.213608,supercritical_gas
846.657569,573.507569,310000.0,3.1,1.274202,0.784805,1000.0,4.644941,756.710451,1109.589695,822.220833,supercritical_gas
846.648691,573.498691,335000.0,3.35,1.376857,0.726292,1000.0,4.622653,756.692222,1109.622607,822.228055,supercritical_gas
846.639807,573.489807,360000.0,3.6,1.479497,0.675906,1000.0,4.601969,756.673991,1109.655502,822.235274,supercritical_gas
846.630917,573.480917,385000.0,3.85,1.582121,0.632063,1000.0,4.582672,756.655757,1109.68838,822.242491,supercritical_gas
846.622021,573.472021,410000.0,4.1,1.68473,0.593567,1000.0,4.564588,756.63752,1109.721242,822.249704,supercritical_gas
846.613119,573.463119,435000.0,4.35,1.787323,0.559496,1000.0,4.547574,756.61928,1109.754086,822.256914,supercritical_gas
846.604211,573.454211,460000.0,4.6,1.889901,0.529128,1000.0,4.531509,756.601037,1109.786914,822.264121,supercritical_gas
846.595297,573.445297,485000.0,4.85,1.992464,0.501891,1000.0,4.516293,756.582791,1109.819724,822.271325,supercritical_gas
846.586377,573.436377,510000.0,5.1,2.095011,0.477324,1000.0,4.501841,756.564542,1109.852518,822.278527,supercritical_gas
846.577451,573.427451,535000.0,5.35,2.197543,0.455054,1000.0,4.488079,756.54629,1109.885295,822.285725,supercritical_gas
846.568519,573.418519,560000.0,5.6,2.300059,0.434771,1000.0,4.474945,756.528035,1109.918056,822.29292,supercritical_gas
846.559582,573.409582,585000.0,5.85,2.402561,0.416223,1000.0,4.462384,756.509777,1109.950799,822.300113,supercritical_gas
846.550638,573.400638,610000.0,6.1,2.505046,0.399194,1000.0,4.450347,756.491516,1109.983526,822.307302,supercritical_gas
846.541688,573.391688,635000.0,6.35,2.607516,0.383507,1000.0,4.438793,756.473252,1110.016236,822.314489,supercritical_gas
846.532733,573.382733,660000.0,6.6,2.709971,0.369008,1000.0,4.427684,756.454986,1110.04893,822.321672,supercritical_gas
846.523771,573.373771,685000.0,6.85,2.812411,0.355567,1000.0,4.416987,756.436716,1110.081607,822.328853,supercritical_gas
846.514804,573.364804,710000.0,7.1,2.914835,0.343073,1000.0,4.406673,756.418444,1110.114268,822.336031,supercritical_gas
846.505831,573.355831,735000.0,7.35,3.017243,0.331428,1000.0,4.396715,756.400168,1110.146911,822.343206,supercritical_gas
846.496852,573.346852,760000.0,7.6,3.119637,0.32055,1000.0,4.387089,756.38189,1110.179539,822.350377,supercritical_gas
846.487867,573.337867,785000.0,7.85,3.222015,0.310365,1000.0,4.377774,756.363609,1110.21215,822.357546,supercritical_gas
846.478876,573.328876,810000.0,8.1,3.324377,0.300808,1000.0,4.36875,756.345325,1110.244744,822.364712,supercritical_gas
846.46988,573.31988,835000.0,8.35,3.426724,0.291824,1000.0,4.36,756.327038,1110.277322,822.371876,supercritical_gas
846.460878,573.310878,860000.0,8.6,3.529056,0.283362,1000.0,4.351508,756.308748,1110.309884,822.379036,supercritical_gas
846.451869,573.301869,885000.0,8.85,3.631372,0.275378,1000.0,4.343258,756.290455,1110.342429,822.386193,supercritical_gas
846.442855,573.292855,910000.0,9.1,3.733673,0.267833,1000.0,4.335237,756.27216,1110.374958,822.393347,supercritical_gas
