T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
65.695568,-207.454432,10000.0,0.1,0.647842,1.543587,151.07345,2.4,135.637577,1024.487044,725.363796,twophase
73.323869,-199.826131,35000.0,0.35,1.925993,0.519213,171.56328,2.4,153.390833,1051.391498,736.38188,twophase
77.251544,-195.898456,60000.0,0.6,3.062827,0.326496,181.53708,2.4,161.947333,1070.942874,743.821807,twophase
80.047555,-193.102445,85000.0,0.85,4.127259,0.242292,188.412012,2.4,167.817231,1087.405732,749.762607,twophase
82.265149,-190.884851,110000.0,1.1,5.143308,0.194427,193.73636,2.4,172.349346,1102.018696,754.802644,twophase
84.12481,-189.02519,135000.0,1.35,6.123349,0.163309,198.116292,2.4,176.069533,1115.359197,759.220263,twophase
85.738535,-187.411465,160000.0,1.6,7.074924,0.141344,201.855646,2.4,179.240562,1127.754895,763.173389,twophase
87.171612,-185.978388,185000.0,1.85,8.003096,0.124952,205.129627,2.4,182.013575,1139.413962,766.762421,twophase
88.465683,-184.684317,210000.0,2.1,8.911494,0.112215,208.048959,2.4,184.483886,1150.478849,770.05613,twophase
90.22779,-182.92221,235000.0,2.35,9.755991,0.102501,210.701912,2.4,186.61415,1156.382261,771.03094,gas
92.900671,-180.249329,260000.0,2.6,10.493593,0.095296,213.171763,2.4,188.39474,1154.071283,768.500552,gas
95.401829,-177.748171,285000.0,2.85,11.211363,0.089195,215.475894,2.4,190.055257,1152.431573,766.443769,gas
97.755936,-175.394064,310000.0,3.1,11.911471,0.083953,217.63866,2.4,191.613326,1151.267409,764.731831,gas
99.982482,-173.167518,335000.0,3.35,12.595688,0.079392,219.6792,2.4,193.082797,1150.450102,763.279133,gas
102.097153,-171.052847,360000.0,3.6,13.265488,0.075384,221.612862,2.4,194.474771,1149.891944,762.026612,gas
104.112783,-169.037217,385000.0,3.85,13.92211,0.071828,223.452151,2.4,195.798297,1149.531317,760.93221,gas
106.040012,-167.109988,410000.0,4.1,14.566614,0.06865,225.207411,2.4,197.060856,1149.323799,759.96516,gas
107.887775,-165.262225,435000.0,4.35,15.199911,0.06579,226.887302,2.4,198.268713,1149.236636,759.102415,gas
109.663652,-163.486348,460000.0,4.6,15.822795,0.0632,228.499155,2.4,199.427174,1149.245209,758.326357,gas
111.374133,-161.775867,485000.0,4.85,16.435963,0.060842,230.049233,2.4,200.54077,1149.330695,757.62327,gas
113.024826,-160.125174,510000.0,5.1,17.040029,0.058685,231.542937,2.4,201.61341,1149.478485,756.982305,gas
114.620609,-158.529391,535000.0,5.35,17.63554,0.056704,232.984959,2.4,202.648491,1149.677091,756.394756,gas
116.165757,-156.984243,560000.0,5.6,18.222986,0.054876,234.379401,2.4,203.648983,1149.917371,755.853546,gas
117.664039,-155.485961,585000.0,5.85,18.802807,0.053184,235.729877,2.4,204.617501,1150.191972,755.352861,gas
119.118795,-154.031205,610000.0,6.1,19.3754,0.051612,237.039582,2.4,205.556362,1150.494929,754.887868,gas
120.533002,-152.616998,635000.0,6.35,19.941127,0.050148,238.311364,2.4,206.467626,1150.821355,754.454515,gas
121.909327,-151.240673,660000.0,6.6,20.500315,0.04878,239.547765,2.4,207.353138,1151.167221,754.049375,gas
123.250165,-149.899835,685000.0,6.85,21.053266,0.047499,240.751073,2.4,208.214554,1151.529181,753.669529,gas
124.557681,-148.592319,710000.0,7.1,21.600256,0.046296,241.923346,2.4,209.053366,1151.904436,753.312468,gas
125.833835,-147.316165,735000.0,7.35,22.141539,0.045164,243.066452,2.4,209.870928,1152.290637,752.976026,gas
127.080413,-146.069587,760000.0,7.6,22.67735,0.044097,244.182084,2.4,210.668468,1152.685799,752.658318,gas
128.29904,-144.85096,785000.0,7.85,23.207906,0.043089,245.271787,2.4,211.447106,1153.088236,752.357697,gas
129.491205,-143.658795,810000.0,8.1,23.733409,0.042135,246.336972,2.4,212.207868,1153.496514,752.072715,gas
130.658276,-142.491724,835000.0,8.35,24.254047,0.04123,247.378935,2.4,212.95169,1153.909404,751.802094,gas
131.801509,-141.348491,860000.0,8.6,24.769995,0.040371,248.398864,2.4,213.679438,1154.325855,751.544698,gas
132.922064,-140.227936,885000.0,8.85,25.281417,0.039555,249.397857,2.4,214.391907,1154.744958,751.299519,supercritical_gas
