T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
173.15,-100.0,15000000.0,150.0,440.051124,0.002272,200.805304,1.483842,166.718355,2199.490053,844.567233,supercritical
175.15,-98.0,15000000.0,150.0,429.346647,0.002329,205.18537,1.508994,170.248565,2180.058269,841.798185,supercritical
177.15,-96.0,15000000.0,150.0,418.946802,0.002387,209.523595,1.533623,173.719527,2157.715777,838.971986,supercritical
179.15,-94.0,15000000.0,150.0,408.871169,0.002446,213.814569,1.557709,177.128196,2132.877827,836.102158,supercritical
181.15,-92.0,15000000.0,150.0,399.134008,0.002505,218.053737,1.581241,180.472374,2105.985719,833.203941,supercritical
183.15,-90.0,15000000.0,150.0,389.744468,0.002566,222.237439,1.60421,183.750684,2077.485257,830.293243,supercritical
185.15,-88.0,15000000.0,150.0,380.706988,0.002627,226.362895,1.626613,186.962515,2047.808673,827.385736,supercritical
187.15,-86.0,15000000.0,150.0,372.021813,0.002688,230.428161,1.648453,190.107944,2017.360477,824.496144,supercritical
189.15,-84.0,15000000.0,150.0,363.685589,0.00275,234.432068,1.669733,193.187651,1986.507307,821.637748,supercritical
191.15,-82.0,15000000.0,150.0,355.691971,0.002811,238.374136,1.690465,196.202816,1955.571617,818.822099,supercritical
193.15,-80.0,15000000.0,150.0,348.032229,0.002873,242.254484,1.71066,199.155027,1924.828786,816.058895,supercritical
195.15,-78.0,15000000.0,150.0,340.695807,0.002935,246.073733,1.730332,202.046188,1894.507099,813.355994,supercritical
197.15,-76.0,15000000.0,150.0,333.670834,0.002997,249.832916,1.749497,204.878433,1864.789927,810.71952,supercritical
199.15,-74.0,15000000.0,150.0,326.94456,0.003059,253.533391,1.768173,207.654053,1835.819436,808.154025,supercritical
201.15,-72.0,15000000.0,150.0,320.503726,0.00312,257.176763,1.786377,210.375435,1807.701206,805.662678,supercritical
203.15,-70.0,15000000.0,150.0,314.334867,0.003181,260.764814,1.804126,213.045004,1780.509245,803.247467,supercritical
205.15,-68.0,15000000.0,150.0,308.424554,0.003242,264.299449,1.821441,215.665189,1754.291007,800.90939,supercritical
207.15,-66.0,15000000.0,150.0,302.759577,0.003303,267.782645,1.838337,218.238382,1729.072126,798.648633,supercritical
209.15,-64.0,15000000.0,150.0,297.327082,0.003363,271.21641,1.854834,220.766919,1704.86072,796.464732,supercritical
211.15,-62.0,15000000.0,150.0,292.114673,0.003423,274.602756,1.870949,223.253059,1681.651162,794.356707,supercritical
213.15,-60.0,15000000.0,150.0,287.110472,0.003483,277.943672,1.886697,225.698973,1659.427304,792.323183,supercritical
215.15,-58.0,15000000.0,150.0,282.303162,0.003542,281.241106,1.902095,228.106738,1638.165176,790.362485,supercritical
217.15,-56.0,15000000.0,150.0,277.682007,0.003601,284.496954,1.917158,230.47833,1617.835196,788.47272,supercritical
219.15,-54.0,15000000.0,150.0,273.236857,0.00366,287.713046,1.931901,232.815621,1598.403953,786.651846,supercritical
221.15,-52.0,15000000.0,150.0,268.95814,0.003718,290.891145,1.946337,235.120385,1579.835624,784.89772,supercritical
223.15,-50.0,15000000.0,150.0,264.836849,0.003776,294.032939,1.96048,237.394295,1562.093079,783.208144,supercritical
225.15,-48.0,15000000.0,150.0,260.86452,0.003833,297.140043,1.974342,239.638931,1545.138727,781.580896,supercritical
227.15,-46.0,15000000.0,150.0,257.03321,0.003891,300.213995,1.987935,241.855777,1528.935157,780.013759,supercritical
229.15,-44.0,15000000.0,150.0,253.33547,0.003947,303.256259,2.001269,244.046233,1513.445616,778.504536,supercritical
231.15,-42.0,15000000.0,150.0,249.76432,0.004004,306.26823,2.014356,246.211613,1498.634343,777.051073,supercritical
233.15,-40.0,15000000.0,150.0,246.313215,0.00406,309.251226,2.027206,248.353154,1484.466806,775.651262,supercritical
235.15,-38.0,15000000.0,150.0,242.976027,0.004116,312.206504,2.039827,250.472018,1470.909862,774.303054,supercritical
