T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
173.15,-100.0,2000000.0,20.0,43.677465,0.022895,286.018509,2.425734,240.228305,1158.668115,743.42886,supercritical_gas
175.15,-98.0,2000000.0,20.0,43.030121,0.02324,288.329552,2.439005,241.850483,1152.443209,742.174904,supercritical_gas
177.15,-96.0,2000000.0,20.0,42.405413,0.023582,290.628541,2.452056,243.464751,1146.607878,741.001672,supercritical_gas
179.15,-94.0,2000000.0,20.0,41.801995,0.023922,292.916221,2.464898,245.071615,1141.128806,739.90269,supercritical_gas
181.15,-92.0,2000000.0,20.0,41.218639,0.024261,295.193274,2.477538,246.671537,1135.976327,738.872135,supercritical_gas
183.15,-90.0,2000000.0,20.0,40.654219,0.024598,297.460326,2.489984,248.264941,1131.123934,737.904751,supercritical_gas
185.15,-88.0,2000000.0,20.0,40.107698,0.024933,299.717954,2.502244,249.852215,1126.547873,736.995787,supercritical_gas
187.15,-86.0,2000000.0,20.0,39.578121,0.025266,301.966688,2.514324,251.433718,1122.226788,736.140933,supercritical_gas
189.15,-84.0,2000000.0,20.0,39.064608,0.025599,304.207018,2.526231,253.009781,1118.141433,735.336277,supercritical_gas
191.15,-82.0,2000000.0,20.0,38.566341,0.025929,306.439399,2.537972,254.580707,1114.274416,734.578259,supercritical_gas
193.15,-80.0,2000000.0,20.0,38.082564,0.026259,308.664251,2.549551,256.146779,1110.609982,733.863631,supercritical_gas
195.15,-78.0,2000000.0,20.0,37.612575,0.026587,310.881965,2.560973,257.708259,1107.133827,733.189429,supercritical_gas
197.15,-76.0,2000000.0,20.0,37.15572,0.026914,313.092903,2.572245,259.265391,1103.832936,732.552941,supercritical_gas
199.15,-74.0,2000000.0,20.0,36.71139,0.02724,315.297405,2.583371,260.8184,1100.695443,731.951684,supercritical_gas
201.15,-72.0,2000000.0,20.0,36.279014,0.027564,317.495787,2.594354,262.367497,1097.710508,731.38338,supercritical_gas
203.15,-70.0,2000000.0,20.0,35.858062,0.027888,319.688342,2.605201,263.912879,1094.868211,730.845936,supercritical_gas
205.15,-68.0,2000000.0,20.0,35.448034,0.02821,321.875348,2.615914,265.45473,1092.159454,730.337428,supercritical_gas
207.15,-66.0,2000000.0,20.0,35.048463,0.028532,324.057064,2.626497,266.993221,1089.575886,729.856088,supercritical_gas
209.15,-64.0,2000000.0,20.0,34.658911,0.028853,326.23373,2.636954,268.528514,1087.109824,729.400282,supercritical_gas
211.15,-62.0,2000000.0,20.0,34.278966,0.029172,328.405576,2.647289,270.060759,1084.754189,728.968506,supercritical_gas
213.15,-60.0,2000000.0,20.0,33.908238,0.029491,330.572816,2.657505,271.590099,1082.502452,728.559371,supercritical_gas
