T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
173.15,-100.0,700000.0,7.0,14.477797,0.069071,294.810404,2.763265,246.460506,1050.028837,724.734621,supercritical_gas
175.15,-98.0,700000.0,7.0,14.297235,0.069944,296.908837,2.775315,247.948321,1048.418173,724.336857,supercritical_gas
177.15,-96.0,700000.0,7.0,14.121442,0.070814,299.004132,2.78721,249.434124,1046.890329,723.963417,supercritical_gas
179.15,-94.0,700000.0,7.0,13.950218,0.071683,301.09645,2.798955,250.918021,1045.439763,723.612587,supercritical_gas
181.15,-92.0,700000.0,7.0,13.783373,0.072551,303.185939,2.810554,252.400113,1044.0614,723.282799,supercritical_gas
183.15,-90.0,700000.0,7.0,13.620732,0.073417,305.27274,2.82201,253.880494,1042.75058,722.972622,supercritical_gas
185.15,-88.0,700000.0,7.0,13.462125,0.074282,307.356984,2.833329,255.359251,1041.503025,722.680747,supercritical_gas
187.15,-86.0,700000.0,7.0,13.307396,0.075146,309.438792,2.844512,256.836465,1040.314796,722.405974,supercritical_gas
189.15,-84.0,700000.0,7.0,13.156395,0.076009,311.51828,2.855565,258.312214,1039.182267,722.147204,supercritical_gas
191.15,-82.0,700000.0,7.0,13.00898,0.07687,313.595556,2.866489,259.78657,1038.102091,721.903427,supercritical_gas
193.15,-80.0,700000.0,7.0,12.865017,0.07773,315.670721,2.877289,261.259599,1037.071178,721.673718,supercritical_gas
195.15,-78.0,700000.0,7.0,12.72438,0.078589,317.743872,2.887967,262.731366,1036.086671,721.457225,supercritical_gas
197.15,-76.0,700000.0,7.0,12.586947,0.079447,319.815097,2.898527,264.201931,1035.145926,721.253166,supercritical_gas
199.15,-74.0,700000.0,7.0,12.452606,0.080304,321.884483,2.90897,265.671349,1034.246494,721.060822,supercritical_gas
201.15,-72.0,700000.0,7.0,12.321246,0.081161,323.952109,2.919301,267.139673,1033.386101,720.879529,supercritical_gas
203.15,-70.0,700000.0,7.0,12.192765,0.082016,326.018052,2.929521,268.606955,1032.562639,720.708678,supercritical_gas
205.15,-68.0,700000.0,7.0,12.067064,0.08287,328.082383,2.939633,270.073242,1031.774147,720.547705,supercritical_gas
207.15,-66.0,700000.0,7.0,11.944049,0.083724,330.145171,2.949639,271.538578,1031.018801,720.396092,supercritical_gas
209.15,-64.0,700000.0,7.0,11.823631,0.084576,332.206479,2.959542,273.003006,1030.294904,720.253362,supercritical_gas
211.15,-62.0,700000.0,7.0,11.705724,0.085428,334.26637,2.969344,274.466567,1029.600875,720.119072,supercritical_gas
213.15,-60.0,700000.0,7.0,11.590248,0.086279,336.324902,2.979047,275.929298,1028.935237,719.992816,supercritical_gas
215.15,-58.0,700000.0,7.0,11.477124,0.08713,338.382129,2.988654,277.391238,1028.296616,719.874218,supercritical_gas
217.15,-56.0,700000.0,7.0,11.366278,0.08798,340.438105,2.998166,278.85242,1027.683724,719.762931,supercritical_gas
219.15,-54.0,700000.0,7.0,11.257638,0.088829,342.49288,3.007585,280.312877,1027.09536,719.658633,supercritical_gas
221.15,-52.0,700000.0,7.0,11.151138,0.089677,344.546502,3.016913,281.772641,1026.530401,719.56103,supercritical_gas
223.15,-50.0,700000.0,7.0,11.046712,0.090525,346.599017,3.026153,283.231743,1025.987793,719.469847,supercritical_gas
225.15,-48.0,700000.0,7.0,10.944296,0.091372,348.650468,3.035305,284.690211,1025.466551,719.384833,supercritical_gas
227.15,-46.0,700000.0,7.0,10.843832,0.092218,350.700897,3.044372,286.148073,1024.965753,719.305753,supercritical_gas
229.15,-44.0,700000.0,7.0,10.745262,0.093064,352.750344,3.053355,287.605355,1024.48453,719.232392,supercritical_gas
231.15,-42.0,700000.0,7.0,10.648531,0.09391,354.798847,3.062255,289.062082,1024.022071,719.164551,supercritical_gas
233.15,-40.0,700000.0,7.0,10.553586,0.094755,356.846444,3.071076,290.51828,1023.577611,719.102046,supercritical_gas
235.15,-38.0,700000.0,7.0,10.460376,0.095599,358.893169,3.079817,291.973971,1023.150434,719.044709,supercritical_gas
237.15,-36.0,700000.0,7.0,10.368853,0.096443,360.939057,3.08848,293.429177,1022.739865,718.992381,supercritical_gas
239.15,-34.0,700000.0,7.0,10.278969,0.097286,362.984139,3.097068,294.883922,1022.345269,718.944919,supercritical_gas
241.15,-32.0,700000.0,7.0,10.190679,0.098129,365.028448,3.10558,296.338225,1021.966051,718.902189,supercritical_gas
243.15,-30.0,700000.0,7.0,10.10394,0.098971,367.072014,3.11402,297.792107,1021.601647,718.864069,supercritical_gas
245.15,-28.0,700000.0,7.0,10.01871,0.099813,369.114864,3.122387,299.245587,1021.251528,718.830445,supercritical_gas
247.15,-26.0,700000.0,7.0,9.934948,0.100655,371.157029,3.130683,300.698684,1020.915196,718.801214,supercritical_gas
249.15,-24.0,700000.0,7.0,9.852616,0.101496,373.198534,3.13891,302.151416,1020.592178,718.776279,supercritical_gas
251.15,-22.0,700000.0,7.0,9.771677,0.102337,375.239406,3.147069,303.603802,1020.282032,718.755553,supercritical_gas
253.15,-20.0,700000.0,7.0,9.692094,0.103177,377.27967,3.155161,305.055857,1019.984338,718.738955,supercritical_gas
255.15,-18.0,700000.0,7.0,9.613833,0.104017,379.319352,3.163186,306.507599,1019.6987,718.72641,supercritical_gas
257.15,-16.0,700000.0,7.0,9.536859,0.104856,381.358473,3.171147,307.959045,1019.424744,718.717851,supercritical_gas
259.15,-14.0,700000.0,7.0,9.461141,0.105695,383.397058,3.179044,309.410209,1019.162118,718.713215,supercritical_gas
261.15,-12.0,700000.0,7.0,9.386647,0.106534,385.435129,3.186878,310.861107,1018.910485,718.712446,supercritical_gas
263.15,-10.0,700000.0,7.0,9.313346,0.107373,387.472707,3.194651,312.311753,1018.669532,718.715491,supercritical_gas
265.15,-8.0,700000.0,7.0,9.241211,0.108211,389.509814,3.202363,313.762164,1018.438957,718.722303,supercritical_gas
267.15,-6.0,700000.0,7.0,9.170211,0.109049,391.54647,3.210015,315.212352,1018.218478,718.73284,supercritical_gas
269.15,-4.0,700000.0,7.0,9.100321,0.109886,393.582694,3.217608,316.662331,1018.007827,718.747062,supercritical_gas
271.15,-2.0,700000.0,7.0,9.031513,0.110723,395.618507,3.225144,318.112116,1017.80675,718.764933,supercritical_gas
273.15,0.0,700000.0,7.0,8.963762,0.11156,397.653928,3.232623,319.561719,1017.615005,718.786422,supercritical_gas
275.15,2.0,700000.0,7.0,8.897044,0.112397,399.688973,3.240047,321.011153,1017.432364,718.8115,supercritical_gas
277.15,4.0,700000.0,7.0,8.831333,0.113233,401.723663,3.247415,322.460432,1017.25861,718.840142,supercritical_gas
279.15,6.0,700000.0,7.0,8.766608,0.114069,403.758014,3.254729,323.909567,1017.093537,718.872323,supercritical_gas
281.15,8.0,700000.0,7.0,8.702845,0.114905,405.792043,3.261989,325.358571,1016.93695,718.908023,supercritical_gas
283.15,10.0,700000.0,7.0,8.640022,0.11574,407.825767,3.269197,326.807456,1016.788663,718.947224,supercritical_gas
285.15,12.0,700000.0,7.0,8.578119,0.116576,409.859203,3.276353,328.256234,1016.648501,718.98991,supercritical_gas
287.15,14.0,700000.0,7.0,8.517115,0.117411,411.892366,3.283459,329.704916,1016.516294,719.036066,supercritical_gas
289.15,16.0,700000.0,7.0,8.456991,0.118245,413.925273,3.290514,331.153515,1016.391885,719.08568,supercritical_gas
291.15,18.0,700000.0,7.0,8.397726,0.11908,415.957939,3.297519,332.60204,1016.27512,719.138741,supercritical_gas
293.15,20.0,700000.0,7.0,8.339302,0.119914,417.990379,3.304476,334.050504,1016.165856,719.195239,supercritical_gas
295.15,22.0,700000.0,7.0,8.281702,0.120748,420.022607,3.311385,335.498917,1016.063954,719.255168,supercritical_gas
297.15,24.0,700000.0,7.0,8.224907,0.121582,422.054639,3.318246,336.947291,1015.969284,719.318519,supercritical_gas
299.15,26.0,700000.0,7.0,8.1689,0.122416,424.086489,3.325061,338.395635,1015.881721,719.385289,supercritical_gas
301.15,28.0,700000.0,7.0,8.113665,0.123249,426.118171,3.33183,339.843961,1015.801145,719.455471,supercritical_gas
303.15,30.0,700000.0,7.0,8.059185,0.124082,428.149698,3.338554,341.292278,1015.727442,719.529063,supercritical_gas
305.15,32.0,700000.0,7.0,8.005445,0.124915,430.181085,3.345233,342.740598,1015.660504,719.606062,supercritical_gas
307.15,34.0,700000.0,7.0,7.95243,0.125748,432.212345,3.351868,344.18893,1015.600227,719.686465,supercritical_gas
309.15,36.0,700000.0,7.0,7.900124,0.12658,434.24349,3.358459,345.637285,1015.546511,719.770273,supercritical_gas
311.15,38.0,700000.0,7.0,7.848514,0.127413,436.274535,3.365008,347.085673,1015.499262,719.857484,supercritical_gas
313.15,40.0,700000.0,7.0,7.797585,0.128245,438.305492,3.371514,348.534102,1015.458388,719.948097,supercritical_gas
315.15,42.0,700000.0,7.0,7.747323,0.129077,440.336373,3.377979,349.982584,1015.423802,720.042114,supercritical_gas
317.15,44.0,700000.0,7.0,7.697716,0.129909,442.367191,3.384402,351.431128,1015.395421,720.139534,supercritical_gas
319.15,46.0,700000.0,7.0,7.648751,0.13074,444.397959,3.390786,352.879744,1015.373165,720.240359,supercritical_gas
321.15,48.0,700000.0,7.0,7.600414,0.131572,446.428688,3.397129,354.32844,1015.356956,720.34459,supercritical_gas
323.15,50.0,700000.0,7.0,7.552694,0.132403,448.45939,3.403432,355.777228,1015.346721,720.452229,supercritical_gas
325.15,52.0,700000.0,7.0,7.505578,0.133234,450.490079,3.409697,357.226115,1015.342389,720.563277,supercritical_gas
327.15,54.0,700000.0,7.0,7.459056,0.134065,452.520764,3.415923,358.675112,1015.343891,720.677735,supercritical_gas
329.15,56.0,700000.0,7.0,7.413116,0.134896,454.551458,3.422111,360.124227,1015.351161,720.795606,supercritical_gas
331.15,58.0,700000.0,7.0,7.367746,0.135727,456.582172,3.428262,361.57347,1015.364136,720.916891,supercritical_gas
333.15,60.0,700000.0,7.0,7.322937,0.136557,458.612918,3.434376,363.02285,1015.382755,721.041591,supercritical_gas
335.15,62.0,700000.0,7.0,7.278676,0.137388,460.643707,3.440454,364.472377,1015.406959,721.16971,supercritical_gas
337.15,64.0,700000.0,7.0,7.234956,0.138218,462.67455,3.446495,365.922058,1015.43669,721.301247,supercritical_gas
339.15,66.0,700000.0,7.0,7.191765,0.139048,464.705458,3.452501,367.371904,1015.471893,721.436205,supercritical_gas
341.15,68.0,700000.0,7.0,7.149093,0.139878,466.736441,3.458472,368.821922,1015.512515,721.574584,supercritical_gas
343.15,70.0,700000.0,7.0,7.106932,0.140708,468.767511,3.464408,370.272123,1015.558503,721.716387,supercritical_gas
345.15,72.0,700000.0,7.0,7.065271,0.141537,470.798679,3.47031,371.722514,1015.609808,721.861613,supercritical_gas
347.15,74.0,700000.0,7.0,7.024103,0.142367,472.829954,3.476179,373.173104,1015.66638,722.010263,supercritical_gas
349.15,76.0,700000.0,7.0,6.983418,0.143196,474.861348,3.482013,374.623903,1015.728171,722.162337,supercritical_gas
351.15,78.0,700000.0,7.0,6.943208,0.144026,476.89287,3.487815,376.074918,1015.795137,722.317837,supercritical_gas
353.15,80.0,700000.0,7.0,6.903464,0.144855,478.924532,3.493585,377.526159,1015.867231,722.47676,supercritical_gas
