T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
173.15,-100.0,99024.259942,0.990243,2.0,0.5,298.667361,3.340237,249.155231,1008.654967,716.558006,supercritical_gas
175.15,-98.0,100178.038881,1.00178,2.0,0.5,300.677332,3.348466,250.588312,1008.531965,716.523552,supercritical_gas
177.15,-96.0,101331.75949,1.013318,2.0,0.5,302.687207,3.356601,252.021327,1008.414232,716.491436,supercritical_gas
179.15,-94.0,102485.424149,1.024854,2.0,0.5,304.696992,3.364645,253.45428,1008.301532,716.461564,supercritical_gas
181.15,-92.0,103639.035101,1.03639,2.0,0.5,306.706692,3.372599,254.887175,1008.193644,716.433851,supercritical_gas
183.15,-90.0,104792.594463,1.047926,2.0,0.5,308.716314,3.380465,256.320016,1008.090369,716.408222,supercritical_gas
185.15,-88.0,105946.104237,1.059461,2.0,0.5,310.725861,3.388246,257.752809,1007.991519,716.384609,supercritical_gas
187.15,-86.0,107099.566313,1.070996,2.0,0.5,312.735339,3.395942,259.185556,1007.896924,716.362953,supercritical_gas
189.15,-84.0,108252.982478,1.08253,2.0,0.5,314.744753,3.403557,260.618262,1007.806427,716.3432,supercritical_gas
191.15,-82.0,109406.354428,1.094064,2.0,0.5,316.754107,3.411092,262.05093,1007.719883,716.325303,supercritical_gas
193.15,-80.0,110559.683765,1.105597,2.0,0.5,318.763406,3.418548,263.483564,1007.637158,716.309223,supercritical_gas
195.15,-78.0,111712.97201,1.11713,2.0,0.5,320.772654,3.425926,264.916168,1007.55813,716.294923,supercritical_gas
197.15,-76.0,112866.220605,1.128662,2.0,0.5,322.781856,3.43323,266.348745,1007.482687,716.282374,supercritical_gas
199.15,-74.0,114019.430919,1.140194,2.0,0.5,324.791014,3.44046,267.781299,1007.410726,716.271551,supercritical_gas
201.15,-72.0,115172.604253,1.151726,2.0,0.5,326.800135,3.447617,269.213833,1007.342153,716.262432,supercritical_gas
203.15,-70.0,116325.741842,1.163257,2.0,0.5,328.809221,3.454704,270.64635,1007.276882,716.255002,supercritical_gas
205.15,-68.0,117478.844864,1.174788,2.0,0.5,330.818276,3.46172,272.078854,1007.214835,716.249248,supercritical_gas
207.15,-66.0,118631.914435,1.186319,2.0,0.5,332.827305,3.468669,273.511348,1007.15594,716.24516,supercritical_gas
209.15,-64.0,119784.951623,1.19785,2.0,0.5,334.836311,3.475551,274.943836,1007.100134,716.242733,supercritical_gas
211.15,-62.0,120937.957441,1.20938,2.0,0.5,336.845299,3.482368,276.37632,1007.047356,716.241963,supercritical_gas
213.15,-60.0,122090.932858,1.220909,2.0,0.5,338.854271,3.48912,277.808804,1006.997555,716.242851,supercritical_gas
215.15,-58.0,123243.878798,1.232439,2.0,0.5,340.863232,3.495809,279.241292,1006.950683,716.245401,supercritical_gas
217.15,-56.0,124396.796141,1.243968,2.0,0.5,342.872185,3.502437,280.673787,1006.906698,716.249616,supercritical_gas
219.15,-54.0,125549.685729,1.255497,2.0,0.5,344.881135,3.509003,282.106292,1006.865561,716.255504,supercritical_gas
221.15,-52.0,126702.548367,1.267025,2.0,0.5,346.890085,3.51551,283.53881,1006.82724,716.263076,supercritical_gas
223.15,-50.0,127855.384824,1.278554,2.0,0.5,348.899038,3.521959,284.971345,1006.791704,716.272342,supercritical_gas
225.15,-48.0,129008.195835,1.290082,2.0,0.5,350.907999,3.52835,286.403901,1006.758929,716.283317,supercritical_gas
227.15,-46.0,130160.982104,1.30161,2.0,0.5,352.916971,3.534685,287.83648,1006.728892,716.296015,supercritical_gas
229.15,-44.0,131313.744305,1.313137,2.0,0.5,354.925958,3.540964,289.269086,1006.701574,716.310453,supercritical_gas
231.15,-42.0,132466.483085,1.324665,2.0,0.5,356.934964,3.547189,290.701723,1006.67696,716.326649,supercritical_gas
233.15,-40.0,133619.199062,1.336192,2.0,0.5,358.943993,3.55336,292.134394,1006.655036,716.344623,supercritical_gas
