T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
173.15,-100.0,4141.216514,0.041412,0.083333,12.0,299.265358,4.253838,249.57076,1002.553247,715.295262,supercritical_gas
175.15,-98.0,4189.067721,0.041891,0.083333,12.0,301.270167,4.262053,251.001354,1002.553563,715.2992,supercritical_gas
177.15,-96.0,4236.918828,0.042369,0.083333,12.0,303.274983,4.270175,252.431957,1002.554456,715.303596,supercritical_gas
179.15,-94.0,4284.769837,0.042848,0.083333,12.0,305.279807,4.278205,253.862569,1002.555939,715.308471,supercritical_gas
181.15,-92.0,4332.620752,0.043326,0.083333,12.0,307.28464,4.286147,255.293191,1002.55803,715.313845,supercritical_gas
183.15,-90.0,4380.471578,0.043805,0.083333,12.0,309.289483,4.294001,256.723825,1002.560746,715.319742,supercritical_gas
185.15,-88.0,4428.322318,0.044283,0.083333,12.0,311.294338,4.30177,258.15447,1002.564106,715.326185,supercritical_gas
187.15,-86.0,4476.172975,0.044762,0.083333,12.0,313.299205,4.309456,259.58513,1002.568131,715.3332,supercritical_gas
189.15,-84.0,4524.023552,0.04524,0.083333,12.0,315.304086,4.31706,261.015804,1002.572843,715.340813,supercritical_gas
191.15,-82.0,4571.874052,0.045719,0.083333,12.0,317.308982,4.324584,262.446493,1002.578265,715.349051,supercritical_gas
193.15,-80.0,4619.724478,0.046197,0.083333,12.0,319.313894,4.332029,263.8772,1002.584423,715.357944,supercritical_gas
195.15,-78.0,4667.574833,0.046676,0.083333,12.0,321.318824,4.339399,265.307926,1002.591342,715.367519,supercritical_gas
197.15,-76.0,4715.425119,0.047154,0.083333,12.0,323.323772,4.346693,266.738671,1002.599049,715.377808,supercritical_gas
199.15,-74.0,4763.275338,0.047633,0.083333,12.0,325.328741,4.353914,268.169437,1002.607572,715.388842,supercritical_gas
201.15,-72.0,4811.125493,0.048111,0.083333,12.0,327.333733,4.361062,269.600227,1002.61694,715.400652,supercritical_gas
203.15,-70.0,4858.975585,0.04859,0.083333,12.0,329.338747,4.36814,271.03104,1002.627184,715.413272,supercritical_gas
205.15,-68.0,4906.825618,0.049068,0.083333,12.0,331.343788,4.375149,272.46188,1002.638334,715.426736,supercritical_gas
207.15,-66.0,4954.675593,0.049547,0.083333,12.0,333.348855,4.38209,273.892748,1002.650422,715.441077,supercritical_gas
209.15,-64.0,5002.525511,0.050025,0.083333,12.0,335.353951,4.388964,275.323645,1002.663481,715.45633,supercritical_gas
211.15,-62.0,5050.375375,0.050504,0.083333,12.0,337.359078,4.395774,276.754574,1002.677543,715.472531,supercritical_gas
213.15,-60.0,5098.225185,0.050982,0.083333,12.0,339.364238,4.402519,278.185536,1002.692643,715.489716,supercritical_gas
215.15,-58.0,5146.074945,0.051461,0.083333,12.0,341.369433,4.409201,279.616533,1002.708815,715.507922,supercritical_gas
217.15,-56.0,5193.924655,0.051939,0.083333,12.0,343.374664,4.415822,281.047568,1002.726095,715.527185,supercritical_gas
219.15,-54.0,5241.774316,0.052418,0.083333,12.0,345.379935,4.422382,282.478643,1002.744517,715.547543,supercritical_gas
221.15,-52.0,5289.623931,0.052896,0.083333,12.0,347.385246,4.428882,283.909759,1002.764118,715.569034,supercritical_gas
223.15,-50.0,5337.4735,0.053375,0.083333,12.0,349.390602,4.435325,285.34092,1002.784935,715.591696,supercritical_gas
225.15,-48.0,5385.323025,0.053853,0.083333,12.0,351.396003,4.44171,286.772127,1002.807005,715.615568,supercritical_gas
227.15,-46.0,5433.172507,0.054332,0.083333,12.0,353.401453,4.448039,288.203383,1002.830364,715.640687,supercritical_gas
229.15,-44.0,5481.021947,0.05481,0.083333,12.0,355.406954,4.454312,289.634691,1002.85505,715.667094,supercritical_gas
231.15,-42.0,5528.871347,0.055289,0.083333,12.0,357.412508,4.460531,291.066052,1002.881101,715.694827,supercritical_gas
233.15,-40.0,5576.720706,0.055767,0.083333,12.0,359.418119,4.466697,292.497471,1002.908555,715.723926,supercritical_gas
235.15,-38.0,5624.570027,0.056246,0.083333,12.0,361.423789,4.472811,293.928949,1002.93745,715.754429,supercritical_gas
237.15,-36.0,5672.419311,0.056724,0.083333,12.0,363.429521,4.478873,295.360489,1002.967824,715.786377,supercritical_gas
239.15,-34.0,5720.268558,0.057203,0.083333,12.0,365.435318,4.484884,296.792095,1002.999716,715.819809,supercritical_gas
241.15,-32.0,5768.117769,0.057681,0.083333,12.0,367.441183,4.490846,298.22377,1003.033165,715.854765,supercritical_gas
243.15,-30.0,5815.966945,0.05816,0.083333,12.0,369.447119,4.496759,299.655515,1003.068208,715.891283,supercritical_gas
245.15,-28.0,5863.816087,0.058638,0.083333,12.0,371.453129,4.502623,301.087336,1003.104884,715.929405,supercritical_gas
247.15,-26.0,5911.665196,0.059117,0.083333,12.0,373.459217,4.50844,302.519234,1003.143232,715.969168,supercritical_gas
249.15,-24.0,5959.514272,0.059595,0.083333,12.0,375.465385,4.514211,303.951214,1003.18329,716.010612,supercritical_gas
251.15,-22.0,6007.363317,0.060074,0.083333,12.0,377.471638,4.519936,305.383278,1003.225096,716.053777,supercritical_gas
253.15,-20.0,6055.212331,0.060552,0.083333,12.0,379.477978,4.525616,306.81543,1003.268688,716.098702,supercritical_gas
255.15,-18.0,6103.061314,0.061031,0.083333,12.0,381.48441,4.531251,308.247674,1003.314105,716.145424,supercritical_gas
257.15,-16.0,6150.910268,0.061509,0.083333,12.0,383.490936,4.536843,309.680013,1003.361385,716.193984,supercritical_gas
259.15,-14.0,6198.759193,0.061988,0.083333,12.0,385.497561,4.542392,311.112451,1003.410564,716.244419,supercritical_gas
261.15,-12.0,6246.60809,0.062466,0.083333,12.0,387.504289,4.547899,312.544992,1003.461681,716.296767,supercritical_gas
263.15,-10.0,6294.456959,0.062945,0.083333,12.0,389.511123,4.553364,313.977639,1003.514772,716.351066,supercritical_gas
265.15,-8.0,6342.3058,0.063423,0.083333,12.0,391.518067,4.558788,315.410397,1003.569874,716.407354,supercritical_gas
267.15,-6.0,6390.154616,0.063902,0.083333,12.0,393.525125,4.564171,316.84327,1003.627024,716.465668,supercritical_gas
269.15,-4.0,6438.003405,0.06438,0.083333,12.0,395.532302,4.569515,318.276261,1003.686258,716.526045,supercritical_gas
271.15,-2.0,6485.852168,0.064859,0.083333,12.0,397.539602,4.57482,319.709376,1003.747612,716.58852,supercritical_gas
273.15,0.0,6533.700907,0.065337,0.083333,12.0,399.547028,4.580087,321.142617,1003.811121,716.653131,supercritical_gas
275.15,2.0,6581.549621,0.065815,0.083333,12.0,401.554585,4.585315,322.57599,1003.87682,716.719913,supercritical_gas
277.15,4.0,6629.398311,0.066294,0.083333,12.0,403.562278,4.590506,324.009498,1003.944745,716.7889,supercritical_gas
279.15,6.0,6677.246977,0.066772,0.083333,12.0,405.57011,4.59566,325.443147,1004.014929,716.860129,supercritical_gas
