T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
300.0,26.85,10000.0,0.1,0.116128,8.611206,426.504843,4.552057,340.392783,1004.933711,717.751108,supercritical_gas
300.0,26.85,60000.0,0.6,0.696874,1.434979,426.391425,4.0374,340.292679,1005.722049,717.871812,supercritical_gas
300.0,26.85,110000.0,1.1,1.277799,0.782596,426.278125,3.863076,340.192572,1006.510781,717.992497,supercritical_gas
300.0,26.85,160000.0,1.6,1.858898,0.537953,426.164942,3.755187,340.092463,1007.299905,718.113161,supercritical_gas
300.0,26.85,210000.0,2.1,2.440171,0.409807,426.051876,3.676796,339.992351,1008.089418,718.233803,supercritical_gas
300.0,26.85,260000.0,2.6,3.021615,0.330949,425.938927,3.615157,339.892237,1008.879317,718.354422,supercritical_gas
300.0,26.85,310000.0,3.1,3.603228,0.277529,425.826095,3.564335,339.792121,1009.6696,718.475017,supercritical_gas
300.0,26.85,360000.0,3.6,4.185006,0.238948,425.713378,3.52108,339.692003,1010.460263,718.595587,supercritical_gas
300.0,26.85,410000.0,4.1,4.766949,0.209778,425.600778,3.483416,339.591884,1011.251304,718.71613,supercritical_gas
300.0,26.85,460000.0,4.6,5.349053,0.186949,425.488294,3.450054,339.491763,1012.04272,718.836646,supercritical_gas
300.0,26.85,510000.0,5.1,5.931317,0.168597,425.375925,3.420103,339.391642,1012.834507,718.957132,supercritical_gas
300.0,26.85,560000.0,5.6,6.513737,0.153522,425.263671,3.392925,339.291519,1013.626663,719.077589,supercritical_gas
300.0,26.85,610000.0,6.1,7.096313,0.140918,425.151533,3.368044,339.191397,1014.419183,719.198015,supercritical_gas
300.0,26.85,660000.0,6.6,7.679041,0.130225,425.03951,3.345099,339.091274,1015.212065,719.318408,supercritical_gas
300.0,26.85,710000.0,7.1,8.261919,0.121037,424.927601,3.323806,338.99115,1016.005306,719.438769,supercritical_gas
300.0,26.85,760000.0,7.6,8.844946,0.113059,424.815807,3.30394,338.891028,1016.798901,719.559094,supercritical_gas
300.0,26.85,810000.0,8.1,9.428118,0.106066,424.704127,3.28532,338.790905,1017.592847,719.679385,supercritical_gas
300.0,26.85,860000.0,8.6,10.011434,0.099886,424.592562,3.267796,338.690784,1018.38714,719.799638,supercritical_gas
300.0,26.85,910000.0,9.1,10.594892,0.094385,424.481111,3.251244,338.590663,1019.181777,719.919854,supercritical_gas
300.0,26.85,960000.0,9.6,11.178489,0.089458,424.369773,3.23556,338.490544,1019.976754,720.040031,supercritical_gas
300.0,26.85,1010000.0,10.1,11.762223,0.085018,424.258549,3.220656,338.390426,1020.772067,720.160168,supercritical_gas
300.0,26.85,1060000.0,10.6,12.346092,0.080997,424.147439,3.206456,338.290309,1021.567712,720.280264,supercritical_gas
