T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
343.15,70.0,10000.0,0.1,0.101522,9.850069,469.921506,4.687268,371.420818,1007.650956,720.50465,supercritical_gas
343.15,70.0,20000.0,0.2,0.203045,4.925024,469.904619,4.488252,371.404145,1007.76574,720.522259,supercritical_gas
343.15,70.0,30000.0,0.3,0.304568,3.283342,469.887736,4.371815,371.387473,1007.880518,720.539866,supercritical_gas
343.15,70.0,40000.0,0.4,0.406091,2.462501,469.870858,4.289188,371.370801,1007.995292,720.557472,supercritical_gas
343.15,70.0,50000.0,0.5,0.507615,1.969997,469.853985,4.225086,371.354131,1008.11006,720.575077,supercritical_gas
343.15,70.0,60000.0,0.6,0.609139,1.641661,469.837117,4.172702,371.337461,1008.224823,720.592681,supercritical_gas
343.15,70.0,70000.0,0.7,0.710664,1.407135,469.820254,4.128405,371.320792,1008.339581,720.610283,supercritical_gas
343.15,70.0,80000.0,0.8,0.812189,1.231241,469.803395,4.090027,371.304123,1008.454333,720.627884,supercritical_gas
343.15,70.0,90000.0,0.9,0.913714,1.094434,469.786541,4.056168,371.287455,1008.56908,720.645483,supercritical_gas
343.15,70.0,100000.0,1.0,1.01524,0.984989,469.769693,4.025876,371.270788,1008.683822,720.663082,supercritical_gas
343.15,70.0,110000.0,1.1,1.116766,0.895443,469.752849,3.998469,371.254122,1008.798559,720.680678,supercritical_gas
343.15,70.0,120000.0,1.2,1.218292,0.820821,469.736009,3.973444,371.237457,1008.91329,720.698274,supercritical_gas
343.15,70.0,130000.0,1.3,1.319819,0.75768,469.719175,3.950419,371.220792,1009.028016,720.715868,supercritical_gas
343.15,70.0,140000.0,1.4,1.421346,0.703559,469.702346,3.929098,371.204128,1009.142737,720.733461,supercritical_gas
343.15,70.0,150000.0,1.5,1.522873,0.656654,469.685521,3.909245,371.187464,1009.257453,720.751053,supercritical_gas
343.15,70.0,160000.0,1.6,1.6244,0.615612,469.668701,3.890671,371.170801,1009.372163,720.768643,supercritical_gas
343.15,70.0,170000.0,1.7,1.725928,0.579399,469.651886,3.873221,371.154139,1009.486868,720.786232,supercritical_gas
343.15,70.0,180000.0,1.8,1.827456,0.547209,469.635076,3.856765,371.137478,1009.601568,720.803819,supercritical_gas
343.15,70.0,190000.0,1.9,1.928984,0.518408,469.61827,3.841196,371.120818,1009.716262,720.821405,supercritical_gas
343.15,70.0,200000.0,2.0,2.030512,0.492487,469.60147,3.826424,371.104158,1009.830952,720.83899,supercritical_gas
343.15,70.0,210000.0,2.1,2.132041,0.469034,469.584674,3.812371,371.087499,1009.945635,720.856573,supercritical_gas
343.15,70.0,220000.0,2.2,2.23357,0.447714,469.567883,3.798969,371.070841,1010.060314,720.874155,supercritical_gas
343.15,70.0,230000.0,2.3,2.335099,0.428247,469.551096,3.786161,371.054183,1010.174987,720.891736,supercritical_gas
343.15,70.0,240000.0,2.4,2.436628,0.410403,469.534315,3.773895,371.037526,1010.289655,720.909315,supercritical_gas
