T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
250.45785,-22.69215,5000.0,0.05,0.040935,24.428765,1600.0,8.21015,1477.856176,,2028.852964,1536.906375,gas
251.908682,-21.241318,30000.0,0.3,0.245494,4.073424,1600.0,7.338007,1477.797286,,2080.359578,1569.874824,gas
253.310682,-19.839318,55000.0,0.55,0.449881,2.222812,1600.0,7.044647,1477.745339,,2130.106894,1601.311048,gas
254.668082,-18.481918,80000.0,0.8,0.654127,1.528754,1600.0,6.864232,1477.699658,,2178.259951,1631.356799,gas
255.984546,-17.165454,105000.0,1.05,0.858261,1.165146,1600.0,6.733942,1477.659663,,2224.960363,1660.133618,gas
257.263271,-15.886729,130000.0,1.3,1.062307,0.941347,1600.0,6.632103,1477.624847,,2270.330658,1687.746598,gas
258.507065,-14.642935,155000.0,1.55,1.266286,0.789711,1600.0,6.548622,1477.594766,,2314.477643,1714.287312,gas
259.718409,-13.431591,180000.0,1.8,1.470216,0.680172,1600.0,6.477972,1477.569029,,2357.495059,1739.836104,gas
260.89951,-12.25049,205000.0,2.05,1.674116,0.59733,1600.0,6.416796,1477.54729,,2399.465681,1764.463914,gas
262.052339,-11.097661,230000.0,2.3,1.877999,0.532482,1600.0,6.362901,1477.529238,,2440.463021,1788.23374,gas
263.178667,-9.971333,255000.0,2.55,2.081881,0.480335,1600.0,6.314777,1477.514599,,2480.552693,1811.201823,gas
264.280089,-8.869911,280000.0,2.8,2.285773,0.437489,1600.0,6.271337,1477.503122,,2519.793547,1833.418621,gas
265.35805,-7.79195,305000.0,3.05,2.489686,0.401657,1600.0,6.231775,1477.494583,,2558.238592,1854.9296,gas
266.413863,-6.736137,330000.0,3.3,2.693631,0.371246,1600.0,6.195475,1477.488779,,2595.935771,1875.775905,gas
268.174876,-4.975124,355000.0,3.55,2.891637,0.345825,1600.0,6.161968,1477.232171,0.998508,2624.19396,1891.410808,twophase
269.934098,-3.215902,380000.0,3.8,3.088688,0.323762,1600.0,6.130882,1476.970413,0.996929,2650.563813,1905.850703,twophase
271.604867,-1.545133,405000.0,4.05,3.285577,0.304361,1600.0,6.101903,1476.733978,0.995449,2676.240432,1919.741619,twophase
273.19683,0.04683,430000.0,4.3,3.48234,0.287163,1600.0,6.074774,1476.519794,0.994056,2701.292951,1933.134063,twophase
274.71809,1.56809,455000.0,4.55,3.679006,0.271813,1600.0,6.049282,1476.325302,0.992743,2725.780808,1946.071529,twophase
276.17552,3.02552,480000.0,4.8,3.875605,0.258024,1600.0,6.025249,1476.148354,0.991501,2749.755541,1958.591784,twophase
277.575003,4.425003,505000.0,5.05,4.072158,0.24557,1600.0,6.002522,1475.987126,0.990323,2773.262172,1970.727862,twophase
278.921619,5.771619,530000.0,5.3,4.268688,0.234264,1600.0,5.980974,1475.840058,0.989205,2796.340294,1982.508848,twophase
280.219784,7.069784,555000.0,5.55,4.465213,0.223954,1600.0,5.960493,1475.705804,0.988142,2819.024941,1993.960503,twophase
281.473365,8.323365,580000.0,5.8,4.66175,0.214512,1600.0,5.940984,1475.583196,0.987128,2841.347279,2005.105765,twophase
282.685767,9.535767,605000.0,6.05,4.858314,0.205833,1600.0,5.922362,1475.471213,0.986161,2863.335175,2015.965157,twophase
283.860006,10.710006,630000.0,6.3,5.05492,0.197827,1600.0,5.904554,1475.36896,0.985237,2885.013662,2026.557125,twophase
284.998765,11.848765,655000.0,6.55,5.251581,0.190419,1600.0,5.887496,1475.275644,0.984353,2906.405314,2036.898315,twophase
286.104446,12.954446,680000.0,6.8,5.448306,0.183543,1600.0,5.871129,1475.190564,0.983506,2927.530578,2047.003805,twophase
287.179203,14.029203,705000.0,7.05,5.645107,0.177145,1600.0,5.855403,1475.113093,0.982695,2948.408031,2056.887298,twophase
288.224981,15.074981,730000.0,7.3,5.841994,0.171174,1600.0,5.840273,1475.042671,0.981917,2969.054614,2066.561292,twophase
289.24354,16.09354,755000.0,7.55,6.038976,0.165591,1600.0,5.825696,1474.978795,0.981169,2989.485819,2076.037217,twophase
290.236477,17.086477,780000.0,7.8,6.236059,0.160358,1600.0,5.811636,1474.921011,0.980451,3009.715861,2085.325554,twophase
291.205248,18.055248,805000.0,8.05,6.433253,0.155442,1600.0,5.79806,1474.868909,0.979761,3029.757812,2094.435944,twophase
292.151183,19.001183,830000.0,8.3,6.630564,0.150817,1600.0,5.784937,1474.822116,0.979097,3049.623726,2103.377272,twophase
293.075503,19.925503,855000.0,8.55,6.827999,0.146456,1600.0,5.77224,1474.780293,0.978458,3069.324747,2112.157746,twophase
293.979326,20.829326,880000.0,8.8,7.025563,0.142337,1600.0,5.759943,1474.743131,0.977843,3088.871199,2120.784968,twophase
294.863686,21.713686,905000.0,9.05,7.223262,0.138442,1600.0,5.748024,1474.710348,0.97725,3108.272668,2129.265989,twophase
295.729536,22.579536,930000.0,9.3,7.421102,0.134751,1600.0,5.736461,1474.681684,0.976679,3127.538073,2137.607364,twophase
296.577756,23.427756,955000.0,9.55,7.619087,0.131249,1600.0,5.725235,1474.6569,0.976129,3146.675725,2145.815198,twophase
