T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
218.103991,-55.046009,30000.0,0.3,0.452705,2.208942,1000.0,4.609784,933.731746,0.630198,2210.545219,1638.961383,twophase
228.335432,-44.814568,55000.0,0.55,0.822951,1.215139,1000.0,4.428905,933.167343,0.610695,2329.206012,1713.137601,twophase
235.232673,-37.917327,80000.0,0.8,1.193925,0.837573,1000.0,4.320679,932.994135,0.597263,2430.449325,1774.371199,twophase
240.546059,-32.603941,105000.0,1.05,1.566671,0.638296,1000.0,4.244055,932.978889,0.586751,2522.187756,1828.262553,twophase
244.916176,-28.233824,130000.0,1.3,1.941612,0.515036,1000.0,4.185103,933.04534,0.577993,2607.837953,1877.217228,twophase
248.654074,-24.495926,155000.0,1.55,2.318962,0.431227,1000.0,4.137417,933.159758,0.570417,2689.270549,1922.548502,twophase
251.935849,-21.214151,180000.0,1.8,2.698836,0.37053,1000.0,4.097524,933.304575,0.5637,2767.653214,1965.073276,twophase
254.871491,-18.278509,205000.0,2.05,3.0813,0.324538,1000.0,4.063333,933.46964,0.557636,2843.779468,2005.343619,twophase
257.53459,-15.61541,230000.0,2.3,3.466395,0.288484,1000.0,4.03349,933.648649,0.552088,2918.222161,2043.754706,twophase
259.976956,-13.173044,255000.0,2.55,3.854145,0.259461,1000.0,4.007067,933.837468,0.54696,2991.414216,2080.601605,twophase
262.236533,-10.913467,280000.0,2.8,4.244564,0.235595,1000.0,3.983402,934.033278,0.54218,3063.694939,2116.111881,twophase
264.341996,-8.808004,305000.0,3.05,4.637661,0.215626,1000.0,3.962007,934.234092,0.537695,3135.338371,2150.465582,twophase
266.315575,-6.834425,330000.0,3.3,5.03344,0.198671,1000.0,3.942509,934.438471,0.533462,3206.571565,2183.808136,twophase
268.174876,-4.975124,355000.0,3.55,5.431901,0.184098,1000.0,3.924622,934.645354,0.529447,3277.586876,2216.259043,twophase
269.934098,-3.215902,380000.0,3.8,5.833047,0.171437,1000.0,3.908117,934.853943,0.525625,3348.550514,2247.917911,twophase
271.604867,-1.545133,405000.0,4.05,6.236875,0.160337,1000.0,3.892812,935.063632,0.521973,3419.608679,2278.868799,twophase
273.19683,0.04683,430000.0,4.3,6.643384,0.150526,1000.0,3.878556,935.27395,0.518473,3490.892068,2309.183391,twophase
274.71809,1.56809,455000.0,4.55,7.052573,0.141792,1000.0,3.865225,935.484535,0.515108,3562.519278,2338.923386,twophase
276.17552,3.02552,480000.0,4.8,7.464439,0.133969,1000.0,3.852717,935.695099,0.511867,3634.599407,2368.142318,twophase
277.575003,4.425003,505000.0,5.05,7.878981,0.12692,1000.0,3.840944,935.905417,0.508737,3707.234096,2396.886971,twophase
278.921619,5.771619,530000.0,5.3,8.296197,0.120537,1000.0,3.829832,936.115309,0.505709,3780.519162,2425.198489,twophase
