T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
218.103991,-55.046009,30000.0,0.3,1.351021,0.740181,400.0,1.858803,377.79457,0.210901,2706.828215,1926.807803,twophase
228.335432,-44.814568,55000.0,0.55,2.738687,0.365138,400.0,1.801192,379.917383,0.183002,3281.527987,2218.635691,twophase
235.232673,-37.917327,80000.0,0.8,4.341939,0.230312,400.0,1.770013,381.575052,0.163479,3979.968229,2518.482536,twophase
240.546059,-32.603941,105000.0,1.05,6.168586,0.162112,400.0,1.74973,382.97827,0.148011,4908.649977,2841.27846,twophase
244.916176,-28.233824,130000.0,1.3,8.235784,0.121421,400.0,1.735285,384.215224,0.13499,6269.096539,3197.557206,twophase
248.654074,-24.495926,155000.0,1.55,10.567745,0.094628,400.0,1.724426,385.332727,0.123626,8561.312207,3597.50447,twophase
251.935849,-21.214151,180000.0,1.8,13.195636,0.075783,400.0,1.715965,386.359127,0.113468,13537.689064,4052.411004,twophase
254.871491,-18.278509,205000.0,2.05,16.158417,0.061887,400.0,1.709206,387.313114,0.104229,35049.154554,4575.611307,twophase
257.53459,-15.61541,230000.0,2.3,19.504374,0.051271,400.0,1.703706,388.207773,0.09572,-44165.358149,5183.374346,twophase
259.976956,-13.173044,255000.0,2.55,23.293381,0.042931,400.0,1.699171,389.052684,0.087804,-11592.381634,5895.921058,twophase
262.236533,-10.913467,280000.0,2.8,27.600089,0.036232,400.0,1.695392,389.855105,0.08038,-5620.239274,6738.667763,twophase
264.341996,-8.808004,305000.0,3.05,32.518388,0.030752,400.0,1.69222,390.620691,0.073374,-2882.286056,7743.757887,twophase
266.315575,-6.834425,330000.0,3.3,38.167713,0.0262,400.0,1.689543,391.353949,0.066725,-1137.463933,8951.882805,twophase
268.174876,-4.975124,355000.0,3.55,44.70209,0.02237,400.0,1.687276,392.058537,0.060387,209.30633,10414.231001,twophase
269.934098,-3.215902,380000.0,3.8,52.323393,0.019112,400.0,1.685352,392.737474,0.054322,1384.973429,12193.983998,twophase
271.604867,-1.545133,405000.0,4.05,61.301269,0.016313,400.0,1.68372,393.393285,0.048497,2484.394717,14365.726073,twophase
273.19683,0.04683,430000.0,4.3,72.003972,0.013888,400.0,1.682337,394.028107,0.042889,3513.26332,17008.578698,twophase
274.71809,1.56809,455000.0,4.55,84.94777,0.011772,400.0,1.681168,394.643768,0.037473,4322.198356,20182.81392,twophase
276.17552,3.02552,480000.0,4.8,100.879402,0.009913,400.0,1.680186,395.241843,0.032232,4225.086685,23865.96918,twophase
277.575003,4.425003,505000.0,5.05,120.920629,0.00827,400.0,1.679366,395.823707,0.02715,-1066.126179,27796.674839,twophase
278.921619,5.771619,530000.0,5.3,146.837213,0.00681,400.0,1.67869,396.390561,0.022212,121132.531022,31136.852239,twophase
280.219784,7.069784,555000.0,5.55,181.578234,0.005507,400.0,1.67814,396.943466,0.017407,32552.73119,31920.902823,twophase
281.473365,8.323365,580000.0,5.8,230.466482,0.004339,400.0,1.677703,397.483365,0.012724,31518.031911,26983.709853,twophase
282.685767,9.535767,605000.0,6.05,304.187861,0.003287,400.0,1.677366,398.011097,0.008153,-160415.998955,15451.600348,twophase
283.860006,10.710006,630000.0,6.3,427.819706,0.002337,400.0,1.677118,398.527417,0.003687,4844.826712,5229.943111,twophase
284.821033,11.671033,655000.0,6.55,622.421699,0.001607,400.0,1.67695,398.947659,,4679.025252,2804.746692,liquid
284.818099,11.668099,680000.0,6.8,622.446207,0.001607,400.0,1.676809,398.907536,,4678.764421,2804.760246,liquid
284.815163,11.665163,705000.0,7.05,622.47071,0.001607,400.0,1.676668,398.867417,,4678.503772,2804.773818,liquid
284.812226,11.662226,730000.0,7.3,622.495208,0.001606,400.0,1.676527,398.8273,,4678.243304,2804.787409,liquid
284.809287,11.659287,755000.0,7.55,622.5197,0.001606,400.0,1.676386,398.787187,,4677.983016,2804.801019,liquid
284.806347,11.656347,780000.0,7.8,622.544188,0.001606,400.0,1.676245,398.747077,,4677.72291,2804.814647,liquid
284.803406,11.653406,805000.0,8.05,622.56867,0.001606,400.0,1.676104,398.70697,,4677.462984,2804.828294,liquid
284.800463,11.650463,830000.0,8.3,622.593147,0.001606,400.0,1.675963,398.666866,,4677.203238,2804.841958,liquid
284.797519,11.647519,855000.0,8.55,622.617618,0.001606,400.0,1.675822,398.626765,,4676.943672,2804.855642,liquid
284.794573,11.644573,880000.0,8.8,622.642085,0.001606,400.0,1.675681,398.586668,,4676.684286,2804.869343,liquid
284.791626,11.641626,905000.0,9.05,622.666546,0.001606,400.0,1.67554,398.546574,,4676.42508,2804.883064,liquid
284.788678,11.638678,930000.0,9.3,622.691002,0.001606,400.0,1.675399,398.506482,,4676.166053,2804.896802,liquid
284.785728,11.635728,955000.0,9.55,622.715453,0.001606,400.0,1.675258,398.466394,,4675.907206,2804.910559,liquid
284.782777,11.632777,980000.0,9.8,622.739899,0.001606,400.0,1.675117,398.426309,,4675.648538,2804.924334,liquid
284.779825,11.629825,1005000.0,10.05,622.764339,0.001606,400.0,1.674976,398.386227,,4675.390048,2804.938127,liquid
284.776871,11.626871,1030000.0,10.3,622.788775,0.001606,400.0,1.674835,398.346149,,4675.131738,2804.951938,liquid
