T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
218.103991,-55.046009,30000.0,0.3,0.741031,1.349471,648.899708,3.0,608.415572,0.384839,2362.043256,1730.369559,twophase
228.335432,-44.814568,55000.0,0.55,1.328156,0.752923,673.730341,3.0,632.319551,0.378123,2553.830152,1843.129365,twophase
235.232673,-37.917327,80000.0,0.8,1.91151,0.523147,689.333176,3.0,647.481443,0.372659,2721.383075,1936.853813,twophase
240.546059,-32.603941,105000.0,1.05,2.495027,0.400797,700.747526,3.0,658.663812,0.367927,2877.000065,2020.03126,twophase
244.916176,-28.233824,130000.0,1.3,3.080484,0.324624,709.749172,3.0,667.548015,0.36369,3025.998071,2096.265214,twophase
248.654074,-24.495926,155000.0,1.55,3.668868,0.272564,717.176746,3.0,674.929385,0.359813,3171.334111,2167.504718,twophase
251.935849,-21.214151,180000.0,1.8,4.260796,0.234698,723.494436,3.0,681.248809,0.356214,3314.912253,2234.952597,twophase
254.871491,-18.278509,205000.0,2.05,4.856685,0.205902,728.98665,3.0,686.776791,0.352837,3458.089917,2299.416143,twophase
257.53459,-15.61541,230000.0,2.3,5.456836,0.183256,733.840482,3.0,691.691515,0.349644,3601.913508,2361.469694,twophase
259.976956,-13.173044,255000.0,2.55,6.061474,0.164976,738.185679,3.0,696.116704,0.346604,3747.242667,2421.539759,twophase
262.236533,-10.913467,280000.0,2.8,6.670776,0.149908,742.115961,3.0,700.141836,0.343696,3894.822304,2479.953656,twophase
264.341996,-8.808004,305000.0,3.05,7.284886,0.137271,745.70126,3.0,703.833753,0.340901,4045.327727,2536.969201,twophase
266.315575,-6.834425,330000.0,3.3,7.903921,0.126519,748.995162,3.0,707.243733,0.338206,4199.394973,2592.793802,twophase
268.174876,-4.975124,355000.0,3.55,8.527984,0.117261,752.039644,3.0,710.411986,0.3356,4357.642612,2647.597249,twophase
269.934098,-3.215902,380000.0,3.8,9.157163,0.109204,754.868206,3.0,713.370639,0.333073,4520.688505,2701.520596,twophase
271.604867,-1.545133,405000.0,4.05,9.791538,0.102129,757.508018,3.0,716.145771,0.330616,4689.163614,2754.682493,twophase
273.19683,0.04683,430000.0,4.3,10.43118,0.095866,759.981418,3.0,718.75885,0.328224,4863.724165,2807.18383,twophase
274.71809,1.56809,455000.0,4.55,11.076154,0.090284,762.307,3.0,721.227761,0.325891,5045.063066,2859.111197,twophase
276.17552,3.02552,480000.0,4.8,11.726524,0.085277,764.500407,3.0,723.567562,0.32361,5233.921247,2910.539523,twophase
277.575003,4.425003,505000.0,5.05,12.382348,0.08076,766.574922,3.0,725.791058,0.321379,5431.099467,2961.534115,twophase
278.921619,5.771619,530000.0,5.3,13.043681,0.076665,768.541926,3.0,727.909225,0.319194,5637.471063,3012.152254,twophase
280.219784,7.069784,555000.0,5.55,13.710578,0.072936,770.41124,3.0,729.931545,0.31705,5853.996138,3062.444471,twophase
281.473365,8.323365,580000.0,5.8,14.38309,0.069526,772.1914,3.0,731.866269,0.314945,6081.737698,3112.455559,twophase
282.685767,9.535767,605000.0,6.05,15.06127,0.066395,773.889873,3.0,733.720619,0.312876,6321.880338,3162.225408,twophase
283.860006,10.710006,630000.0,6.3,15.745168,0.063512,775.513227,3.0,735.500953,0.310841,6575.752174,3211.789676,twophase
284.998765,11.848765,655000.0,6.55,16.434834,0.060846,777.067272,3.0,737.2129,0.308838,6844.850891,3261.180354,twophase
286.104446,12.954446,680000.0,6.8,17.130318,0.058376,778.557169,3.0,738.861466,0.306864,7130.874995,3310.426227,twophase
287.179203,14.029203,705000.0,7.05,17.831668,0.05608,779.987525,3.0,740.451123,0.304919,7435.761638,3359.553264,twophase
288.224981,15.074981,730000.0,7.3,18.538935,0.053941,781.362473,3.0,741.985885,0.302999,7761.732831,3408.584949,twophase
289.24354,16.09354,755000.0,7.55,19.252168,0.051942,782.685728,3.0,743.469364,0.301105,8111.35235,3457.542554,twophase
