T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
203.15,-70.0,1800000.0,18.0,725.717311,0.001378,34.745226,0.161963,32.264921,,4324.702461,2971.276916,liquid
204.15,-69.0,1800000.0,18.0,724.569324,0.00138,39.071547,0.183207,36.587313,,4327.952489,2971.358479,liquid
205.15,-68.0,1800000.0,18.0,723.420562,0.001382,43.401155,0.204363,40.912976,,4331.274033,2971.373098,liquid
206.15,-67.0,1800000.0,18.0,722.270931,0.001385,47.734117,0.225432,45.241977,,4334.659913,2971.316759,liquid
207.15,-66.0,1800000.0,18.0,721.120339,0.001387,52.070494,0.246417,49.574378,,4338.103322,2971.185862,liquid
208.15,-65.0,1800000.0,18.0,719.968695,0.001389,56.41034,0.267316,53.910232,,4341.59783,2970.977213,liquid
209.15,-64.0,1800000.0,18.0,718.815911,0.001391,60.753704,0.288133,58.249586,,4345.137382,2970.688022,liquid
210.15,-63.0,1800000.0,18.0,717.6619,0.001393,65.100628,0.308867,62.592483,,4348.716297,2970.315893,liquid
211.15,-62.0,1800000.0,18.0,716.506577,0.001396,69.451148,0.32952,66.938959,,4352.329269,2969.858816,liquid
212.15,-61.0,1800000.0,18.0,715.349859,0.001398,73.805296,0.350093,71.289045,,4355.971362,2969.315154,liquid
213.15,-60.0,1800000.0,18.0,714.191664,0.0014,78.163099,0.370585,75.642767,,4359.638003,2968.683635,liquid
214.15,-59.0,1800000.0,18.0,713.031913,0.001402,82.524579,0.391,80.000148,,4363.32498,2967.963338,liquid
215.15,-58.0,1800000.0,18.0,711.870528,0.001405,86.889755,0.411336,84.361205,,4367.028434,2967.15368,liquid
216.15,-57.0,1800000.0,18.0,710.707432,0.001407,91.25864,0.431595,88.725953,,4370.744849,2966.2544,liquid
217.15,-56.0,1800000.0,18.0,709.54255,0.001409,95.631248,0.451778,93.094402,,4374.471047,2965.265546,liquid
