T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
203.15,-70.0,40000.0,0.4,725.054409,0.001379,33.100327,0.165809,33.045159,,4327.664457,2970.070279,liquid
204.15,-69.0,40000.0,0.4,723.901734,0.001381,37.429659,0.187068,37.374402,,4331.011726,2970.179114,liquid
205.15,-68.0,40000.0,0.4,722.748216,0.001384,41.762374,0.208239,41.70703,,4334.431037,2970.220534,liquid
206.15,-67.0,40000.0,0.4,721.59376,0.001386,46.098542,0.229324,46.043109,,4337.915205,2970.190486,liquid
207.15,-66.0,40000.0,0.4,720.438273,0.001388,50.438224,0.250325,50.382702,,4341.457417,2970.085331,liquid
208.15,-65.0,40000.0,0.4,719.281663,0.00139,54.781474,0.271241,54.725863,,4345.051242,2969.901841,liquid
209.15,-64.0,40000.0,0.4,718.123841,0.001393,59.128342,0.292074,59.072641,,4348.690622,2969.637192,liquid
210.15,-63.0,40000.0,0.4,716.964719,0.001395,63.478869,0.312826,63.423078,,4352.369881,2969.288958,liquid
211.15,-62.0,40000.0,0.4,715.804212,0.001397,67.833093,0.333496,67.777212,,4356.083718,2968.855101,liquid
212.15,-61.0,40000.0,0.4,714.642234,0.001399,72.191046,0.354086,72.135074,,4359.827201,2968.333959,liquid
213.15,-60.0,40000.0,0.4,713.478702,0.001402,76.552756,0.374598,76.496692,,4363.595769,2967.72424,liquid
214.15,-59.0,40000.0,0.4,712.313537,0.001404,80.918245,0.395031,80.86209,,4367.385222,2967.025001,liquid
215.15,-58.0,40000.0,0.4,711.146658,0.001406,85.287532,0.415386,85.231285,,4371.191715,2966.235643,liquid
216.15,-57.0,40000.0,0.4,709.977989,0.001408,89.660633,0.435665,89.604293,,4375.01175,2965.355891,liquid
217.15,-56.0,40000.0,0.4,708.807451,0.001411,94.037559,0.455868,93.981126,,4378.842169,2964.385782,liquid
218.15,-55.0,40000.0,0.4,707.634972,0.001413,98.418319,0.475995,98.361793,,4382.680144,2963.325648,liquid
219.15,-54.0,40000.0,0.4,706.460478,0.001416,102.802921,0.496048,102.746301,,4386.523166,2962.176102,liquid
220.15,-53.0,40000.0,0.4,705.283896,0.001418,107.191367,0.516027,107.134652,,4390.36904,2960.938019,liquid
221.15,-52.0,40000.0,0.4,704.105158,0.00142,111.583659,0.535934,111.52685,,4394.215867,2959.612524,liquid
