T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
203.15,-70.0,4000000.0,40.0,726.539626,0.001376,36.804636,0.157186,31.299086,,4321.101145,2972.784768,liquid
204.15,-69.0,4000000.0,40.0,725.397379,0.001379,41.127296,0.178412,35.613077,,4324.232115,2972.832801,liquid
205.15,-68.0,4000000.0,40.0,724.254439,0.001381,45.453123,0.19955,39.930203,,4327.434011,2972.814494,liquid
206.15,-67.0,4000000.0,40.0,723.110713,0.001383,49.782185,0.2206,44.250529,,4330.699662,2972.725884,liquid
207.15,-66.0,4000000.0,40.0,721.96611,0.001385,54.114542,0.241565,48.574115,,4334.02227,2972.563417,liquid
208.15,-65.0,4000000.0,40.0,720.820541,0.001387,58.450247,0.262445,52.901015,,4337.395408,2972.323944,liquid
209.15,-64.0,4000000.0,40.0,719.673919,0.00139,62.789347,0.283241,57.231275,,4340.813024,2972.004714,liquid
210.15,-63.0,4000000.0,40.0,718.526159,0.001392,67.131886,0.303955,61.564935,,4344.269436,2971.603369,liquid
211.15,-62.0,4000000.0,40.0,717.377177,0.001394,71.477897,0.324586,65.90203,,4347.759336,2971.11793,liquid
212.15,-61.0,4000000.0,40.0,716.22689,0.001396,75.827414,0.345137,70.242591,,4351.277778,2970.546793,liquid
213.15,-60.0,4000000.0,40.0,715.07522,0.001398,80.180461,0.365607,74.586644,,4354.820183,2969.888713,liquid
214.15,-59.0,4000000.0,40.0,713.922087,0.001401,84.537061,0.385998,78.934208,,4358.382324,2969.142791,liquid
215.15,-58.0,4000000.0,40.0,712.767415,0.001403,88.897231,0.406311,83.285302,,4361.960326,2968.308464,liquid
216.15,-57.0,4000000.0,40.0,711.611129,0.001405,93.260986,0.426547,87.639938,,4365.550656,2967.385487,liquid
217.15,-56.0,4000000.0,40.0,710.453156,0.001408,97.628335,0.446705,91.998126,,4369.150112,2966.373924,liquid
218.15,-55.0,4000000.0,40.0,709.293423,0.00141,101.999288,0.466788,96.359873,,4372.755818,2965.274124,liquid
219.15,-54.0,4000000.0,40.0,708.131861,0.001412,106.373848,0.486795,100.725183,,4376.365212,2964.086713,liquid
220.15,-53.0,4000000.0,40.0,706.9684,0.001414,110.752019,0.506727,105.094057,,4379.976037,2962.812576,liquid
221.15,-52.0,4000000.0,40.0,705.802974,0.001417,115.1338,0.526586,109.466496,,4383.586328,2961.452837,liquid
222.15,-51.0,4000000.0,40.0,704.635517,0.001419,119.519191,0.546371,113.842497,,4387.194405,2960.008851,liquid
223.15,-50.0,4000000.0,40.0,703.465964,0.001422,123.908188,0.566084,118.222056,,4390.798859,2958.482177,liquid
224.15,-49.0,4000000.0,40.0,702.294253,0.001424,128.300787,0.585724,122.605168,,4394.398543,2956.874574,liquid
225.15,-48.0,4000000.0,40.0,701.12032,0.001426,132.696983,0.605293,126.991828,,4397.992557,2955.187975,liquid
226.15,-47.0,4000000.0,40.0,699.944107,0.001429,137.09677,0.624792,131.382028,,4401.580241,2953.424478,liquid
227.15,-46.0,4000000.0,40.0,698.765554,0.001431,141.500141,0.64422,135.77576,,4405.161162,2951.586326,liquid
228.15,-45.0,4000000.0,40.0,697.584601,0.001434,145.90709,0.663578,140.173018,,4408.735102,2949.675896,liquid
229.15,-44.0,4000000.0,40.0,696.401194,0.001436,150.317609,0.682868,144.573793,,4412.302048,2947.695683,liquid
230.15,-43.0,4000000.0,40.0,695.215274,0.001438,154.731692,0.702089,148.978078,,4415.862181,2945.648284,liquid
231.15,-42.0,4000000.0,40.0,694.026787,0.001441,159.149331,0.721242,153.385865,,4419.415864,2943.536388,liquid
232.15,-41.0,4000000.0,40.0,692.83568,0.001443,163.570521,0.740327,157.797147,,4422.963633,2941.362761,liquid
233.15,-40.0,4000000.0,40.0,691.641898,0.001446,167.995257,0.759346,162.211917,,4426.506189,2939.130231,liquid
234.15,-39.0,4000000.0,40.0,690.445389,0.001448,172.423532,0.778299,166.63017,,4430.044382,2936.84168,liquid
235.15,-38.0,4000000.0,40.0,689.246101,0.001451,176.855344,0.797186,171.051902,,4433.579208,2934.500031,liquid
236.15,-37.0,4000000.0,40.0,688.043984,0.001453,181.29069,0.816008,175.477108,,4437.111795,2932.108237,liquid
237.15,-36.0,4000000.0,40.0,686.838986,0.001456,185.729568,0.834765,179.905786,,4440.643398,2929.669269,liquid
238.15,-35.0,4000000.0,40.0,685.631058,0.001459,190.171977,0.853458,184.337935,,4444.175387,2927.18611,liquid
239.15,-34.0,4000000.0,40.0,684.420151,0.001461,194.617919,0.872087,188.773556,,4447.709241,2924.661742,liquid
240.15,-33.0,4000000.0,40.0,683.206215,0.001464,199.067396,0.890654,193.212649,,4451.246541,2922.09914,liquid
241.15,-32.0,4000000.0,40.0,681.989203,0.001466,203.520414,0.909158,197.655218,,4454.78896,2919.501262,liquid
242.15,-31.0,4000000.0,40.0,680.769065,0.001469,207.976977,0.9276,202.101269,,4458.338259,2916.871043,liquid
243.15,-30.0,4000000.0,40.0,679.545754,0.001472,212.437093,0.945981,206.550808,,4461.896278,2914.21139,liquid
244.15,-29.0,4000000.0,40.0,678.319223,0.001474,216.900773,0.964301,211.003844,,4465.464929,2911.525168,liquid
245.15,-28.0,4000000.0,40.0,677.089423,0.001477,221.368027,0.982561,215.460388,,4469.046196,2908.815205,liquid
246.15,-27.0,4000000.0,40.0,675.856308,0.00148,225.83887,1.000761,219.920452,,4472.642122,2906.084276,liquid
247.15,-26.0,4000000.0,40.0,674.619829,0.001482,230.313317,1.018902,224.384052,,4476.25481,2903.335109,liquid
248.15,-25.0,4000000.0,40.0,673.379939,0.001485,234.791386,1.036984,228.851203,,4479.886412,2900.570369,liquid
249.15,-24.0,4000000.0,40.0,672.136591,0.001488,239.273097,1.055009,233.321926,,4483.539132,2897.792665,liquid
250.15,-23.0,4000000.0,40.0,670.889737,0.001491,243.758472,1.072975,237.79624,,4487.215218,2895.004537,liquid
251.15,-22.0,4000000.0,40.0,669.639329,0.001493,248.247536,1.090885,242.274171,,4490.916955,2892.208462,liquid
252.15,-21.0,4000000.0,40.0,668.385319,0.001496,252.740315,1.108738,246.755743,,4494.646669,2889.406843,liquid
253.15,-20.0,4000000.0,40.0,667.127658,0.001499,257.236839,1.126536,251.240985,,4498.406719,2886.602014,liquid
254.15,-19.0,4000000.0,40.0,665.866297,0.001502,261.73714,1.144278,255.729928,,4502.199496,2883.796233,liquid
255.15,-18.0,4000000.0,40.0,664.601187,0.001505,266.24125,1.161965,260.222603,,4506.027419,2880.991683,liquid
256.15,-17.0,4000000.0,40.0,663.332278,0.001508,270.749207,1.179599,264.719047,,4509.892935,2878.19047,liquid
257.15,-16.0,4000000.0,40.0,662.05952,0.00151,275.261049,1.197178,269.219296,,4513.798517,2875.394622,liquid
258.15,-15.0,4000000.0,40.0,660.782861,0.001513,279.776818,1.214705,273.723392,,4517.746659,2872.606089,liquid
259.15,-14.0,4000000.0,40.0,659.502249,0.001516,284.296558,1.23218,278.231377,,4521.739881,2869.826744,liquid
260.15,-13.0,4000000.0,40.0,658.217633,0.001519,288.820314,1.249602,282.743296,,4525.780721,2867.058378,liquid
261.15,-12.0,4000000.0,40.0,656.928959,0.001522,293.348136,1.266973,287.259197,,4529.871741,2864.302708,liquid
262.15,-11.0,4000000.0,40.0,655.636172,0.001525,297.880075,1.284294,291.77913,,4534.015521,2861.56137,liquid
263.15,-10.0,4000000.0,40.0,654.339217,0.001528,302.416185,1.301565,296.303148,,4538.214662,2858.835923,liquid
264.15,-9.0,4000000.0,40.0,653.038038,0.001531,306.956524,1.318786,300.831306,,4542.471785,2856.127851,liquid
265.15,-8.0,4000000.0,40.0,651.732578,0.001534,311.501149,1.335958,305.363662,,4546.78953,2853.438562,liquid
266.15,-7.0,4000000.0,40.0,650.422779,0.001537,316.050124,1.353082,309.900278,,4551.17056,2850.76939,liquid
267.15,-6.0,4000000.0,40.0,649.108581,0.001541,320.603512,1.370158,314.441215,,4555.617557,2848.121596,liquid
268.15,-5.0,4000000.0,40.0,647.789924,0.001544,325.161382,1.387187,318.98654,,4560.133227,2845.496369,liquid
269.15,-4.0,4000000.0,40.0,646.466744,0.001547,329.723802,1.40417,323.536322,,4564.720299,2842.894828,liquid
