T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
203.15,-70.0,10896.088868,0.108961,3.333333,0.3,81.619353,0.40484,78.350527,0.033028,5461.529681,3049.829599,twophase
204.15,-69.0,11721.633966,0.117216,3.333333,0.3,89.299489,0.441336,85.782999,0.035368,5340.691141,3012.230911,twophase
205.15,-68.0,12599.491896,0.125995,3.333333,0.3,97.170694,0.478511,93.390846,0.037844,5226.238373,2975.795175,twophase
206.15,-67.0,13532.273368,0.135323,3.333333,0.3,105.240827,0.516392,101.181145,0.040463,5117.699263,2940.487422,twophase
207.15,-66.0,14522.679007,0.145227,3.333333,0.3,113.517929,0.555007,109.161125,0.043231,5014.647902,2906.273097,twophase
208.15,-65.0,15573.500623,0.155735,3.333333,0.3,122.010216,0.594386,117.338166,0.046154,4916.698891,2873.118117,twophase
209.15,-64.0,16687.622419,0.166876,3.333333,0.3,130.726085,0.634557,125.719798,0.049239,4823.502488,2840.98892,twophase
210.15,-63.0,17868.022162,0.17868,3.333333,0.3,139.674106,0.675548,134.313699,0.052492,4734.740444,2809.852518,twophase
211.15,-62.0,19117.77231,0.191178,3.333333,0.3,148.863028,0.717389,143.127696,0.055921,4650.12243,2779.676537,twophase
212.15,-61.0,20440.041078,0.2044,3.333333,0.3,158.301773,0.760111,152.169761,0.059533,4569.382946,2750.429258,twophase
213.15,-60.0,21838.093464,0.218381,3.333333,0.3,167.999438,0.803742,161.44801,0.063335,4492.278645,2722.079648,twophase
214.15,-59.0,23315.292227,0.233153,3.333333,0.3,177.965291,0.848313,170.970703,0.067335,4418.586005,2694.597392,twophase
215.15,-58.0,24875.098803,0.248751,3.333333,0.3,188.20877,0.893855,180.746241,0.07154,4348.099303,2667.952919,twophase
216.15,-57.0,26521.074183,0.265211,3.333333,0.3,198.739484,0.940397,190.783162,0.075959,4280.628833,2642.117418,twophase
217.15,-56.0,28256.879727,0.282569,3.333333,0.3,209.567208,0.987971,201.090144,0.080599,4215.999345,2617.062861,twophase
218.15,-55.0,30086.277937,0.300863,3.333333,0.3,220.701881,1.036607,211.675998,0.085469,4154.048674,2592.762011,twophase
219.15,-54.0,32013.133171,0.320131,3.333333,0.3,232.153608,1.086338,222.549669,0.090577,4094.62652,2569.188435,twophase
220.15,-53.0,34041.412304,0.340414,3.333333,0.3,243.932654,1.137194,233.720231,0.095932,4037.593376,2546.316509,twophase
221.15,-52.0,36175.185345,0.361752,3.333333,0.3,256.049443,1.189206,245.196887,0.101543,3982.819567,2524.121419,twophase
222.15,-51.0,38418.62599,0.384186,3.333333,0.3,268.514555,1.242407,256.988967,0.107419,3930.184399,2502.579165,twophase
223.15,-50.0,40776.012133,0.40776,3.333333,0.3,281.338724,1.296828,269.105921,0.113569,3879.575396,2481.666553,twophase
224.15,-49.0,43251.726321,0.432517,3.333333,0.3,294.532839,1.352501,281.557321,0.120002,3830.887619,2461.361195,twophase
225.15,-48.0,45850.256156,0.458503,3.333333,0.3,308.107934,1.409458,294.352857,0.126729,3784.023051,2441.641499,twophase
226.15,-47.0,48576.194651,0.485762,3.333333,0.3,322.075193,1.467732,307.502335,0.133759,3738.890043,2422.486658,twophase
227.15,-46.0,51434.240533,0.514342,3.333333,0.3,336.445942,1.527353,321.01567,0.141102,3695.40282,2403.876643,twophase
228.15,-45.0,54429.198496,0.544292,3.333333,0.3,351.231649,1.588355,334.90289,0.148769,3653.481025,2385.792182,twophase
229.15,-44.0,57565.979407,0.57566,3.333333,0.3,366.443922,1.65077,349.174128,0.156769,3613.049313,2368.214756,twophase
230.15,-43.0,60849.600461,0.608496,3.333333,0.3,382.094501,1.71463,363.839621,0.165114,3574.036979,2351.126574,twophase
231.15,-42.0,64285.185293,0.642852,3.333333,0.3,398.195262,1.779967,378.909706,0.173815,3536.377616,2334.51056,twophase
232.15,-41.0,67877.96404,0.67878,3.333333,0.3,414.75821,1.846813,394.394821,0.182881,3500.008811,2318.350333,twophase
233.15,-40.0,71633.273361,0.716333,3.333333,0.3,431.795477,1.915201,410.305495,0.192326,3464.871858,2302.630193,twophase
234.15,-39.0,75556.556407,0.755566,3.333333,0.3,449.319319,1.985164,426.652352,0.20216,3430.911501,2287.335094,twophase
235.15,-38.0,79653.36276,0.796534,3.333333,0.3,467.342114,2.056733,443.446105,0.212395,3398.075698,2272.45063,twophase
236.15,-37.0,83929.348313,0.839293,3.333333,0.3,485.876357,2.12994,460.697553,0.223042,3366.315398,2257.963012,twophase
237.15,-36.0,88390.275123,0.883903,3.333333,0.3,504.93466,2.204818,478.417577,0.234115,3335.584347,2243.859048,twophase
238.15,-35.0,93042.011222,0.93042,3.333333,0.3,524.529745,2.281399,496.617141,0.245624,3305.838893,2230.126122,twophase
239.15,-34.0,97890.530383,0.978905,3.333333,0.3,544.674446,2.359714,515.307287,0.257584,3277.037823,2216.752173,twophase
240.15,-33.0,102941.911855,1.029419,3.333333,0.3,565.381702,2.439796,534.499129,0.270006,3249.142201,2203.725673,twophase
241.15,-32.0,108202.340061,1.082023,3.333333,0.3,586.664558,2.521677,554.203856,0.282903,3222.115221,2191.035608,twophase
242.15,-31.0,113678.104265,1.136781,3.333333,0.3,608.536157,2.605388,574.432726,0.296289,3195.922072,2178.671457,twophase
243.15,-30.0,119375.598198,1.193756,3.333333,0.3,631.009742,2.69096,595.197062,0.310178,3170.52981,2166.623171,twophase
244.15,-29.0,125301.319657,1.253013,3.333333,0.3,654.09865,2.778426,616.508255,0.324582,3145.907244,2154.881151,twophase
245.15,-28.0,131461.870079,1.314619,3.333333,0.3,677.816314,2.867816,638.377753,0.339516,3122.024824,2143.436232,twophase
246.15,-27.0,137863.954075,1.37864,3.333333,0.3,702.176252,2.959162,660.817066,0.354993,3098.854538,2132.279663,twophase
247.15,-26.0,144514.37895,1.445144,3.333333,0.3,727.192073,3.052495,683.837759,0.371029,3076.369821,2121.403084,twophase
248.15,-25.0,151420.05418,1.514201,3.333333,0.3,752.877469,3.147846,707.451453,0.387637,3054.545466,2110.798513,twophase
249.15,-24.0,158587.990884,1.58588,3.333333,0.3,779.246215,3.245244,731.669818,0.404833,3033.357539,2100.458324,twophase
250.15,-23.0,166025.301257,1.660253,3.333333,0.3,806.312166,3.344722,756.504575,0.422631,3012.783302,2090.375231,twophase
251.15,-22.0,173739.197989,1.737392,3.333333,0.3,834.089253,3.446309,781.967493,0.441048,2992.801147,2080.542272,twophase
252.15,-21.0,181736.99366,1.81737,3.333333,0.3,862.591482,3.550035,808.070384,0.460097,2973.39052,2070.952792,twophase
253.15,-20.0,190026.100121,1.900261,3.333333,0.3,891.832934,3.655931,834.825104,0.479796,2954.531864,2061.600426,twophase
254.15,-19.0,198614.027852,1.98614,3.333333,0.3,921.827757,3.764026,862.243548,0.500161,2936.20656,2052.479086,twophase
255.15,-18.0,207508.385305,2.075084,3.333333,0.3,952.590169,3.874349,890.337654,0.521207,2918.396869,2043.582945,twophase
256.15,-17.0,216716.878231,2.167169,3.333333,0.3,984.134455,3.986931,919.119392,0.542952,2901.08588,2034.906422,twophase
257.15,-16.0,226247.309,2.262473,3.333333,0.3,1016.474963,4.1018,948.60077,0.565411,2884.257468,2026.444173,twophase
258.15,-15.0,236107.575896,2.361076,3.333333,0.3,1049.626102,4.218986,978.793829,0.588604,2867.896239,2018.191071,twophase
259.15,-14.0,246305.672415,2.463057,3.333333,0.3,1083.602343,4.338517,1009.710641,0.612546,2851.987496,2010.142203,twophase
260.15,-13.0,256849.68654,2.568497,3.333333,0.3,1118.418215,4.460421,1041.363309,0.637256,2836.517195,2002.292848,twophase
261.15,-12.0,267747.800017,2.677478,3.333333,0.3,1154.088303,4.584727,1073.763963,0.662751,2821.471907,1994.638473,twophase
262.15,-11.0,279008.287615,2.790083,3.333333,0.3,1190.627249,4.711464,1106.924763,0.689051,2806.838787,1987.174721,twophase
263.15,-10.0,290639.516389,2.906395,3.333333,0.3,1228.049746,4.840658,1140.857891,0.716174,2792.605537,1979.8974,twophase
