T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
293.15,20.0,5000.0,0.05,0.034955,28.607958,1687.689909,8.533326,1544.65012,,2082.880122,1593.037446,gas
293.15,20.0,15000.0,0.15,0.104982,9.525462,1687.053008,7.995339,1544.171081,,2090.999153,1597.866648,gas
293.15,20.0,25000.0,0.25,0.175164,5.708948,1686.414362,7.744309,1543.690662,,2099.171005,1602.717329,gas
293.15,20.0,35000.0,0.35,0.245502,4.073289,1685.773958,7.578394,1543.208854,,2107.396229,1607.589636,gas
293.15,20.0,45000.0,0.45,0.315998,3.164581,1685.131786,7.454049,1542.725647,,2115.675381,1612.483716,gas
293.15,20.0,55000.0,0.55,0.386652,2.586305,1684.487832,7.354424,1542.241032,,2124.009029,1617.399719,gas
293.15,20.0,65000.0,0.65,0.457466,2.185955,1683.842085,7.271205,1541.754999,,2132.397747,1622.337794,gas
293.15,20.0,75000.0,0.75,0.528441,1.89236,1683.194532,7.199674,1541.267539,,2140.842119,1627.298096,gas
293.15,20.0,85000.0,0.85,0.599577,1.667841,1682.545161,7.136896,1540.778642,,2149.34274,1632.280777,gas
293.15,20.0,95000.0,0.95,0.670877,1.490586,1681.893959,7.080916,1540.288296,,2157.900211,1637.285996,gas
293.15,20.0,105000.0,1.05,0.742341,1.34709,1681.240913,7.03037,1539.796494,,2166.515145,1642.313909,gas
293.15,20.0,115000.0,1.15,0.81397,1.228546,1680.586011,6.984267,1539.303223,,2175.188163,1647.364676,gas
293.15,20.0,125000.0,1.25,0.885766,1.128966,1679.929239,6.941864,1538.808474,,2183.919898,1652.438459,gas
293.15,20.0,135000.0,1.35,0.95773,1.044136,1679.270584,6.902589,1538.312236,,2192.710992,1657.535422,gas
293.15,20.0,145000.0,1.45,1.029862,0.971004,1678.610032,6.865995,1537.814499,,2201.562096,1662.65573,gas
293.15,20.0,155000.0,1.55,1.102165,0.907305,1677.947571,6.831723,1537.315252,,2210.473874,1667.79955,gas
293.15,20.0,165000.0,1.65,1.174639,0.851325,1677.283185,6.799481,1536.814484,,2219.447,1672.967053,gas
293.15,20.0,175000.0,1.75,1.247286,0.801741,1676.616862,6.76903,1536.312184,,2228.482158,1678.15841,gas
293.15,20.0,185000.0,1.85,1.320106,0.757515,1675.948587,6.740169,1535.808341,,2237.580043,1683.373794,gas
293.15,20.0,195000.0,1.95,1.393102,0.717823,1675.278347,6.712731,1535.302944,,2246.741365,1688.613381,gas
293.15,20.0,205000.0,2.05,1.466274,0.682001,1674.606126,6.686573,1534.79598,,2255.966841,1693.877349,gas
