T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
220.034571,-53.115429,600000.0,6.0,21.46714,0.046583,340.0,1.702713,312.050305,0.734236,1002.625381,660.889385,twophase
221.961929,-51.188071,650000.0,6.5,23.308481,0.042903,340.0,1.692601,312.113155,0.729895,1023.912462,668.630448,twophase
223.780941,-49.369059,700000.0,7.0,25.162065,0.039742,340.0,1.683339,312.180344,0.725783,1045.554288,676.278042,twophase
225.505029,-47.644971,750000.0,7.5,27.028083,0.036999,340.0,1.674805,312.251084,0.721871,1067.607115,683.856799,twophase
227.145173,-46.004827,800000.0,8.0,28.9067,0.034594,340.0,1.666903,312.324755,0.718137,1090.121875,691.386309,twophase
228.710481,-44.439519,850000.0,8.5,30.79806,0.03247,340.0,1.659551,312.400859,0.714561,1113.14525,698.88172,twophase
230.208596,-42.941404,900000.0,9.0,32.702291,0.030579,340.0,1.652686,312.478993,0.711128,1136.72052,706.354107,twophase
231.646002,-41.503998,950000.0,9.5,34.619509,0.028885,340.0,1.646252,312.558825,0.707823,1160.888458,713.810836,twophase
233.02825,-40.12175,1000000.0,10.0,36.549821,0.02736,340.0,1.640202,312.640085,0.704635,1185.688453,721.256108,twophase
234.360129,-38.789871,1050000.0,10.5,38.493324,0.025979,340.0,1.634498,312.722542,0.701554,1211.15994,728.691754,twophase
235.645806,-37.504194,1100000.0,11.0,40.45011,0.024722,340.0,1.629107,312.806007,0.69857,1237.344107,736.118289,twophase
236.888928,-36.261072,1150000.0,11.5,42.420267,0.023574,340.0,1.623998,312.890317,0.695677,1264.285746,743.536126,twophase
238.092709,-35.057291,1200000.0,12.0,44.403878,0.022521,340.0,1.619148,312.975334,0.692867,1292.035087,750.94682,twophase
239.259995,-33.890005,1250000.0,12.5,46.401024,0.021551,340.0,1.614533,313.060939,0.690135,1320.64945,758.354205,twophase
240.39332,-32.75668,1300000.0,13.0,48.411781,0.020656,340.0,1.610134,313.147032,0.687474,1350.194557,765.765289,twophase
241.494951,-31.655049,1350000.0,13.5,50.436226,0.019827,340.0,1.605935,313.233524,0.684881,1380.745418,773.190821,twophase
242.566925,-30.583075,1400000.0,14.0,52.474432,0.019057,340.0,1.601919,313.32034,0.68235,1412.386757,780.645484,twophase
243.61108,-29.53892,1450000.0,14.5,54.526473,0.01834,340.0,1.598074,313.407412,0.679878,1445.212992,788.147734,twophase
244.629078,-28.520922,1500000.0,15.0,56.592421,0.01767,340.0,1.594387,313.494684,0.677461,1479.327855,795.719299,twophase
245.622432,-27.527568,1550000.0,15.5,58.672349,0.017044,340.0,1.590847,313.582104,0.675096,1514.843732,803.384438,twophase
246.592518,-26.557482,1600000.0,16.0,60.766328,0.016456,340.0,1.587445,313.669628,0.672781,1551.88086,811.16902,twophase
247.540598,-25.609402,1650000.0,16.5,62.874432,0.015905,340.0,1.584171,313.757218,0.670511,1590.566498,819.099532,twophase
248.467825,-24.682175,1700000.0,17.0,64.996732,0.015385,340.0,1.581017,313.844839,0.668286,1631.034184,827.202079,twophase
249.37526,-23.77474,1750000.0,17.5,67.133302,0.014896,340.0,1.577977,313.932461,0.666102,1673.423203,835.501461,twophase
250.263884,-22.886116,1800000.0,18.0,69.284217,0.014433,340.0,1.575042,314.020057,0.663958,1717.878329,844.020378,twophase
251.134598,-22.015402,1850000.0,18.5,71.449549,0.013996,340.0,1.572207,314.107604,0.661851,1764.549927,852.778797,twophase
251.98824,-21.16176,1900000.0,19.0,73.629375,0.013582,340.0,1.569467,314.195082,0.65978,1813.594475,861.793509,twophase
252.825587,-20.324413,1950000.0,19.5,75.823772,0.013188,340.0,1.566816,314.282472,0.657743,1865.175531,871.077879,twophase
253.647358,-19.502642,2000000.0,20.0,78.032815,0.012815,340.0,1.564249,314.369757,0.655739,1919.465198,880.641794,twophase
254.454227,-18.695773,2050000.0,20.5,80.256583,0.01246,340.0,1.561762,314.456924,0.653765,1976.646099,890.491779,twophase
255.246821,-17.903179,2100000.0,21.0,82.495155,0.012122,340.0,1.559351,314.543959,0.651821,2036.913911,900.631287,twophase
256.025725,-17.124275,2150000.0,21.5,84.74861,0.0118,340.0,1.557012,314.630852,0.649906,2100.480472,911.061108,twophase
