T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
220.034571,-53.115429,600000.0,6.0,22.477841,0.044488,328.401318,1.65,301.708363,0.700602,1015.600032,664.024685,twophase
221.961929,-51.188071,650000.0,6.5,24.207822,0.041309,330.544235,1.65,303.69341,0.702222,1035.768615,671.467717,twophase
223.780941,-49.369059,700000.0,7.0,25.931942,0.038562,332.539412,1.65,305.545675,0.703754,1055.992361,678.755275,twophase
225.505029,-47.644971,750000.0,7.5,27.651143,0.036165,334.406287,1.65,307.282634,0.705212,1076.30401,685.90542,twophase
227.145173,-46.004827,800000.0,8.0,29.366231,0.034053,336.160648,1.65,308.918474,0.706607,1096.730449,692.932001,twophase
228.710481,-44.439519,850000.0,8.5,31.077905,0.032177,337.815497,1.65,310.464876,0.707947,1117.293729,699.845179,twophase
230.208596,-42.941404,900000.0,9.0,32.786773,0.0305,339.381671,1.65,311.931577,0.709241,1138.011908,706.651829,twophase
231.646002,-41.503998,950000.0,9.5,34.493374,0.028991,340.868305,1.65,313.326784,0.710494,1158.899959,713.356001,twophase
233.02825,-40.12175,1000000.0,10.0,36.198184,0.027626,342.28317,1.65,314.657475,0.711712,1179.970848,719.959591,twophase
234.360129,-38.789871,1050000.0,10.5,37.901628,0.026384,343.632936,1.65,315.92964,0.712899,1201.236788,726.463219,twophase
235.645806,-37.504194,1100000.0,11.0,39.604089,0.02525,344.923368,1.65,317.148458,0.714059,1222.710536,732.86723,twophase
236.888928,-36.261072,1150000.0,11.5,41.305911,0.02421,346.159491,1.65,318.318439,0.715197,1244.4066,739.172709,twophase
238.092709,-35.057291,1200000.0,12.0,43.007408,0.023252,347.345703,1.65,319.443534,0.716314,1266.342185,745.382351,twophase
239.259995,-33.890005,1250000.0,12.5,44.708866,0.022367,348.485886,1.65,320.527225,0.717415,1288.53776,751.501076,twophase
240.39332,-32.75668,1300000.0,13.0,46.410545,0.021547,349.583475,1.65,321.572599,0.7185,1311.017197,757.536326,twophase
241.494951,-31.655049,1350000.0,13.5,48.112685,0.020785,350.641532,1.65,322.582403,0.719572,1333.807482,763.498018,twophase
242.566925,-30.583075,1400000.0,14.0,49.815508,0.020074,351.662792,1.65,323.559094,0.720634,1356.938055,769.398189,twophase
