T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
218.15,-55.0,3500000.0,35.0,1179.075808,0.000848,83.919554,0.52755,80.951127,,1937.590843,976.136652,liquid
219.15,-54.0,3500000.0,35.0,1175.51181,0.000851,85.858193,0.536416,82.880766,,1939.708353,974.663646,liquid
220.15,-53.0,3500000.0,35.0,1171.929273,0.000853,87.799013,0.545252,84.812485,,1941.954094,973.204784,liquid
221.15,-52.0,3500000.0,35.0,1168.327679,0.000856,89.742145,0.554059,86.74641,,1944.331417,971.760345,liquid
222.15,-51.0,3500000.0,35.0,1164.706492,0.000859,91.687721,0.562836,88.682672,,1946.843853,970.330603,liquid
223.15,-50.0,3500000.0,35.0,1161.065159,0.000861,93.635879,0.571586,90.621406,,1949.495131,968.915828,liquid
224.15,-49.0,3500000.0,35.0,1157.403105,0.000864,95.586759,0.580309,92.562748,,1952.28918,967.516291,liquid
225.15,-48.0,3500000.0,35.0,1153.719738,0.000867,97.540506,0.589006,94.506841,,1955.230156,966.132261,liquid
226.15,-47.0,3500000.0,35.0,1150.01444,0.00087,99.49727,0.597678,96.45383,,1958.322448,964.764012,liquid
227.15,-46.0,3500000.0,35.0,1146.286573,0.000872,101.457203,0.606325,98.403865,,1961.570702,963.41182,liquid
228.15,-45.0,3500000.0,35.0,1142.535473,0.000875,103.420465,0.614949,100.357103,,1964.979838,962.075967,liquid
229.15,-44.0,3500000.0,35.0,1138.760451,0.000878,105.387218,0.623551,102.313701,,1968.55507,960.756745,liquid
230.15,-43.0,3500000.0,35.0,1134.96079,0.000881,107.357632,0.632131,104.273825,,1972.301932,959.454452,liquid
231.15,-42.0,3500000.0,35.0,1131.135746,0.000884,109.331881,0.64069,106.237646,,1976.226305,958.1694,liquid
232.15,-41.0,3500000.0,35.0,1127.284541,0.000887,111.310146,0.64923,108.20534,,1980.334441,956.901914,liquid
233.15,-40.0,3500000.0,35.0,1123.406368,0.00089,113.292614,0.657752,110.177089,,1984.633002,955.652331,liquid
234.15,-39.0,3500000.0,35.0,1119.500381,0.000893,115.279478,0.666255,112.153083,,1989.129089,954.421007,liquid
235.15,-38.0,3500000.0,35.0,1115.5657,0.000896,117.27094,0.674742,114.133518,,1993.830282,953.208313,liquid
236.15,-37.0,3500000.0,35.0,1111.601405,0.0009,119.267209,0.683213,116.118599,,1998.744684,952.01464,liquid
237.15,-36.0,3500000.0,35.0,1107.606532,0.000903,121.268503,0.69167,118.108537,,2003.880965,950.8404,liquid
238.15,-35.0,3500000.0,35.0,1103.580074,0.000906,123.275048,0.700113,120.103552,,2009.248408,949.686028,liquid
239.15,-34.0,3500000.0,35.0,1099.520972,0.000909,125.287081,0.708544,122.103876,,2014.856967,948.55199,liquid
240.15,-33.0,3500000.0,35.0,1095.428116,0.000913,127.304846,0.716964,124.109748,,2020.717318,947.438785,liquid
241.15,-32.0,3500000.0,35.0,1091.300342,0.000916,129.328603,0.725374,126.12142,,2026.840922,946.346962,liquid
242.15,-31.0,3500000.0,35.0,1087.13642,0.00092,131.35862,0.733774,128.139153,,2033.240092,945.277129,liquid
243.15,-30.0,3500000.0,35.0,1082.935059,0.000923,133.395179,0.742167,130.163222,,2039.928062,944.229983,liquid
244.15,-29.0,3500000.0,35.0,1078.694895,0.000927,135.438577,0.750554,132.193915,,2046.919068,943.20633,liquid
245.15,-28.0,3500000.0,35.0,1074.414485,0.000931,137.489124,0.758935,134.231535,,2054.228435,942.207129,liquid
246.15,-27.0,3500000.0,35.0,1070.092308,0.000934,139.547146,0.767313,136.2764,,2061.872679,941.233538,liquid
247.15,-26.0,3500000.0,35.0,1065.726748,0.000938,141.612987,0.775689,138.328843,,2069.869624,940.286968,liquid
248.15,-25.0,3500000.0,35.0,1061.316094,0.000942,143.687009,0.784064,140.389217,,2078.238538,939.369146,liquid
