T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
218.15,-55.0,4000000.0,40.0,1180.103062,0.000847,84.065447,0.526276,80.675912,,1934.523242,976.738546,liquid
219.15,-54.0,4000000.0,40.0,1176.556761,0.00085,86.000971,0.535128,82.60122,,1936.546677,975.260776,liquid
220.15,-53.0,4000000.0,40.0,1172.992388,0.000853,87.938581,0.543949,84.5285,,1938.694544,973.797219,liquid
221.15,-52.0,4000000.0,40.0,1169.409446,0.000855,89.878403,0.552741,86.457873,,1940.96999,972.348142,liquid
222.15,-51.0,4000000.0,40.0,1165.807419,0.000858,91.820565,0.561503,88.389467,,1943.376328,970.913807,liquid
223.15,-50.0,4000000.0,40.0,1162.185775,0.00086,93.7652,0.570237,90.32341,,1945.917048,969.494476,liquid
224.15,-49.0,4000000.0,40.0,1158.543963,0.000863,95.712445,0.578944,92.259835,,1948.595833,968.090404,liquid
225.15,-48.0,4000000.0,40.0,1154.881413,0.000866,97.662439,0.587624,94.19888,,1951.416566,966.70185,liquid
226.15,-47.0,4000000.0,40.0,1151.197535,0.000869,99.615327,0.596278,96.140684,,1954.383349,965.329072,liquid
227.15,-46.0,4000000.0,40.0,1147.491715,0.000871,101.571256,0.604908,98.085392,,1957.500516,963.97233,liquid
228.15,-45.0,4000000.0,40.0,1143.763319,0.000874,103.53038,0.613514,100.033153,,1960.772653,962.631892,liquid
229.15,-44.0,4000000.0,40.0,1140.011688,0.000877,105.492855,0.622097,101.984119,,1964.204613,961.30803,liquid
230.15,-43.0,4000000.0,40.0,1136.236137,0.00088,107.458844,0.630658,103.938449,,1967.801542,960.001025,liquid
231.15,-42.0,4000000.0,40.0,1132.435955,0.000883,109.428515,0.639197,105.896306,,1971.568898,958.711168,liquid
232.15,-41.0,4000000.0,40.0,1128.610402,0.000886,111.40204,0.647717,107.857859,,1975.51248,957.43876,liquid
233.15,-40.0,4000000.0,40.0,1124.758708,0.000889,113.3796,0.656217,109.823282,,1979.638451,956.184117,liquid
234.15,-39.0,4000000.0,40.0,1120.88007,0.000892,115.36138,0.664699,111.792756,,1983.953376,954.947567,liquid
235.15,-38.0,4000000.0,40.0,1116.973651,0.000895,117.347572,0.673163,113.766467,,1988.464249,953.729453,liquid
236.15,-37.0,4000000.0,40.0,1113.038577,0.000898,119.338376,0.681611,115.744611,,1993.178533,952.530139,liquid
237.15,-36.0,4000000.0,40.0,1109.073936,0.000902,121.334,0.690044,117.727387,,1998.104196,951.350002,liquid
238.15,-35.0,4000000.0,40.0,1105.078775,0.000905,123.334658,0.698463,119.715007,,2003.249759,950.189446,liquid
239.15,-34.0,4000000.0,40.0,1101.052093,0.000908,125.340576,0.706868,121.707687,,2008.624335,949.048899,liquid
240.15,-33.0,4000000.0,40.0,1096.992843,0.000912,127.351986,0.715261,123.705655,,2014.23768,947.92882,liquid
