T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
218.15,-55.0,600000.0,6.0,1172.953953,0.000853,83.103952,0.535115,82.592423,,1956.615147,972.490874,liquid
219.15,-54.0,600000.0,6.0,1169.280818,0.000855,85.061917,0.54407,84.548782,,1959.341508,971.045246,liquid
220.15,-53.0,600000.0,6.0,15.828073,0.063179,431.757146,2.119725,393.849814,,930.247898,639.008089,gas
221.15,-52.0,600000.0,6.0,15.730485,0.063571,432.686076,2.123935,394.543578,,927.615925,638.707568,gas
222.15,-51.0,600000.0,6.0,15.634492,0.063961,433.612389,2.128114,395.235702,,925.01872,638.380619,gas
223.15,-50.0,600000.0,6.0,15.540047,0.06435,434.53613,2.132263,395.926208,,922.472511,638.041534,gas
224.15,-49.0,600000.0,6.0,15.447106,0.064737,435.457356,2.136382,396.615128,,919.98964,637.701721,gas
225.15,-48.0,600000.0,6.0,15.355625,0.065123,436.376134,2.140472,397.302504,,917.579298,637.370223,gas
226.15,-47.0,600000.0,6.0,15.265563,0.065507,437.292541,2.144533,397.988389,,915.248126,637.054135,gas
227.15,-46.0,600000.0,6.0,15.176879,0.06589,438.206658,2.148567,398.672839,,913.000718,636.758956,gas
228.15,-45.0,600000.0,6.0,15.089535,0.066271,439.118571,2.152572,399.355914,,910.840019,636.488882,gas
229.15,-44.0,600000.0,6.0,15.003492,0.066651,440.028367,2.156551,400.037678,,908.767661,636.247047,gas
230.15,-43.0,600000.0,6.0,14.918715,0.06703,440.936136,2.160504,400.718195,,906.784236,636.035718,gas
231.15,-42.0,600000.0,6.0,14.835169,0.067407,441.841965,2.164431,401.397533,,904.889519,635.856462,gas
232.15,-41.0,600000.0,6.0,14.752821,0.067784,442.745944,2.168334,402.075755,,903.082647,635.710284,gas
233.15,-40.0,600000.0,6.0,14.671637,0.068159,443.64816,2.172212,402.752928,,901.362267,635.597733,gas
234.15,-39.0,600000.0,6.0,14.591589,0.068533,444.548697,2.176066,403.429117,,899.726656,635.519001,gas
235.15,-38.0,600000.0,6.0,14.512645,0.068905,445.447641,2.179897,404.104383,,898.173816,635.473989,gas
236.15,-37.0,600000.0,6.0,14.434777,0.069277,446.345072,2.183705,404.778791,,896.701551,635.462373,gas
237.15,-36.0,600000.0,6.0,14.357958,0.069648,447.24107,2.187492,405.452399,,895.307524,635.483651,gas
238.15,-35.0,600000.0,6.0,14.282162,0.070017,448.135712,2.191256,406.125266,,893.989312,635.537183,gas
239.15,-34.0,600000.0,6.0,14.207363,0.070386,449.029073,2.195,406.79745,,892.744439,635.622224,gas
240.15,-33.0,600000.0,6.0,14.133537,0.070754,449.921224,2.198722,407.469005,,891.57041,635.737945,gas
241.15,-32.0,600000.0,6.0,14.060659,0.07112,450.812236,2.202425,408.139984,,890.464731,635.883461,gas
242.15,-31.0,600000.0,6.0,13.988709,0.071486,451.702176,2.206108,408.81044,,889.424932,636.057846,gas
243.15,-30.0,600000.0,6.0,13.917663,0.071851,452.591107,2.209771,409.48042,,888.448581,636.260147,gas
244.15,-29.0,600000.0,6.0,13.8475,0.072215,453.479093,2.213416,410.149974,,887.533295,636.489398,gas
245.15,-28.0,600000.0,6.0,13.778202,0.072578,454.366194,2.217042,410.819146,,886.676753,636.74463,gas
246.15,-27.0,600000.0,6.0,13.709747,0.072941,455.252466,2.220649,411.487982,,885.8767,637.024878,gas
247.15,-26.0,600000.0,6.0,13.642117,0.073302,456.137965,2.22424,412.156522,,885.130955,637.329195,gas
248.15,-25.0,600000.0,6.0,13.575294,0.073663,457.022745,2.227812,412.824808,,884.437412,637.656649,gas
249.15,-24.0,600000.0,6.0,13.509261,0.074023,457.906857,2.231368,413.492879,,883.794045,638.006335,gas
250.15,-23.0,600000.0,6.0,13.443999,0.074383,458.790349,2.234907,414.160772,,883.198908,638.377371,gas
251.15,-22.0,600000.0,6.0,13.379494,0.074741,459.67327,2.238429,414.828524,,882.650134,638.768909,gas
252.15,-21.0,600000.0,6.0,13.315728,0.075099,460.555664,2.241936,415.496169,,882.145936,639.180128,gas
253.15,-20.0,600000.0,6.0,13.252688,0.075456,461.437576,2.245426,416.16374,,881.6846,639.610239,gas
254.15,-19.0,600000.0,6.0,13.190356,0.075813,462.319047,2.248902,416.83127,,881.264489,640.058484,gas
255.15,-18.0,600000.0,6.0,13.128721,0.076169,463.200118,2.252362,417.498788,,880.884036,640.524134,gas
256.15,-17.0,600000.0,6.0,13.067766,0.076524,464.080828,2.255807,418.166325,,880.541742,641.006492,gas
257.15,-16.0,600000.0,6.0,13.00748,0.076879,464.961214,2.259237,418.833908,,880.236171,641.504885,gas
258.15,-15.0,600000.0,6.0,12.947848,0.077233,465.841312,2.262653,419.501565,,879.965952,642.018669,gas
259.15,-14.0,600000.0,6.0,12.888858,0.077586,466.721157,2.266054,420.169323,,879.729771,642.547226,gas
260.15,-13.0,600000.0,6.0,12.830498,0.077939,467.600783,2.269442,420.837205,,879.526369,643.089963,gas
261.15,-12.0,600000.0,6.0,12.772756,0.078292,468.48022,2.272816,421.505238,,879.354541,643.646309,gas
262.15,-11.0,600000.0,6.0,12.71562,0.078643,469.359502,2.276177,422.173443,,879.213132,644.215715,gas
263.15,-10.0,600000.0,6.0,12.659079,0.078995,470.238657,2.279524,422.841843,,879.101037,644.797656,gas
264.15,-9.0,600000.0,6.0,12.603122,0.079345,471.117713,2.282858,423.51046,,879.017195,645.391625,gas
265.15,-8.0,600000.0,6.0,12.547738,0.079696,471.9967,2.286179,424.179315,,878.96059,645.997138,gas
266.15,-7.0,600000.0,6.0,12.492917,0.080045,472.875643,2.289488,424.848427,,878.930246,646.613727,gas
267.15,-6.0,600000.0,6.0,12.438648,0.080395,473.754569,2.292784,425.517816,,878.92523,647.240943,gas
268.15,-5.0,600000.0,6.0,12.384923,0.080743,474.633502,2.296068,426.187501,,878.944645,647.878358,gas
269.15,-4.0,600000.0,6.0,12.331732,0.081092,475.512466,2.29934,426.857498,,878.987632,648.525558,gas
270.15,-3.0,600000.0,6.0,12.279064,0.081439,476.391485,2.3026,427.527826,,879.053367,649.182146,gas
271.15,-2.0,600000.0,6.0,12.226912,0.081787,477.27058,2.305848,428.198501,,879.141058,649.847743,gas
272.15,-1.0,600000.0,6.0,12.175266,0.082134,478.149774,2.309084,428.869538,,879.24995,650.521985,gas
273.15,0.0,600000.0,6.0,12.124119,0.08248,479.029087,2.312309,429.540954,,879.379314,651.204525,gas
274.15,1.0,600000.0,6.0,12.073461,0.082826,479.908539,2.315523,430.212762,,879.528455,651.895028,gas
275.15,2.0,600000.0,6.0,12.023284,0.083172,480.78815,2.318726,430.884978,,879.696705,652.593176,gas
