T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
218.15,-55.0,553965.487952,5.539655,250.0,0.004,99.361752,0.609821,97.14589,0.046768,21765.108398,239369.418098,twophase
219.15,-54.0,578047.501901,5.780475,250.0,0.004,101.919912,0.62108,99.607722,0.048699,55304.18104,236927.369939,twophase
220.15,-53.0,602910.254946,6.029103,250.0,0.004,104.495322,0.632352,102.083681,0.050692,96175.845103,239079.218595,twophase
221.15,-52.0,628569.567092,6.285696,250.0,0.004,107.088261,0.643638,104.573983,0.052749,144044.14721,246123.981264,twophase
222.15,-51.0,655041.35182,6.550414,250.0,0.004,109.699007,0.654939,107.078842,0.054871,196224.877283,257996.581686,twophase
223.15,-50.0,682341.614757,6.823416,250.0,0.004,112.32784,0.666256,109.598474,0.05706,247096.444877,274147.127588,twophase
224.15,-49.0,710486.452496,7.104865,250.0,0.004,114.975039,0.677589,112.133093,0.059317,288708.065024,293451.218419,twophase
225.15,-48.0,739492.051537,7.394921,250.0,0.004,117.640884,0.688939,114.682916,0.061645,313012.257274,314179.435689,twophase
226.15,-47.0,769374.687392,7.693747,250.0,0.004,120.325657,0.700307,117.248158,0.064045,314798.630969,334050.141086,twophase
227.15,-46.0,800150.723823,8.001507,250.0,0.004,123.029638,0.711694,119.829035,0.066519,293400.460388,350378.940044,twophase
228.15,-45.0,831836.61225,8.318366,250.0,0.004,125.75311,0.723101,122.425764,0.069069,252124.270231,360321.582686,twophase
229.15,-44.0,864448.891306,8.644489,250.0,0.004,128.496357,0.734528,125.038561,0.071696,196242.738567,361187.402876,twophase
230.15,-43.0,898004.186561,8.980042,250.0,0.004,131.259662,0.745976,127.667646,0.074404,131103.029241,350781.804363,twophase
231.15,-42.0,932519.210409,9.325192,250.0,0.004,134.043312,0.757446,130.313236,0.077194,61153.757215,327723.496714,twophase
232.15,-41.0,968010.762117,9.680108,250.0,0.004,136.847594,0.768939,132.975551,0.080068,-10211.817362,291679.19376,twophase
233.15,-40.0,1004495.728044,10.044957,250.0,0.004,139.672797,0.780455,135.654814,0.083029,-80421.844968,243467.454821,twophase
234.15,-39.0,1041991.08202,10.419911,250.0,0.004,142.519211,0.791996,138.351246,0.086079,-147433.28951,185003.684194,twophase
235.15,-38.0,1080513.885892,10.805139,250.0,0.004,145.387128,0.803561,141.065073,0.08922,-209533.817517,119086.518817,twophase
236.15,-37.0,1120081.290228,11.200813,250.0,0.004,148.276845,0.815152,143.796519,0.092455,-265269.716011,49056.166904,twophase
237.15,-36.0,1160710.53519,11.607105,250.0,0.004,151.188656,0.82677,146.545814,0.095787,-313474.294512,-21619.01475,twophase
238.15,-35.0,1202418.951559,12.02419,250.0,0.004,154.122863,0.838415,149.313187,0.099219,-353351.50312,-89756.33288,twophase
239.15,-34.0,1245223.961946,12.45224,250.0,0.004,157.079768,0.850087,152.098872,0.102753,-384567.067289,-152800.921241,twophase
240.15,-33.0,1289143.082171,12.891431,250.0,0.004,160.059675,0.861789,154.903102,0.106392,-407305.645174,-209038.468031,twophase
241.15,-32.0,1334193.922843,13.341939,250.0,0.004,163.062894,0.87352,157.726118,0.11014,-422264.809541,-257646.915067,twophase
242.15,-31.0,1380394.191151,13.803942,250.0,0.004,166.089736,0.885281,160.568159,0.113999,-430573.758172,-298587.934423,twophase
243.15,-30.0,1427761.692903,14.277617,250.0,0.004,169.140518,0.897072,163.429471,0.117974,-433644.008292,-332370.478114,twophase
244.15,-29.0,1476314.334826,14.763143,250.0,0.004,172.215558,0.908896,166.310301,0.122068,-432976.756576,-359742.519854,twophase
245.15,-28.0,1526070.127182,15.260701,250.0,0.004,175.315183,0.920752,169.210902,0.126285,-429962.564963,-381378.440703,twophase
246.15,-27.0,1577047.186718,15.770472,250.0,0.004,178.439719,0.932642,172.13153,0.130628,-425710.611429,-397626.50542,twophase
247.15,-26.0,1629263.740006,16.292637,250.0,0.004,181.5895,0.944565,175.072445,0.135102,-420936.90848,-408364.931997,twophase
248.15,-25.0,1682738.1272,16.827381,250.0,0.004,184.764865,0.956523,178.033913,0.139711,-415926.570897,-412990.293902,twophase
249.15,-24.0,1737488.806252,17.374888,250.0,0.004,187.966158,0.968517,181.016203,0.144459,-410568.984592,-410534.131725,twophase
250.15,-23.0,1793534.357628,17.935344,250.0,0.004,191.193728,0.980548,184.019591,0.149353,-404450.996597,-399878.604343,twophase
251.15,-22.0,1850893.48954,18.508935,250.0,0.004,194.447932,0.992615,187.044358,0.154395,-396984.85001,-380024.580598,twophase
252.15,-21.0,1909585.043743,19.09585,250.0,0.004,197.729131,1.004721,190.090791,0.159593,-387545.314847,-350358.523864,twophase
253.15,-20.0,1969628.001902,19.69628,250.0,0.004,201.037695,1.016866,193.159183,0.164951,-375593.406968,-310868.215371,twophase
254.15,-19.0,2031041.492565,20.310415,250.0,0.004,204.374,1.029051,196.249834,0.170476,-360770.40224,-262269.96695,twophase
255.15,-18.0,2093844.798745,20.938448,250.0,0.004,207.738434,1.041276,199.363055,0.176174,-342953.524639,-206028.123883,twophase
256.15,-17.0,2158057.366143,21.580574,250.0,0.004,211.131389,1.053543,202.499159,0.182052,-322272.030916,-144267.344301,twophase
257.15,-16.0,2223698.812013,22.236988,250.0,0.004,214.55327,1.065853,205.658475,0.188117,-299088.305432,-79595.605133,twophase
258.15,-15.0,2290788.934707,22.907889,250.0,0.004,218.004493,1.078206,208.841338,0.194376,-273952.466105,-14868.321389,twophase
259.15,-14.0,2359347.7239,23.593477,250.0,0.004,221.485486,1.090604,212.048095,0.200838,-247540.790809,47070.084293,twophase
260.15,-13.0,2429395.371544,24.293954,250.0,0.004,224.996688,1.103048,215.279107,0.207511,-220588.261151,103631.422508,twophase
261.15,-12.0,2500952.28359,25.009523,250.0,0.004,228.538557,1.115539,218.534748,0.214405,-193824.139096,152686.089355,twophase
262.15,-11.0,2574039.092508,25.740391,250.0,0.004,232.111563,1.128077,221.815407,0.221529,-167917.265638,192702.457552,twophase
263.15,-10.0,2648676.670696,26.486767,250.0,0.004,235.716197,1.140664,225.12149,0.228895,-143435.203915,222814.315826,twophase
264.15,-9.0,2724886.144851,27.248861,250.0,0.004,239.352967,1.153302,228.453423,0.236513,-120818.862575,242817.930246,twophase
265.15,-8.0,2802688.911404,28.026889,250.0,0.004,243.022405,1.165991,231.811649,0.244397,-100372.130846,253108.843494,twophase
266.15,-7.0,2882106.653154,28.821067,250.0,0.004,246.725063,1.178734,235.196636,0.252559,-82264.508174,254574.171221,twophase
267.15,-6.0,2963161.357269,29.631614,250.0,0.004,250.46152,1.19153,238.608874,0.261014,-66543.77362,248458.659353,twophase
268.15,-5.0,3045875.334827,30.458753,250.0,0.004,254.232381,1.204383,242.04888,0.269778,-53155.373989,236222.426971,twophase
269.15,-4.0,3130271.242148,31.302712,250.0,0.004,258.038283,1.217293,245.517198,0.278867,-41965.311667,219405.792759,twophase
270.15,-3.0,3216372.10418,32.163721,250.0,0.004,261.87989,1.230262,249.014402,0.2883,-32783.747576,199512.697365,twophase
271.15,-2.0,3304201.340249,33.042013,250.0,0.004,265.757905,1.243293,252.5411,0.298097,-25387.160606,177919.817361,twophase
272.15,-1.0,3393782.792533,33.937828,250.0,0.004,269.673066,1.256386,256.097935,0.308281,-19537.596514,155814.219904,twophase
273.15,0.0,3485140.757663,34.851408,250.0,0.004,273.626152,1.269545,259.685588,0.318875,-14998.198537,134158.831838,twophase
274.15,1.0,3578300.021874,35.783,250.0,0.004,277.617987,1.28277,263.304787,0.329907,-11544.7731,113682.372587,twophase
275.15,2.0,3673285.90018,36.732859,250.0,0.004,281.649445,1.296066,266.956302,0.341406,-8973.573088,94888.804701,twophase
276.15,3.0,3770124.28005,37.701243,250.0,0.004,285.721458,1.309433,270.640961,0.353404,-7105.770488,78080.709988,twophase
277.15,4.0,3868841.670069,38.688417,250.0,0.004,289.835018,1.322875,274.359651,0.365939,-5789.252031,63391.122191,twophase
278.15,5.0,3969465.254062,39.694653,250.0,0.004,293.99119,1.336394,278.113329,0.379052,-4898.430147,50819.011412,twophase
279.15,6.0,4072022.951167,40.72023,250.0,0.004,298.19112,1.349994,281.903028,0.392787,-4332.747726,40264.591339,twophase
280.15,7.0,4176543.482326,41.765435,250.0,0.004,302.43605,1.363679,285.729876,0.407196,-4014.501675,31561.707315,twophase
281.15,8.0,4283056.443751,42.830564,250.0,0.004,306.727329,1.377451,289.595103,0.422339,-3886.549792,24505.608051,twophase
282.15,9.0,4391592.388059,43.915924,250.0,0.004,311.066428,1.391315,293.500058,0.438282,-3910.434079,18875.305047,twophase
283.15,10.0,4502182.914108,45.021829,250.0,0.004,315.454962,1.405277,297.446231,0.455102,-4065.499022,14450.428843,twophase
284.15,11.0,4614860.76719,46.148608,250.0,0.004,319.894708,1.41934,301.435265,0.472886,-4349.793591,11022.987145,twophase
285.15,12.0,4729659.952233,47.2966,250.0,0.004,324.387625,1.433511,305.468985,0.491739,-4784.125935,8404.731612,twophase
286.15,13.0,4846615.864237,48.466159,250.0,0.004,328.93588,1.447795,309.549417,0.511779,-5422.154695,6430.979812,twophase
287.15,14.0,4965765.442462,49.657654,250.0,0.004,333.541878,1.462201,313.678816,0.53315,-6373.603846,4961.755452,twophase
288.15,15.0,5087147.357958,50.871474,250.0,0.004,338.20829,1.476736,317.8597,0.556021,-7860.824852,3881.042887,twophase
289.15,16.0,5210802.248007,52.108022,250.0,0.004,342.938097,1.491408,322.094888,0.580597,-10377.838008,3094.835625,twophase
290.15,17.0,5336773.015663,53.36773,250.0,0.004,347.734647,1.506228,326.387555,0.607127,-15258.480837,2528.521636,twophase
291.15,18.0,5465105.21747,54.651052,250.0,0.004,352.601732,1.521208,330.741311,0.635922,-27792.586782,2124.011601,twophase
292.15,19.0,5595847.566647,55.958476,250.0,0.004,357.543707,1.536359,335.160317,0.66737,-115301.455774,1836.893395,twophase
293.15,20.0,5729052.581475,57.290526,250.0,0.004,362.565658,1.551699,339.649447,0.701969,63086.035033,1633.793799,twophase
294.15,21.0,5864777.408198,58.647774,250.0,0.004,367.673648,1.567245,344.214538,0.740372,26650.85136,1490.048222,twophase
295.15,22.0,6003084.845597,60.030848,250.0,0.004,372.875075,1.58302,348.862736,0.783452,17665.723582,1387.71991,twophase
296.15,23.0,6144044.601843,61.440446,250.0,0.004,378.179173,1.599053,353.602994,0.832419,13598.676886,1313.969092,twophase
297.15,24.0,6287734.847216,62.877348,250.0,0.004,383.597732,1.615381,358.446793,0.88901,11265.150801,1259.746703,twophase
298.15,25.0,6434244.25064,64.342443,250.0,0.004,389.146204,1.632053,363.409227,0.955845,9736.156834,1218.773307,twophase
299.15,26.0,6556677.752154,65.566778,250.0,0.004,393.036466,1.643445,366.809755,,8644.508117,1186.758442,gas
300.15,27.0,6643587.476669,66.435875,250.0,0.004,394.557478,1.647361,367.983128,,7817.403043,1160.815884,gas
