T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
283.15,10.0,600000.0,6.0,11.63829,0.085923,487.832882,2.343964,436.278917,,881.659113,658.419792,gas
283.15,10.0,625000.0,6.25,12.142826,0.082353,487.556405,2.335561,436.085687,,884.121833,659.264417,gas
283.15,10.0,650000.0,6.5,12.649048,0.079057,487.279109,2.327458,435.891844,,886.605361,660.112768,gas
283.15,10.0,675000.0,6.75,13.156971,0.076005,487.000985,2.319632,435.697383,,889.110019,660.964899,gas
283.15,10.0,700000.0,7.0,13.666609,0.073171,486.722028,2.312062,435.502298,,891.636132,661.820867,gas
283.15,10.0,725000.0,7.25,14.177977,0.070532,486.442229,2.304732,435.306585,,894.184035,662.680728,gas
283.15,10.0,750000.0,7.5,14.691092,0.068068,486.161581,2.297623,435.110236,,896.75407,663.544542,gas
283.15,10.0,775000.0,7.75,15.205969,0.065764,485.880076,2.290722,434.913247,,899.346582,664.412365,gas
283.15,10.0,800000.0,8.0,15.722623,0.063603,485.597707,2.284015,434.715612,,901.961926,665.284259,gas
283.15,10.0,825000.0,8.25,16.241071,0.061572,485.314466,2.277489,434.517323,,904.600466,666.160283,gas
283.15,10.0,850000.0,8.5,16.761329,0.059661,485.030345,2.271135,434.318377,,907.262568,667.040499,gas
283.15,10.0,875000.0,8.75,17.283414,0.057859,484.745336,2.264941,434.118765,,909.948612,667.92497,gas
283.15,10.0,900000.0,9.0,17.807343,0.056157,484.45943,2.258898,433.918483,,912.65898,668.813759,gas
283.15,10.0,925000.0,9.25,18.333133,0.054546,484.17262,2.252999,433.717523,,915.394067,669.70693,gas
283.15,10.0,950000.0,9.5,18.860801,0.05302,483.884897,2.247235,433.515879,,918.154273,670.604549,gas
283.15,10.0,975000.0,9.75,19.390364,0.051572,483.596252,2.241599,433.313546,,920.940008,671.506682,gas
283.15,10.0,1000000.0,10.0,19.921842,0.050196,483.306677,2.236084,433.110515,,923.75169,672.413397,gas
283.15,10.0,1025000.0,10.25,20.455252,0.048887,483.016162,2.230684,432.906781,,926.589746,673.324763,gas
283.15,10.0,1050000.0,10.5,20.990612,0.04764,482.7247,2.225394,432.702337,,929.454614,674.24085,gas
283.15,10.0,1075000.0,10.75,21.527941,0.046451,482.432281,2.220208,432.497175,,932.34674,675.161728,gas
283.15,10.0,1100000.0,11.0,22.067259,0.045316,482.138895,2.215121,432.291289,,935.266579,676.087471,gas
283.15,10.0,1125000.0,11.25,22.608584,0.044231,481.844533,2.210128,432.084671,,938.214598,677.01815,gas
283.15,10.0,1150000.0,11.5,23.151936,0.043193,481.549186,2.205226,431.877315,,941.191274,677.953842,gas
283.15,10.0,1175000.0,11.75,23.697336,0.042199,481.252844,2.20041,431.669212,,944.197092,678.894623,gas
283.15,10.0,1200000.0,12.0,24.244804,0.041246,480.955497,2.195677,431.460356,,947.232553,679.840569,gas
283.15,10.0,1225000.0,12.25,24.79436,0.040332,480.657135,2.191022,431.250738,,950.298165,680.791759,gas
283.15,10.0,1250000.0,12.5,25.346025,0.039454,480.357749,2.186442,431.040352,,953.394449,681.748274,gas
283.15,10.0,1275000.0,12.75,25.899821,0.03861,480.057327,2.181935,430.829188,,956.521939,682.710196,gas
283.15,10.0,1300000.0,13.0,26.455769,0.037799,479.755859,2.177498,430.617239,,959.68118,683.677607,gas
283.15,10.0,1325000.0,13.25,27.013892,0.037018,479.453335,2.173127,430.404497,,962.872731,684.650591,gas
283.15,10.0,1350000.0,13.5,27.574211,0.036266,479.149743,2.168819,430.190954,,966.097163,685.629237,gas
283.15,10.0,1375000.0,13.75,28.13675,0.035541,478.845073,2.164574,429.976601,,969.355061,686.61363,gas
283.15,10.0,1400000.0,14.0,28.701532,0.034841,478.539314,2.160387,429.76143,,972.647024,687.603861,gas
283.15,10.0,1425000.0,14.25,29.26858,0.034166,478.232454,2.156257,429.545431,,975.973666,688.600021,gas
283.15,10.0,1450000.0,14.5,29.837918,0.033514,477.924481,2.152182,429.328596,,979.335615,689.602203,gas
283.15,10.0,1475000.0,14.75,30.409571,0.032884,477.615383,2.148159,429.110917,,982.733515,690.610502,gas
283.15,10.0,1500000.0,15.0,30.983563,0.032275,477.30515,2.144187,428.892383,,986.168024,691.625014,gas
283.15,10.0,1525000.0,15.25,31.55992,0.031686,476.993767,2.140264,428.672986,,989.639819,692.645837,gas
283.15,10.0,1550000.0,15.5,32.138667,0.031115,476.681224,2.136388,428.452715,,993.149593,693.673073,gas
283.15,10.0,1575000.0,15.75,32.719831,0.030563,476.367507,2.132557,428.231562,,996.698054,694.706824,gas
283.15,10.0,1600000.0,16.0,33.303439,0.030027,476.052604,2.12877,428.009517,,1000.285932,695.747194,gas
283.15,10.0,1625000.0,16.25,33.889516,0.029508,475.736501,2.125026,427.786568,,1003.913973,696.79429,gas
283.15,10.0,1650000.0,16.5,34.478092,0.029004,475.419185,2.121322,427.562707,,1007.582943,697.848222,gas
283.15,10.0,1675000.0,16.75,35.069193,0.028515,475.100642,2.117658,427.337923,,1011.293626,698.9091,gas
283.15,10.0,1700000.0,17.0,35.662849,0.02804,474.780859,2.114032,427.112205,,1015.04683,699.977038,gas
283.15,10.0,1725000.0,17.25,36.259089,0.027579,474.459821,2.110443,426.885543,,1018.843381,701.052152,gas
283.15,10.0,1750000.0,17.5,36.857942,0.027131,474.137515,2.106889,426.657924,,1022.684128,702.134561,gas
283.15,10.0,1775000.0,17.75,37.459439,0.026696,473.813925,2.10337,426.429339,,1026.569944,703.224385,gas
283.15,10.0,1800000.0,18.0,38.063611,0.026272,473.489036,2.099885,426.199776,,1030.501723,704.321749,gas
283.15,10.0,1825000.0,18.25,38.670489,0.02586,473.162834,2.096431,425.969223,,1034.480385,705.426779,gas
283.15,10.0,1850000.0,18.5,39.280104,0.025458,472.835303,2.093009,425.737668,,1038.506875,706.539605,gas
283.15,10.0,1875000.0,18.75,39.892491,0.025067,472.506427,2.089617,425.505099,,1042.582162,707.660357,gas
283.15,10.0,1900000.0,19.0,40.507681,0.024687,472.176189,2.086255,425.271505,,1046.707246,708.789173,gas
283.15,10.0,1925000.0,19.25,41.125709,0.024316,471.844575,2.08292,425.036871,,1050.883151,709.926189,gas
283.15,10.0,1950000.0,19.5,41.74661,0.023954,471.511566,2.079613,424.801186,,1055.110931,711.071548,gas
283.15,10.0,1975000.0,19.75,42.370418,0.023601,471.177146,2.076333,424.564436,,1059.391672,712.225394,gas
283.15,10.0,2000000.0,20.0,42.99717,0.023257,470.841297,2.073078,424.326608,,1063.726488,713.387876,gas
283.15,10.0,2025000.0,20.25,43.626903,0.022922,470.504002,2.069848,424.087688,,1068.116528,714.559145,gas
283.15,10.0,2050000.0,20.5,44.259654,0.022594,470.165242,2.066643,423.847663,,1072.562973,715.739357,gas
283.15,10.0,2075000.0,20.75,44.895461,0.022274,469.824999,2.06346,423.606518,,1077.067038,716.928671,gas
283.15,10.0,2100000.0,21.0,45.534363,0.021961,469.483254,2.060301,423.364239,,1081.629977,718.12725,gas
283.15,10.0,2125000.0,21.25,46.176401,0.021656,469.139988,2.057163,423.12081,,1086.253078,719.335261,gas
283.15,10.0,2150000.0,21.5,46.821615,0.021358,468.79518,2.054046,422.876217,,1090.93767,720.552876,gas
283.15,10.0,2175000.0,21.75,47.470046,0.021066,468.448811,2.05095,422.630445,,1095.685122,721.78027,gas
283.15,10.0,2200000.0,22.0,48.121738,0.020781,468.100861,2.047874,422.383476,,1100.496844,723.017624,gas
283.15,10.0,2225000.0,22.25,48.776733,0.020502,467.751308,2.044817,422.135297,,1105.374292,724.265122,gas
283.15,10.0,2250000.0,22.5,49.435076,0.020229,467.40013,2.041779,421.885889,,1110.318964,725.522953,gas
283.15,10.0,2275000.0,22.75,50.096813,0.019961,467.047306,2.038759,421.635236,,1115.33241,726.791313,gas
283.15,10.0,2300000.0,23.0,50.761989,0.0197,466.692814,2.035756,421.38332,,1120.416225,728.0704,gas
