T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
476.141803,202.991803,20000.0,0.2,0.222924,4.485835,1000.0,4.107526,910.283294,,2449.066649,2259.85709,supercritical_gas
476.253086,203.103086,45000.0,0.45,0.501898,1.992437,1000.0,3.954784,910.340321,,2450.578451,2260.548637,supercritical_gas
476.364369,203.214369,70000.0,0.7,0.781226,1.280039,1000.0,3.871638,910.397284,,2452.093087,2261.240024,supercritical_gas
476.475649,203.325649,95000.0,0.95,1.060909,0.942588,1000.0,3.81422,910.454184,,2453.610562,2261.931248,supercritical_gas
476.586928,203.436928,120000.0,1.2,1.340947,0.745741,1000.0,3.770335,910.51102,,2455.13088,2262.622308,supercritical_gas
476.698206,203.548206,145000.0,1.45,1.62134,0.616774,1000.0,3.734815,910.567792,,2456.654047,2263.313201,supercritical_gas
476.809481,203.659481,170000.0,1.7,1.902087,0.525738,1000.0,3.704986,910.624499,,2458.180066,2264.003925,supercritical_gas
476.920754,203.770754,195000.0,1.95,2.18319,0.458045,1000.0,3.67928,910.681142,,2459.708943,2264.694477,supercritical_gas
477.032024,203.882024,220000.0,2.2,2.464647,0.405738,1000.0,3.656698,910.73772,,2461.240681,2265.384857,supercritical_gas
477.143292,203.993292,245000.0,2.45,2.746459,0.364105,1000.0,3.636566,910.794233,,2462.775286,2266.07506,supercritical_gas
477.254557,204.104557,270000.0,2.7,3.028627,0.330183,1000.0,3.618409,910.85068,,2464.312761,2266.765085,supercritical_gas
477.365818,204.215818,295000.0,2.95,3.311149,0.30201,1000.0,3.601874,910.907061,,2465.85311,2267.454931,supercritical_gas
477.477077,204.327077,320000.0,3.2,3.594027,0.278239,1000.0,3.586699,910.963377,,2467.396338,2268.144593,supercritical_gas
477.588332,204.438332,345000.0,3.45,3.877259,0.257914,1000.0,3.572678,911.019626,,2468.942449,2268.834071,supercritical_gas
477.699584,204.549584,370000.0,3.7,4.160847,0.240336,1000.0,3.559649,911.075808,,2470.491447,2269.523362,supercritical_gas
477.810831,204.660831,395000.0,3.95,4.444791,0.224982,1000.0,3.547483,911.131924,,2472.043335,2270.212462,supercritical_gas
477.922075,204.772075,420000.0,4.2,4.729089,0.211457,1000.0,3.536074,911.187972,,2473.598117,2270.901371,supercritical_gas
478.033314,204.883314,445000.0,4.45,5.013743,0.199452,1000.0,3.525334,911.243953,,2475.155797,2271.590086,supercritical_gas
478.144548,204.994548,470000.0,4.7,5.298752,0.188724,1000.0,3.51519,911.299866,,2476.716379,2272.278604,supercritical_gas
478.255778,205.105778,495000.0,4.95,5.584116,0.179079,1000.0,3.50558,911.355712,,2478.279866,2272.966922,supercritical_gas
478.367003,205.217003,520000.0,5.2,5.869836,0.170363,1000.0,3.496452,911.411488,,2479.846261,2273.655039,supercritical_gas
478.478223,205.328223,545000.0,5.45,6.15591,0.162446,1000.0,3.487759,911.467197,,2481.415567,2274.342952,supercritical_gas
478.589437,205.439437,570000.0,5.7,6.44234,0.155223,1000.0,3.479464,911.522836,,2482.987789,2275.030658,supercritical_gas
478.700646,205.550646,595000.0,5.95,6.729125,0.148608,1000.0,3.471532,911.578406,,2484.562928,2275.718155,supercritical_gas
478.811849,205.661849,620000.0,6.2,7.016266,0.142526,1000.0,3.463933,911.633907,,2486.140988,2276.40544,supercritical_gas
478.923046,205.773046,645000.0,6.45,7.303761,0.136916,1000.0,3.456641,911.689338,,2487.721973,2277.092511,supercritical_gas
479.034236,205.884236,670000.0,6.7,7.591612,0.131724,1000.0,3.449631,911.744698,,2489.305883,2277.779365,supercritical_gas
479.14542,205.99542,695000.0,6.95,7.879818,0.126906,1000.0,3.442885,911.799989,,2490.892724,2278.465999,supercritical_gas
479.256597,206.106597,720000.0,7.2,8.168378,0.122423,1000.0,3.436383,911.855208,,2492.482496,2279.152411,supercritical_gas
479.367767,206.217767,745000.0,7.45,8.457294,0.118241,1000.0,3.430108,911.910357,,2494.075202,2279.838599,supercritical_gas
479.47893,206.32893,770000.0,7.7,8.746564,0.114331,1000.0,3.424045,911.965434,,2495.670845,2280.524559,supercritical_gas
479.590085,206.440085,795000.0,7.95,9.03619,0.110666,1000.0,3.418181,912.02044,,2497.269428,2281.210289,supercritical_gas
479.701232,206.551232,820000.0,8.2,9.32617,0.107225,1000.0,3.412503,912.075374,,2498.870951,2281.895787,supercritical_gas
479.812372,206.662372,845000.0,8.45,9.616505,0.103988,1000.0,3.407001,912.130235,,2500.475418,2282.581049,supercritical_gas
479.923503,206.773503,870000.0,8.7,9.907194,0.100937,1000.0,3.401664,912.185024,,2502.08283,2283.266073,supercritical_gas
480.034625,206.884625,895000.0,8.95,10.198238,0.098056,1000.0,3.396482,912.23974,,2503.693189,2283.950855,supercritical_gas
480.145739,206.995739,920000.0,9.2,10.489636,0.095332,1000.0,3.391448,912.294383,,2505.306497,2284.635394,supercritical_gas
480.256844,207.106844,945000.0,9.45,10.781388,0.092752,1000.0,3.386552,912.348952,,2506.922755,2285.319687,supercritical_gas
480.36794,207.21794,970000.0,9.7,11.073495,0.090306,1000.0,3.381789,912.403447,,2508.541965,2286.00373,supercritical_gas
480.479026,207.329026,995000.0,9.95,11.365956,0.087982,1000.0,3.37715,912.457869,,2510.164127,2286.687521,supercritical_gas
480.590102,207.440102,1020000.0,10.2,11.658771,0.085772,1000.0,3.372631,912.512216,,2511.789245,2287.371057,supercritical_gas
480.701168,207.551168,1045000.0,10.45,11.951939,0.083668,1000.0,3.368225,912.566488,,2513.417317,2288.054335,supercritical_gas
480.812223,207.662223,1070000.0,10.7,12.245461,0.081663,1000.0,3.363927,912.620685,,2515.048346,2288.737353,supercritical_gas
480.923269,207.773269,1095000.0,10.95,12.539337,0.079749,1000.0,3.359731,912.674806,,2516.682332,2289.420106,supercritical_gas
481.034303,207.884303,1120000.0,11.2,12.833566,0.077921,1000.0,3.355634,912.728852,,2518.319276,2290.102594,supercritical_gas
481.145326,207.995326,1145000.0,11.45,13.128148,0.076172,1000.0,3.35163,912.782821,,2519.959178,2290.784811,supercritical_gas
481.256337,208.106337,1170000.0,11.7,13.423083,0.074499,1000.0,3.347717,912.836715,,2521.602039,2291.466756,supercritical_gas
481.367337,208.217337,1195000.0,11.95,13.718371,0.072895,1000.0,3.343889,912.890531,,2523.24786,2292.148425,supercritical_gas
481.478325,208.328325,1220000.0,12.2,14.014012,0.071357,1000.0,3.340144,912.94427,,2524.89664,2292.829816,supercritical_gas
481.5893,208.4393,1245000.0,12.45,14.310005,0.069881,1000.0,3.336478,912.997932,,2526.54838,2293.510926,supercritical_gas
481.700263,208.550263,1270000.0,12.7,14.60635,0.068463,1000.0,3.332888,913.051516,,2528.203078,2294.191751,supercritical_gas
481.811213,208.661213,1295000.0,12.95,14.903048,0.0671,1000.0,3.329371,913.105022,,2529.860736,2294.872288,supercritical_gas
481.92215,208.77215,1320000.0,13.2,15.200097,0.065789,1000.0,3.325923,913.158449,,2531.521353,2295.552534,supercritical_gas
482.033073,208.883073,1345000.0,13.45,15.497498,0.064527,1000.0,3.322544,913.211798,,2533.184928,2296.232487,supercritical_gas
482.143983,208.993983,1370000.0,13.7,15.795251,0.06331,1000.0,3.31923,913.265067,,2534.851461,2296.912143,supercritical_gas
482.254878,209.104878,1395000.0,13.95,16.093354,0.062137,1000.0,3.315978,913.318257,,2536.520951,2297.591499,supercritical_gas
482.36576,209.21576,1420000.0,14.2,16.391809,0.061006,1000.0,3.312786,913.371367,,2538.193396,2298.270551,supercritical_gas
482.476626,209.326626,1445000.0,14.45,16.690614,0.059914,1000.0,3.309653,913.424397,,2539.868796,2298.949297,supercritical_gas
482.587478,209.437478,1470000.0,14.7,16.98977,0.058859,1000.0,3.306577,913.477347,,2541.54715,2299.627734,supercritical_gas
482.698314,209.548314,1495000.0,14.95,17.289276,0.057839,1000.0,3.303555,913.530215,,2543.228456,2300.305858,supercritical_gas
