T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
199.844076,-73.305924,20000.0,0.2,1.457701,0.686012,200.0,1.130627,186.279762,0.367787,1315.513321,1098.020354,twophase
214.149311,-59.000689,45000.0,0.45,3.661578,0.273106,200.0,1.079346,187.710216,0.309528,1429.642073,1172.211144,twophase
222.980586,-50.169414,70000.0,0.7,6.273944,0.159389,200.0,1.055578,188.842743,0.271084,1539.176479,1230.064337,twophase
229.585242,-43.564758,95000.0,0.95,9.330584,0.107174,200.0,1.041153,189.818429,0.240929,1662.98972,1282.53322,twophase
234.944119,-38.205881,120000.0,1.2,12.892739,0.077563,200.0,1.031339,190.692436,0.215486,1819.306025,1332.918279,twophase
239.495654,-33.654346,145000.0,1.45,17.04543,0.058667,200.0,1.024225,191.493321,0.193129,2044.321126,1382.128398,twophase
243.476661,-29.673339,170000.0,1.7,21.902135,0.045658,200.0,1.018863,192.2382,0.172968,2447.297141,1429.619107,twophase
247.030636,-26.119364,195000.0,1.95,27.613786,0.036214,200.0,1.014713,192.93831,0.154458,3602.850324,1473.691698,twophase
250.251585,-22.898415,220000.0,2.2,34.383139,0.029084,200.0,1.011445,193.601515,0.137238,-83626.236674,1512.101838,twophase
253.204688,-19.945312,245000.0,2.45,42.48734,0.023536,200.0,1.008843,194.233576,0.121056,-963.969676,1544.342661,twophase
255.937125,-17.212875,270000.0,2.7,52.314125,0.019115,200.0,1.006756,194.83887,0.105729,-117.864699,1579.063605,twophase
258.484234,-14.665766,295000.0,2.95,64.421922,0.015523,200.0,1.005079,195.420813,0.091117,-185.930115,1655.617523,twophase
260.873214,-12.276786,320000.0,3.2,79.644358,0.012556,200.0,1.003731,195.982139,0.077114,-836.935195,1901.100902,twophase
263.125485,-10.024515,345000.0,3.45,99.282586,0.010072,200.0,1.002655,196.52507,0.063634,-2414.755081,2660.730438,twophase
265.258238,-7.891762,370000.0,3.7,125.485439,0.007969,200.0,1.001804,197.051451,0.050608,-6602.181506,4686.110565,twophase
267.285495,-5.864505,395000.0,3.95,162.072897,0.00617,200.0,1.001142,197.562825,0.037981,259341.741503,8781.142994,twophase
269.218857,-3.931143,420000.0,4.2,216.551283,0.004618,200.0,1.000641,198.060506,0.025705,12659.785746,12263.366759,twophase
271.068037,-2.081963,445000.0,4.45,305.971892,0.003268,200.0,1.000277,198.545618,0.013742,-16109.012335,6230.341794,twophase
