T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
236.37442,-36.77558,20000.0,0.2,0.451729,2.213719,537.692412,2.8,493.41804,,1413.464643,1219.287188,gas
262.842853,-10.307147,45000.0,0.45,0.917769,1.089599,575.521642,2.8,526.489685,,1525.561554,1328.028644,gas
277.676063,4.526063,70000.0,0.7,1.355924,0.737505,597.759101,2.8,546.133786,,1592.691245,1392.345869,gas
288.09199,14.94199,95000.0,0.95,1.778978,0.56212,613.796226,2.8,560.394778,,1641.695435,1438.801,gas
296.151654,23.001654,120000.0,1.2,2.192035,0.456197,626.428717,2.8,571.68507,,1680.691448,1475.411809,gas
302.740591,29.590591,145000.0,1.45,2.597815,0.384939,636.890232,2.8,581.074105,,1713.290456,1505.739469,gas
308.322216,35.172216,170000.0,1.7,2.997993,0.333556,645.839444,2.8,589.13484,,1741.429878,1531.691921,gas
313.16994,40.01994,195000.0,1.95,3.393693,0.294664,653.671299,2.8,596.211775,,1766.274919,1554.415237,gas
317.458767,44.308767,220000.0,2.2,3.785721,0.26415,660.642048,2.8,602.528942,,1788.583008,1574.653582,gas
321.307561,48.157561,245000.0,2.45,4.174676,0.23954,666.927776,2.8,608.240593,,1808.875134,1592.918298,gas
324.800776,51.650776,270000.0,2.7,4.561024,0.219249,672.654888,2.8,613.45765,,1827.525475,1609.576289,gas
328.000602,54.850602,295000.0,2.95,4.94513,0.202219,677.917312,2.8,618.262664,,1844.812184,1624.900056,gas
330.954166,57.804166,320000.0,3.2,5.327294,0.187713,682.786816,2.8,622.718798,,1860.947897,1639.097744,gas
333.698045,60.548045,345000.0,3.45,5.707761,0.1752,687.319519,2.8,626.875505,,1876.098937,1652.33204,gas
336.261202,63.111202,370000.0,3.7,6.086737,0.164292,691.56016,2.8,630.772257,,1890.397869,1664.732519,gas
338.666963,65.516963,395000.0,3.95,6.464397,0.154693,695.545001,2.8,634.44108,,1903.952057,1676.404052,gas
340.934396,67.784396,420000.0,4.2,6.84089,0.14618,699.303857,2.8,637.908333,,1916.849668,1687.432702,gas
