T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
213.15,-60.0,1500000.0,15.0,602.439404,0.00166,62.289019,0.42495,59.799142,,2166.499676,1407.823789,liquid
214.15,-59.0,1500000.0,15.0,601.345038,0.001663,64.457339,0.435099,61.962931,,2170.146989,1409.82266,liquid
215.15,-58.0,1500000.0,15.0,600.24832,0.001666,66.629327,0.445218,64.130362,,2173.837161,1411.84911,liquid
216.15,-57.0,1500000.0,15.0,599.14921,0.001669,68.805028,0.455307,66.301478,,2177.570555,1413.902938,liquid
217.15,-56.0,1500000.0,15.0,598.047664,0.001672,70.984483,0.465367,68.476322,,2181.347529,1415.983939,liquid
218.15,-55.0,1500000.0,15.0,596.943637,0.001675,73.167737,0.475398,70.654937,,2185.168441,1418.091913,liquid
219.15,-54.0,1500000.0,15.0,595.837085,0.001678,75.354835,0.485401,72.837368,,2189.033648,1420.226657,liquid
220.15,-53.0,1500000.0,15.0,594.727962,0.001681,77.54582,0.495376,75.023658,,2192.943507,1422.387974,liquid
221.15,-52.0,1500000.0,15.0,593.616221,0.001685,79.740737,0.505323,77.213852,,2196.898377,1424.575668,liquid
222.15,-51.0,1500000.0,15.0,592.501815,0.001688,81.939631,0.515244,79.407994,,2200.898618,1426.78955,liquid
223.15,-50.0,1500000.0,15.0,591.384694,0.001691,84.142549,0.525138,81.606129,,2204.944596,1429.029434,liquid
224.15,-49.0,1500000.0,15.0,590.26481,0.001694,86.349536,0.535006,83.808304,,2209.036678,1431.295141,liquid
225.15,-48.0,1500000.0,15.0,589.142112,0.001697,88.560638,0.544848,86.014563,,2213.175238,1433.586498,liquid
226.15,-47.0,1500000.0,15.0,588.016549,0.001701,90.775902,0.554666,88.224953,,2217.360658,1435.90334,liquid
227.15,-46.0,1500000.0,15.0,586.888068,0.001704,92.995375,0.564458,90.439521,,2221.593326,1438.24551,liquid
228.15,-45.0,1500000.0,15.0,585.756615,0.001707,95.219105,0.574226,92.658314,,2225.873639,1440.612859,liquid
229.15,-44.0,1500000.0,15.0,584.622136,0.001711,97.447138,0.583971,94.881379,,2230.202004,1443.005246,liquid
230.15,-43.0,1500000.0,15.0,583.484575,0.001714,99.679525,0.593691,97.108763,,2234.57884,1445.42254,liquid
231.15,-42.0,1500000.0,15.0,582.343876,0.001717,101.916312,0.603389,99.340515,,2239.004579,1447.864618,liquid
232.15,-41.0,1500000.0,15.0,581.199981,0.001721,104.15755,0.613064,101.576683,,2243.479666,1450.331369,liquid
233.15,-40.0,1500000.0,15.0,580.05283,0.001724,106.403288,0.622717,103.817317,,2248.004561,1452.822689,liquid
234.15,-39.0,1500000.0,15.0,578.902363,0.001727,108.653576,0.632348,106.062466,,2252.579741,1455.338483,liquid
