T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
213.15,-60.0,1000000.0,10.0,601.975158,0.001661,61.780716,0.426461,60.119518,,2168.360187,1407.306526,liquid
214.15,-59.0,1000000.0,10.0,600.875914,0.001664,63.950914,0.436619,62.286677,,2172.04289,1409.307582,liquid
215.15,-58.0,1000000.0,10.0,599.774247,0.001667,66.124817,0.446746,64.457523,,2175.769287,1411.33628,liquid
216.15,-57.0,1000000.0,10.0,598.670112,0.00167,68.302467,0.456844,66.632098,,2179.539762,1413.392416,liquid
217.15,-56.0,1000000.0,10.0,597.563465,0.001673,70.483911,0.466913,68.810448,,2183.354699,1415.475784,liquid
218.15,-55.0,1000000.0,10.0,596.454259,0.001677,72.669192,0.476954,70.992617,,2187.214479,1417.586179,liquid
219.15,-54.0,1000000.0,10.0,595.342449,0.00168,74.858355,0.486966,73.178649,,2191.119488,1419.723397,liquid
220.15,-53.0,1000000.0,10.0,594.227986,0.001683,77.051446,0.496951,75.36859,,2195.070107,1421.88724,liquid
221.15,-52.0,1000000.0,10.0,593.110822,0.001686,79.24851,0.506908,77.562485,,2199.066724,1424.077508,liquid
222.15,-51.0,1000000.0,10.0,591.990907,0.001689,81.449595,0.516838,79.76038,,2203.109728,1426.294011,liquid
223.15,-50.0,1000000.0,10.0,590.86819,0.001692,83.654746,0.526742,81.962321,,2207.199513,1428.536562,liquid
224.15,-49.0,1000000.0,10.0,589.742621,0.001696,85.86401,0.536621,84.168355,,2211.336477,1430.804979,liquid
225.15,-48.0,1000000.0,10.0,588.614146,0.001699,88.077434,0.546473,86.378529,,2215.521026,1433.099089,liquid
226.15,-47.0,1000000.0,10.0,587.482712,0.001702,90.295068,0.556301,88.59289,,2219.753574,1435.418727,liquid
227.15,-46.0,1000000.0,10.0,586.348263,0.001705,92.516958,0.566104,90.811487,,2224.034542,1437.763734,liquid
228.15,-45.0,1000000.0,10.0,585.210745,0.001709,94.743153,0.575883,93.034367,,2228.364363,1440.133963,liquid
229.15,-44.0,1000000.0,10.0,584.070099,0.001712,96.973703,0.585639,95.26158,,2232.743482,1442.529272,liquid
230.15,-43.0,1000000.0,10.0,582.926268,0.001715,99.208657,0.595371,97.493174,,2237.172355,1444.949531,liquid
231.15,-42.0,1000000.0,10.0,581.779193,0.001719,101.448064,0.60508,99.729199,,2241.651453,1447.394621,liquid
232.15,-41.0,1000000.0,10.0,580.628812,0.001722,103.691976,0.614766,101.969706,,2246.181262,1449.864429,liquid
233.15,-40.0,1000000.0,10.0,579.475064,0.001726,105.940444,0.624431,104.214744,,2250.762287,1452.358856,liquid
234.15,-39.0,1000000.0,10.0,578.317886,0.001729,108.193518,0.634074,106.464365,,2255.395047,1454.87781,liquid
235.15,-38.0,1000000.0,10.0,577.157214,0.001733,110.451251,0.643696,108.718621,,2260.080084,1457.42121,liquid
236.15,-37.0,1000000.0,10.0,575.992981,0.001736,112.713696,0.653297,110.977564,,2264.81796,1459.988983,liquid
237.15,-36.0,1000000.0,10.0,574.82512,0.00174,114.980905,0.662877,113.241246,,2269.609258,1462.581069,liquid
238.15,-35.0,1000000.0,10.0,573.653563,0.001743,117.252932,0.672437,115.50972,,2274.454585,1465.197412,liquid
239.15,-34.0,1000000.0,10.0,572.478239,0.001747,119.529832,0.681978,117.783041,,2279.354573,1467.837969,liquid
240.15,-33.0,1000000.0,10.0,571.299078,0.00175,121.81166,0.6915,120.061263,,2284.30988,1470.502702,liquid
241.15,-32.0,1000000.0,10.0,570.116005,0.001754,124.098471,0.701002,122.344442,,2289.321191,1473.191582,liquid
242.15,-31.0,1000000.0,10.0,568.928946,0.001758,126.390321,0.710487,124.632633,,2294.389221,1475.904588,liquid
