T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
213.15,-60.0,50000.0,0.5,601.08368,0.001664,60.818524,0.429356,60.735341,,2171.994031,1406.320566,liquid
214.15,-59.0,50000.0,0.5,599.974945,0.001667,62.992391,0.439531,62.909054,,2175.746938,1408.325957,liquid
215.15,-58.0,50000.0,0.5,598.863641,0.00167,65.170033,0.449676,65.086542,,2179.54523,1410.359117,liquid
216.15,-57.0,50000.0,0.5,597.749722,0.001673,67.351497,0.459792,67.26785,,2183.38934,1412.419836,liquid
217.15,-56.0,50000.0,0.5,1.248831,0.800749,509.407897,2.504608,469.370463,,1364.389386,1155.929393,gas
218.15,-55.0,50000.0,0.5,1.242679,0.804713,510.773865,2.510884,470.5382,,1367.550636,1159.424353,gas
219.15,-54.0,50000.0,0.5,1.236591,0.808675,512.143004,2.517146,471.709265,,1370.730267,1162.930554,gas
220.15,-53.0,50000.0,0.5,1.230568,0.812633,513.515332,2.523393,472.883675,,1373.928352,1166.448225,gas
221.15,-52.0,50000.0,0.5,1.224607,0.816588,514.890867,2.529627,474.061445,,1377.144957,1169.977584,gas
222.15,-51.0,50000.0,0.5,1.218708,0.820541,516.269628,2.535848,475.24259,,1380.380139,1173.518841,gas
223.15,-50.0,50000.0,0.5,1.212871,0.82449,517.651634,2.542055,476.427125,,1383.633948,1177.072189,gas
224.15,-49.0,50000.0,0.5,1.207093,0.828437,519.036902,2.548249,477.615067,,1386.906421,1180.637814,gas
225.15,-48.0,50000.0,0.5,1.201374,0.83238,520.425453,2.55443,478.80643,,1390.197589,1184.215888,gas
226.15,-47.0,50000.0,0.5,1.195712,0.836321,521.817304,2.560598,480.001231,,1393.507469,1187.80657,gas
227.15,-46.0,50000.0,0.5,1.190108,0.84026,523.212474,2.566754,481.199486,,1396.836071,1191.410006,gas
228.15,-45.0,50000.0,0.5,1.18456,0.844195,524.610982,2.572897,482.40121,,1400.183394,1195.026331,gas
229.15,-44.0,50000.0,0.5,1.179067,0.848129,526.012847,2.579028,483.60642,,1403.549425,1198.655667,gas
230.15,-43.0,50000.0,0.5,1.173627,0.852059,527.418087,2.585147,484.815131,,1406.934142,1202.298122,gas
231.15,-42.0,50000.0,0.5,1.168242,0.855987,528.826722,2.591254,486.02736,,1410.337513,1205.953791,gas
232.15,-41.0,50000.0,0.5,1.162908,0.859913,530.238768,2.59735,487.243122,,1413.759495,1209.62276,gas
233.15,-40.0,50000.0,0.5,1.157627,0.863836,531.654247,2.603434,488.462434,,1417.200035,1213.305098,gas
234.15,-39.0,50000.0,0.5,1.152396,0.867757,533.073175,2.609507,489.685312,,1420.659072,1217.000866,gas
235.15,-38.0,50000.0,0.5,1.147215,0.871676,534.495571,2.615569,490.911772,,1424.136534,1220.710112,gas
236.15,-37.0,50000.0,0.5,1.142084,0.875592,535.921454,2.621619,492.14183,,1427.63234,1224.43287,gas
237.15,-36.0,50000.0,0.5,1.137001,0.879507,537.350842,2.62766,493.375502,,1431.146401,1228.169167,gas
238.15,-35.0,50000.0,0.5,1.131966,0.883419,538.783753,2.633689,494.612804,,1434.678618,1231.919016,gas
239.15,-34.0,50000.0,0.5,1.126978,0.887329,540.220205,2.639708,495.853752,,1438.228887,1235.682421,gas
240.15,-33.0,50000.0,0.5,1.122036,0.891237,541.660216,2.645717,497.098362,,1441.797092,1239.459375,gas
241.15,-32.0,50000.0,0.5,1.11714,0.895143,543.103805,2.651716,498.346649,,1445.383112,1243.249863,gas
242.15,-31.0,50000.0,0.5,1.112289,0.899047,544.550989,2.657704,499.59863,,1448.986819,1247.053858,gas
243.15,-30.0,50000.0,0.5,1.107482,0.902949,546.001785,2.663683,500.85432,,1452.608077,1250.871327,gas
244.15,-29.0,50000.0,0.5,1.102719,0.90685,547.456211,2.669653,502.113734,,1456.246746,1254.702226,gas
245.15,-28.0,50000.0,0.5,1.097999,0.910748,548.914284,2.675613,503.376889,,1459.902677,1258.546503,gas
246.15,-27.0,50000.0,0.5,1.093321,0.914644,550.376022,2.681563,504.643798,,1463.575718,1262.404101,gas
247.15,-26.0,50000.0,0.5,1.088685,0.918539,551.841441,2.687504,505.914479,,1467.265711,1266.274951,gas
248.15,-25.0,50000.0,0.5,1.08409,0.922432,553.310559,2.693437,507.188945,,1470.972491,1270.158981,gas
249.15,-24.0,50000.0,0.5,1.079536,0.926324,554.783391,2.69936,508.467212,,1474.695892,1274.05611,gas
250.15,-23.0,50000.0,0.5,1.075022,0.930213,556.259956,2.705274,509.749294,,1478.435741,1277.966252,gas
