T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
213.15,-60.0,42693.184573,0.426932,526.315789,0.0019,60.924992,0.429913,60.843875,0.000257,3856.43506,1373.133719,twophase
214.15,-59.0,45001.624511,0.450016,526.315789,0.0019,63.105102,0.440096,63.019599,0.000266,3760.859429,1376.647696,twophase
215.15,-58.0,47408.469244,0.474085,526.315789,0.0019,65.289107,0.45025,65.199031,0.000275,3674.661874,1380.08584,twophase
216.15,-57.0,49916.666829,0.499167,526.315789,0.0019,67.477049,0.460373,67.382207,0.000285,3596.543728,1383.454505,twophase
217.15,-56.0,52529.208511,0.525292,526.315789,0.0019,69.668969,0.470468,69.569164,0.000295,3525.432638,1386.760089,twophase
218.15,-55.0,55249.128247,0.552491,526.315789,0.0019,71.86491,0.480533,71.759937,0.000305,3460.435983,1390.008974,twophase
219.15,-54.0,58079.502222,0.580795,526.315789,0.0019,74.064914,0.490571,73.954563,0.000315,3400.805312,1393.20748,twophase
220.15,-53.0,61023.448349,0.610234,526.315789,0.0019,76.269023,0.50058,76.153078,0.000324,3345.908885,1396.361808,twophase
221.15,-52.0,64084.125758,0.640841,526.315789,0.0019,78.477277,0.510561,78.355518,0.000335,3295.210232,1399.477996,twophase
222.15,-51.0,67264.734282,0.672647,526.315789,0.0019,80.689721,0.520516,80.561918,0.000345,3248.251235,1402.561879,twophase
223.15,-50.0,70568.513927,0.705685,526.315789,0.0019,82.906394,0.530444,82.772314,0.000355,3204.638662,1405.619052,twophase
224.15,-49.0,73998.744344,0.739987,526.315789,0.0019,85.127339,0.540345,84.986742,0.000365,3164.033343,1408.654835,twophase
225.15,-48.0,77558.744281,0.775587,526.315789,0.0019,87.352599,0.55022,87.205237,0.000375,3126.141418,1411.67425,twophase
226.15,-47.0,81251.871045,0.812519,526.315789,0.0019,89.582213,0.56007,89.427835,0.000385,3090.707188,1414.681998,twophase
227.15,-46.0,85081.519946,0.850815,526.315789,0.0019,91.816225,0.569895,91.65457,0.000395,3057.507258,1417.682448,twophase
228.15,-45.0,89051.123749,0.890511,526.315789,0.0019,94.054674,0.579694,93.885477,0.000405,3026.345681,1420.679619,twophase
