T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
268.15,-5.0,20000.0,0.2,0.397317,2.51688,584.568666,2.985903,534.231061,,1539.077474,1346.869959,gas
268.15,-5.0,30000.0,0.3,0.597311,1.67417,584.212154,2.908538,533.987042,,1542.130456,1348.053476,gas
268.15,-5.0,40000.0,0.4,0.79821,1.252803,583.853932,2.853377,533.741797,,1545.221982,1349.245658,gas
268.15,-5.0,50000.0,0.5,1.000027,0.999973,583.493977,2.810378,533.495311,,1548.352876,1350.446621,gas
268.15,-5.0,60000.0,0.6,1.202774,0.831412,583.132266,2.775072,533.247567,,1551.523992,1351.656486,gas
268.15,-5.0,70000.0,0.7,1.406463,0.711003,582.768775,2.745071,532.998548,,1554.73621,1352.875376,gas
268.15,-5.0,80000.0,0.8,1.611109,0.620691,582.403479,2.718953,532.748236,,1557.990441,1354.103418,gas
268.15,-5.0,90000.0,0.9,1.816723,0.550442,582.036354,2.695798,532.496614,,1561.28763,1355.340741,gas
268.15,-5.0,100000.0,1.0,2.02332,0.494237,581.667373,2.674979,532.243662,,1564.628753,1356.587481,gas
268.15,-5.0,110000.0,1.1,2.230914,0.448247,581.29651,2.656049,531.989362,,1568.014822,1357.843776,gas
268.15,-5.0,120000.0,1.2,2.439518,0.409917,580.923739,2.638678,531.733695,,1571.446884,1359.109767,gas
268.15,-5.0,130000.0,1.3,2.649147,0.37748,580.54903,2.622615,531.476639,,1574.926025,1360.385601,gas
268.15,-5.0,140000.0,1.4,2.859817,0.349673,580.172356,2.607664,531.218176,,1578.453372,1361.671428,gas
268.15,-5.0,150000.0,1.5,3.071542,0.325569,579.793687,2.593672,530.958283,,1582.030093,1362.967403,gas
268.15,-5.0,160000.0,1.6,3.284338,0.304475,579.412992,2.580513,530.696939,,1585.657398,1364.273687,gas
268.15,-5.0,170000.0,1.7,3.498222,0.28586,579.030242,2.568085,530.434122,,1589.336546,1365.590444,gas
268.15,-5.0,180000.0,1.8,3.713209,0.269309,578.645402,2.556304,530.169809,,1593.068843,1366.917844,gas
268.15,-5.0,190000.0,1.9,3.929316,0.254497,578.258442,2.545098,529.903975,,1596.855648,1368.256061,gas
268.15,-5.0,200000.0,2.0,4.146562,0.241164,577.869326,2.534409,529.636598,,1600.698369,1369.605278,gas
268.15,-5.0,210000.0,2.1,4.364963,0.229097,577.47802,2.524185,529.367651,,1604.598475,1370.965679,gas
268.15,-5.0,220000.0,2.2,4.584539,0.218124,577.084489,2.514382,529.097108,,1608.557492,1372.337457,gas
268.15,-5.0,230000.0,2.3,4.805307,0.208103,576.688694,2.504961,528.824944,,1612.577008,1373.720812,gas
268.15,-5.0,240000.0,2.4,5.027287,0.198914,576.290598,2.495889,528.551131,,1616.658677,1375.115948,gas
268.15,-5.0,250000.0,2.5,5.250499,0.190458,575.890161,2.487138,528.275641,,1620.804224,1376.523077,gas
268.15,-5.0,260000.0,2.6,5.474964,0.18265,575.487344,2.47868,527.998444,,1625.015444,1377.942417,gas
268.15,-5.0,270000.0,2.7,5.700701,0.175417,575.082103,2.470494,527.71951,,1629.294212,1379.374197,gas
268.15,-5.0,280000.0,2.8,5.927734,0.168699,574.674397,2.462559,527.438809,,1633.642482,1380.818649,gas
268.15,-5.0,290000.0,2.9,6.156084,0.162441,574.26418,2.454856,527.156309,,1638.062295,1382.276015,gas
268.15,-5.0,300000.0,3.0,6.385773,0.156598,573.851406,2.447369,526.871976,,1642.555784,1383.746548,gas
268.15,-5.0,310000.0,3.1,6.616827,0.15113,573.436029,2.440083,526.585776,,1647.125177,1385.230505,gas
268.15,-5.0,320000.0,3.2,6.849268,0.146001,573.017998,2.432985,526.297674,,1651.772805,1386.728157,gas
268.15,-5.0,330000.0,3.3,7.083122,0.141181,572.597263,2.426062,526.007634,,1656.501105,1388.239781,gas
268.15,-5.0,340000.0,3.4,7.318414,0.136642,572.173771,2.419303,525.715618,,1661.312632,1389.765666,gas
268.15,-5.0,350000.0,3.5,7.555172,0.13236,571.747468,2.412698,525.421586,,1666.210059,1391.306112,gas
268.15,-5.0,360000.0,3.6,7.793422,0.128313,571.318298,2.406238,525.125498,,1671.19619,1392.861429,gas
268.15,-5.0,370000.0,3.7,8.033194,0.124483,570.886202,2.399913,524.827312,,1676.273968,1394.431939,gas
268.15,-5.0,380000.0,3.8,8.274516,0.120853,570.45112,2.393716,524.526985,,1681.446478,1396.017978,gas
268.15,-5.0,390000.0,3.9,8.517419,0.117406,570.012989,2.38764,524.224472,,1686.716965,1397.619893,gas
268.15,-5.0,400000.0,4.0,8.761935,0.11413,569.571744,2.381678,523.919726,,1692.088835,1399.238045,gas
268.15,-5.0,410000.0,4.1,535.278719,0.001868,187.588653,0.95459,186.822697,,2456.912187,1554.636503,liquid
268.15,-5.0,420000.0,4.2,535.297453,0.001868,187.594758,0.954543,186.810147,,2456.780563,1554.641395,liquid
268.15,-5.0,430000.0,4.3,535.316181,0.001868,187.600865,0.954496,186.797602,,2456.649047,1554.646292,liquid
268.15,-5.0,440000.0,4.4,535.334902,0.001868,187.606976,0.954449,186.78506,,2456.517637,1554.651193,liquid
268.15,-5.0,450000.0,4.5,535.353617,0.001868,187.613089,0.954402,186.772523,,2456.386334,1554.6561,liquid
268.15,-5.0,460000.0,4.6,535.372325,0.001868,187.619206,0.954355,186.75999,,2456.255138,1554.661011,liquid
268.15,-5.0,470000.0,4.7,535.391026,0.001868,187.625325,0.954309,186.747462,,2456.124049,1554.665927,liquid
268.15,-5.0,480000.0,4.8,535.409722,0.001868,187.631447,0.954262,186.734937,,2455.993065,1554.670849,liquid
268.15,-5.0,490000.0,4.9,535.42841,0.001868,187.637572,0.954215,186.722417,,2455.862188,1554.675775,liquid
268.15,-5.0,500000.0,5.0,535.447092,0.001868,187.6437,0.954168,186.709901,,2455.731417,1554.680706,liquid
268.15,-5.0,510000.0,5.1,535.465768,0.001868,187.649831,0.954121,186.697389,,2455.600752,1554.685641,liquid
268.15,-5.0,520000.0,5.2,535.484437,0.001867,187.655965,0.954075,186.684882,,2455.470193,1554.690582,liquid
268.15,-5.0,530000.0,5.3,535.5031,0.001867,187.662102,0.954028,186.672378,,2455.339739,1554.695528,liquid
268.15,-5.0,540000.0,5.4,535.521757,0.001867,187.668241,0.953981,186.659879,,2455.209391,1554.700478,liquid
268.15,-5.0,550000.0,5.5,535.540406,0.001867,187.674384,0.953934,186.647384,,2455.079148,1554.705433,liquid
268.15,-5.0,560000.0,5.6,535.55905,0.001867,187.680529,0.953888,186.634893,,2454.949011,1554.710393,liquid
268.15,-5.0,570000.0,5.7,535.577687,0.001867,187.686678,0.953841,186.622406,,2454.818978,1554.715358,liquid
268.15,-5.0,580000.0,5.8,535.596317,0.001867,187.692829,0.953794,186.609924,,2454.689051,1554.720328,liquid
268.15,-5.0,590000.0,5.9,535.614941,0.001867,187.698983,0.953748,186.597445,,2454.559228,1554.725302,liquid
268.15,-5.0,600000.0,6.0,535.633559,0.001867,187.70514,0.953701,186.584971,,2454.42951,1554.730282,liquid
268.15,-5.0,610000.0,6.1,535.65217,0.001867,187.7113,0.953654,186.572501,,2454.299896,1554.735266,liquid
268.15,-5.0,620000.0,6.2,535.670775,0.001867,187.717462,0.953608,186.560035,,2454.170387,1554.740255,liquid
268.15,-5.0,630000.0,6.3,535.689373,0.001867,187.723628,0.953561,186.547573,,2454.040983,1554.745249,liquid
268.15,-5.0,640000.0,6.4,535.707965,0.001867,187.729796,0.953514,186.535116,,2453.911682,1554.750247,liquid
268.15,-5.0,650000.0,6.5,535.726551,0.001867,187.735968,0.953468,186.522662,,2453.782485,1554.75525,liquid
