T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
193.848173,-79.301827,10000.0,0.1,1527.147577,0.000655,100.0,0.56976,99.993452,,1198.823004,797.257008,liquid
193.844583,-79.305417,20000.0,0.2,1527.172356,0.000655,100.0,0.569726,99.986904,,1198.808511,797.257559,liquid
193.840992,-79.309008,30000.0,0.3,1527.197133,0.000655,100.0,0.569692,99.980356,,1198.794021,797.25811,liquid
193.837401,-79.312599,40000.0,0.4,1527.221907,0.000655,100.0,0.569659,99.973809,,1198.779536,797.258663,liquid
193.83381,-79.31619,50000.0,0.5,1527.24668,0.000655,100.0,0.569625,99.967261,,1198.765056,797.259216,liquid
193.830219,-79.319781,60000.0,0.6,1527.27145,0.000655,100.0,0.569591,99.960714,,1198.750579,797.25977,liquid
193.826628,-79.323372,70000.0,0.7,1527.296218,0.000655,100.0,0.569557,99.954167,,1198.736107,797.260325,liquid
193.823037,-79.326963,80000.0,0.8,1527.320983,0.000655,100.0,0.569524,99.947621,,1198.721639,797.26088,liquid
193.819445,-79.330555,90000.0,0.9,1527.345747,0.000655,100.0,0.56949,99.941074,,1198.707176,797.261437,liquid
193.815854,-79.334146,100000.0,1.0,1527.370508,0.000655,100.0,0.569456,99.934528,,1198.692716,797.261994,liquid
193.812262,-79.337738,110000.0,1.1,1527.395267,0.000655,100.0,0.569422,99.927982,,1198.678262,797.262552,liquid
193.80867,-79.34133,120000.0,1.2,1527.420024,0.000655,100.0,0.569388,99.921436,,1198.663811,797.263111,liquid
193.805078,-79.344922,130000.0,1.3,1527.444779,0.000655,100.0,0.569355,99.914891,,1198.649364,797.263671,liquid
193.801485,-79.348515,140000.0,1.4,1527.469531,0.000655,100.0,0.569321,99.908345,,1198.634922,797.264231,liquid
193.797893,-79.352107,150000.0,1.5,1527.494282,0.000655,100.0,0.569287,99.9018,,1198.620485,797.264793,liquid
193.7943,-79.3557,160000.0,1.6,1527.51903,0.000655,100.0,0.569253,99.895255,,1198.606051,797.265355,liquid
193.790707,-79.359293,170000.0,1.7,1527.543776,0.000655,100.0,0.56922,99.88871,,1198.591622,797.265918,liquid
193.787114,-79.362886,180000.0,1.8,1527.56852,0.000655,100.0,0.569186,99.882166,,1198.577197,797.266482,liquid
193.783521,-79.366479,190000.0,1.9,1527.593261,0.000655,100.0,0.569152,99.875621,,1198.562776,797.267046,liquid
193.779928,-79.370072,200000.0,2.0,1527.618001,0.000655,100.0,0.569118,99.869077,,1198.54836,797.267612,liquid
