T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
206.293754,-66.856246,10000.0,0.1,12.646483,0.079073,126.396864,0.7,125.60613,0.047061,-3534.468172,4924.332394,twophase
215.843919,-57.306081,20000.0,0.2,1466.837201,0.000682,126.665706,0.7,126.652072,,1226.923595,815.274854,liquid
215.846202,-57.303798,30000.0,0.3,1466.849828,0.000682,126.672524,0.7,126.652072,,1226.911048,815.279318,liquid
215.848485,-57.301515,40000.0,0.4,1466.862453,0.000682,126.679341,0.7,126.652072,,1226.898504,815.283782,liquid
215.850768,-57.299232,50000.0,0.5,1466.875078,0.000682,126.686158,0.7,126.652072,,1226.885964,815.288247,liquid
215.85305,-57.29695,60000.0,0.6,1466.887701,0.000682,126.692976,0.7,126.652073,,1226.873428,815.292712,liquid
215.855333,-57.294667,70000.0,0.7,1466.900323,0.000682,126.699793,0.7,126.652073,,1226.860896,815.297178,liquid
215.857615,-57.292385,80000.0,0.8,1466.912944,0.000682,126.70661,0.7,126.652073,,1226.848367,815.301645,liquid
215.859898,-57.290102,90000.0,0.9,1466.925563,0.000682,126.713427,0.7,126.652074,,1226.835843,815.306112,liquid
215.86218,-57.28782,100000.0,1.0,1466.938182,0.000682,126.720244,0.7,126.652074,,1226.823322,815.31058,liquid
215.864462,-57.285538,110000.0,1.1,1466.950799,0.000682,126.727061,0.7,126.652075,,1226.810804,815.315048,liquid
215.866743,-57.283257,120000.0,1.2,1466.963416,0.000682,126.733877,0.7,126.652076,,1226.798291,815.319517,liquid
215.869025,-57.280975,130000.0,1.3,1466.976031,0.000682,126.740694,0.7,126.652077,,1226.785781,815.323986,liquid
215.871306,-57.278694,140000.0,1.4,1466.988645,0.000682,126.747511,0.7,126.652077,,1226.773275,815.328456,liquid
215.873588,-57.276412,150000.0,1.5,1467.001258,0.000682,126.754328,0.7,126.652078,,1226.760773,815.332926,liquid
215.875869,-57.274131,160000.0,1.6,1467.01387,0.000682,126.761144,0.7,126.652079,,1226.748274,815.337397,liquid
215.87815,-57.27185,170000.0,1.7,1467.02648,0.000682,126.767961,0.7,126.65208,,1226.735779,815.341869,liquid
215.880431,-57.269569,180000.0,1.8,1467.03909,0.000682,126.774777,0.7,126.652081,,1226.723288,815.346341,liquid
215.882711,-57.267289,190000.0,1.9,1467.051698,0.000682,126.781594,0.7,126.652082,,1226.710801,815.350813,liquid
215.884992,-57.265008,200000.0,2.0,1467.064306,0.000682,126.78841,0.7,126.652083,,1226.698318,815.355286,liquid
215.887272,-57.262728,210000.0,2.1,1467.076912,0.000682,126.795226,0.7,126.652084,,1226.685838,815.35976,liquid
215.889552,-57.260448,220000.0,2.2,1467.089517,0.000682,126.802043,0.7,126.652086,,1226.673362,815.364234,liquid
215.891833,-57.258167,230000.0,2.3,1467.102121,0.000682,126.808859,0.7,126.652087,,1226.660889,815.368709,liquid
215.894112,-57.255888,240000.0,2.4,1467.114724,0.000682,126.815675,0.7,126.652088,,1226.648421,815.373184,liquid
215.896392,-57.253608,250000.0,2.5,1467.127325,0.000682,126.822491,0.7,126.65209,,1226.635956,815.37766,liquid
215.898672,-57.251328,260000.0,2.6,1467.139926,0.000682,126.829307,0.7,126.652091,,1226.623494,815.382136,liquid
215.900951,-57.249049,270000.0,2.7,1467.152525,0.000682,126.836123,0.7,126.652093,,1226.611037,815.386613,liquid
215.903231,-57.246769,280000.0,2.8,1467.165124,0.000682,126.842939,0.7,126.652095,,1226.598583,815.391091,liquid
215.90551,-57.24449,290000.0,2.9,1467.177721,0.000682,126.849755,0.7,126.652096,,1226.586133,815.395569,liquid
215.907789,-57.242211,300000.0,3.0,1467.190317,0.000682,126.85657,0.7,126.652098,,1226.573687,815.400047,liquid
215.910068,-57.239932,310000.0,3.1,1467.202912,0.000682,126.863386,0.7,126.6521,,1226.561244,815.404526,liquid
215.912346,-57.237654,320000.0,3.2,1467.215505,0.000682,126.870202,0.7,126.652102,,1226.548806,815.409006,liquid
215.914625,-57.235375,330000.0,3.3,1467.228098,0.000682,126.877017,0.7,126.652103,,1226.53637,815.413486,liquid
215.916903,-57.233097,340000.0,3.4,1467.24069,0.000682,126.883833,0.7,126.652105,,1226.523939,815.417966,liquid
215.919182,-57.230818,350000.0,3.5,1467.25328,0.000682,126.890648,0.7,126.652107,,1226.511511,815.422447,liquid
215.92146,-57.22854,360000.0,3.6,1467.265869,0.000682,126.897464,0.7,126.65211,,1226.499087,815.426929,liquid
