T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
193.15,-80.0,3000000.0,30.0,1533.446619,0.000652,100.456979,0.562024,98.500602,,1195.048266,797.690289,liquid
194.15,-79.0,3000000.0,30.0,1530.791661,0.000653,101.652523,0.568198,99.692753,,1196.045083,798.316389,liquid
195.15,-78.0,3000000.0,30.0,1528.133897,0.000654,102.849077,0.574345,100.885898,,1197.065555,798.964817,liquid
196.15,-77.0,3000000.0,30.0,1525.473267,0.000656,104.046662,0.580466,102.080059,,1198.108824,799.634522,liquid
197.15,-76.0,3000000.0,30.0,1522.809711,0.000657,105.245302,0.586562,103.275259,,1199.174081,800.324505,liquid
198.15,-75.0,3000000.0,30.0,1520.143165,0.000658,106.445017,0.592632,104.471519,,1200.260573,801.033821,liquid
199.15,-74.0,3000000.0,30.0,1517.473567,0.000659,107.64583,0.598676,105.66886,,1201.367589,801.761573,liquid
200.15,-73.0,3000000.0,30.0,1514.800853,0.00066,108.847759,0.604697,106.867301,,1202.494469,802.506913,liquid
201.15,-72.0,3000000.0,30.0,1512.124956,0.000661,110.050825,0.610692,108.066862,,1203.640593,803.269035,liquid
202.15,-71.0,3000000.0,30.0,1509.445811,0.000662,111.255047,0.616664,109.267562,,1204.805384,804.047176,liquid
203.15,-70.0,3000000.0,30.0,1506.76335,0.000664,112.460442,0.622612,110.469419,,1205.988303,804.840614,liquid
204.15,-69.0,3000000.0,30.0,1504.077504,0.000665,113.667029,0.628537,111.672451,,1207.18885,805.648663,liquid
205.15,-68.0,3000000.0,30.0,1501.388204,0.000666,114.874825,0.634439,112.876675,,1208.406558,806.470673,liquid
206.15,-67.0,3000000.0,30.0,1498.695378,0.000667,116.083848,0.640318,114.082107,,1209.640998,807.30603,liquid
207.15,-66.0,3000000.0,30.0,1495.998955,0.000668,117.294113,0.646175,115.288764,,1210.891769,808.15415,liquid
208.15,-65.0,3000000.0,30.0,1493.298861,0.00067,118.505637,0.652009,116.496662,,1212.158503,809.014482,liquid
209.15,-64.0,3000000.0,30.0,1490.595022,0.000671,119.718435,0.657822,117.705816,,1213.440861,809.886501,liquid
210.15,-63.0,3000000.0,30.0,1487.887361,0.000672,120.932523,0.663613,118.916242,,1214.738534,810.769712,liquid
211.15,-62.0,3000000.0,30.0,1485.175802,0.000673,122.147917,0.669383,120.127954,,1216.051236,811.663646,liquid
212.15,-61.0,3000000.0,30.0,1482.460267,0.000675,123.364631,0.675131,121.340968,,1217.37871,812.567858,liquid
213.15,-60.0,3000000.0,30.0,1479.740676,0.000676,124.582679,0.680859,122.555297,,1218.720723,813.481927,liquid
214.15,-59.0,3000000.0,30.0,1477.016947,0.000677,125.802077,0.686567,123.770956,,1220.077063,814.405455,liquid
215.15,-58.0,3000000.0,30.0,1474.288999,0.000678,127.022838,0.692254,124.987959,,1221.447545,815.338063,liquid
216.15,-57.0,3000000.0,30.0,1471.556747,0.00068,128.244977,0.697921,126.206319,,1222.832002,816.279396,liquid
217.15,-56.0,3000000.0,30.0,1468.820108,0.000681,129.468507,0.703569,127.426051,,1224.230289,817.229116,liquid
218.15,-55.0,3000000.0,30.0,1466.078993,0.000682,130.693442,0.709197,128.647167,,1225.642281,818.186902,liquid
219.15,-54.0,3000000.0,30.0,1463.333315,0.000683,131.919796,0.714805,129.869682,,1227.067874,819.152454,liquid
220.15,-53.0,3000000.0,30.0,1460.582984,0.000685,133.147582,0.720395,131.093608,,1228.506979,820.125485,liquid
221.15,-52.0,3000000.0,30.0,1457.82791,0.000686,134.376814,0.725966,132.318958,,1229.959529,821.105725,liquid
222.15,-51.0,3000000.0,30.0,1455.067998,0.000687,135.607506,0.731519,133.545746,,1231.42547,822.092919,liquid
223.15,-50.0,3000000.0,30.0,1452.303155,0.000689,136.83967,0.737053,134.773985,,1232.904769,823.086828,liquid
224.15,-49.0,3000000.0,30.0,1449.533285,0.00069,138.07332,0.742569,136.003688,,1234.397406,824.087222,liquid
225.15,-48.0,3000000.0,30.0,1446.75829,0.000691,139.308469,0.748067,137.234868,,1235.903378,825.093889,liquid
226.15,-47.0,3000000.0,30.0,1443.978071,0.000693,140.545131,0.753547,138.467537,,1237.422698,826.106625,liquid
227.15,-46.0,3000000.0,30.0,1441.192525,0.000694,141.783319,0.75901,139.701709,,1238.955392,827.125241,liquid
228.15,-45.0,3000000.0,30.0,1438.40155,0.000695,143.023046,0.764456,140.937398,,1240.501503,828.149557,liquid
229.15,-44.0,3000000.0,30.0,1435.60504,0.000697,144.264326,0.769885,142.174615,,1242.061086,829.179403,liquid
230.15,-43.0,3000000.0,30.0,1432.802889,0.000698,145.507173,0.775297,143.413375,,1243.634211,830.214622,liquid
231.15,-42.0,3000000.0,30.0,1429.994988,0.000699,146.751599,0.780692,144.65369,,1245.220961,831.255063,liquid
232.15,-41.0,3000000.0,30.0,1427.181226,0.000701,147.997619,0.786071,145.895574,,1246.821433,832.300588,liquid
233.15,-40.0,3000000.0,30.0,1424.361488,0.000702,149.245247,0.791433,147.13904,,1248.435736,833.351064,liquid
234.15,-39.0,3000000.0,30.0,1421.535661,0.000703,150.494495,0.79678,148.384102,,1250.063992,834.406368,liquid
235.15,-38.0,3000000.0,30.0,1418.703627,0.000705,151.745379,0.802111,149.630773,,1251.706338,835.466385,liquid
236.15,-37.0,3000000.0,30.0,1415.865265,0.000706,152.997913,0.807426,150.879067,,1253.36292,836.531008,liquid
237.15,-36.0,3000000.0,30.0,1413.020454,0.000708,154.25211,0.812726,152.128999,,1255.033901,837.600136,liquid
238.15,-35.0,3000000.0,30.0,1410.169069,0.000709,155.507986,0.818011,153.380581,,1256.719451,838.673676,liquid
239.15,-34.0,3000000.0,30.0,1407.310984,0.000711,156.765554,0.82328,154.633829,,1258.419757,839.751541,liquid
240.15,-33.0,3000000.0,30.0,1404.446069,0.000712,158.02483,0.828535,155.888757,,1260.135016,840.83365,liquid
241.15,-32.0,3000000.0,30.0,1401.574191,0.000713,159.285829,0.833775,157.145379,,1261.865438,841.91993,liquid
242.15,-31.0,3000000.0,30.0,1398.695216,0.000715,160.548566,0.839,158.40371,,1263.611245,843.010311,liquid
243.15,-30.0,3000000.0,30.0,1395.809007,0.000716,161.813057,0.844211,159.663766,,1265.372672,844.104729,liquid
244.15,-29.0,3000000.0,30.0,1392.915424,0.000718,163.079317,0.849408,160.925561,,1267.149967,845.203128,liquid
245.15,-28.0,3000000.0,30.0,1390.014322,0.000719,164.347362,0.854592,162.189111,,1268.943387,846.305455,liquid
246.15,-27.0,3000000.0,30.0,1387.105556,0.000721,165.617209,0.859761,163.454432,,1270.753207,847.411661,liquid
247.15,-26.0,3000000.0,30.0,1384.188977,0.000722,166.888874,0.864917,164.72154,,1272.579711,848.521704,liquid
248.15,-25.0,3000000.0,30.0,1381.264432,0.000724,168.162374,0.870059,165.990451,,1274.423198,849.635544,liquid
249.15,-24.0,3000000.0,30.0,1378.331765,0.000726,169.437726,0.875188,167.261182,,1276.283979,850.753149,liquid
250.15,-23.0,3000000.0,30.0,1375.390817,0.000727,170.714948,0.880304,168.53375,,1278.162378,851.874486,liquid
251.15,-22.0,3000000.0,30.0,1372.441426,0.000729,171.994057,0.885407,169.808171,,1280.058735,852.999531,liquid
252.15,-21.0,3000000.0,30.0,1369.483425,0.00073,173.275071,0.890498,171.084464,,1281.973402,854.128261,liquid
253.15,-20.0,3000000.0,30.0,1366.516644,0.000732,174.55801,0.895576,172.362647,,1283.906745,855.260659,liquid
254.15,-19.0,3000000.0,30.0,1363.54091,0.000733,175.842891,0.900641,173.642737,,1285.859147,856.396708,liquid
255.15,-18.0,3000000.0,30.0,1360.556045,0.000735,177.129735,0.905695,174.924754,,1287.831004,857.536399,liquid
256.15,-17.0,3000000.0,30.0,1357.561868,0.000737,178.41856,0.910736,176.208716,,1289.822727,858.679722,liquid
257.15,-16.0,3000000.0,30.0,1354.558191,0.000738,179.709387,0.915766,177.494643,,1291.834745,859.826675,liquid
258.15,-15.0,3000000.0,30.0,1351.544826,0.00074,181.002236,0.920783,178.782554,,1293.867501,860.977256,liquid
259.15,-14.0,3000000.0,30.0,1348.521577,0.000742,182.297129,0.92579,180.07247,,1295.921457,862.131467,liquid
260.15,-13.0,3000000.0,30.0,1345.488244,0.000743,183.594086,0.930785,181.364413,,1297.99709,863.289313,liquid
261.15,-12.0,3000000.0,30.0,1342.444624,0.000745,184.893131,0.935769,182.658401,,1300.094896,864.450802,liquid
262.15,-11.0,3000000.0,30.0,1339.390508,0.000747,186.194284,0.940742,183.954459,,1302.215391,865.615945,liquid
263.15,-10.0,3000000.0,30.0,1336.325681,0.000748,187.497569,0.945704,185.252607,,1304.359108,866.784758,liquid
264.15,-9.0,3000000.0,30.0,1333.249923,0.00075,188.80301,0.950655,186.552869,,1306.526601,867.957256,liquid
265.15,-8.0,3000000.0,30.0,1330.16301,0.000752,190.11063,0.955596,187.855268,,1308.718445,869.13346,liquid
