T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
193.15,-80.0,900000.0,9.0,1530.359169,0.000653,99.54741,0.564412,98.959312,,1197.162351,797.074055,liquid
194.15,-79.0,900000.0,9.0,1527.673482,0.000655,100.745086,0.570597,100.155955,,1198.194897,797.703302,liquid
195.15,-78.0,900000.0,9.0,1524.984604,0.000656,101.943808,0.576756,101.353638,,1199.251823,798.355011,liquid
196.15,-77.0,900000.0,9.0,1522.292469,0.000657,103.143598,0.582888,102.552384,,1200.332286,799.028129,liquid
197.15,-76.0,900000.0,9.0,1519.597006,0.000658,104.34448,0.588995,103.752218,,1201.435498,799.721659,liquid
198.15,-75.0,900000.0,9.0,1516.898148,0.000659,105.546476,0.595076,104.95316,,1202.56072,800.434656,liquid
199.15,-74.0,900000.0,9.0,1514.195822,0.00066,106.749608,0.601133,106.155233,,1203.707264,801.166223,liquid
200.15,-73.0,900000.0,9.0,1511.489956,0.000662,107.953898,0.607165,107.358459,,1204.874485,801.915512,liquid
201.15,-72.0,900000.0,9.0,1508.780477,0.000663,109.159364,0.613172,108.562856,,1206.061785,802.681719,liquid
202.15,-71.0,900000.0,9.0,1506.06731,0.000664,110.366028,0.619156,109.768445,,1207.268607,803.464081,liquid
203.15,-70.0,900000.0,9.0,1503.350379,0.000665,111.573908,0.625117,110.975245,,1208.494434,804.261875,liquid
204.15,-69.0,900000.0,9.0,1500.629606,0.000666,112.783023,0.631054,112.183274,,1209.738787,805.074419,liquid
205.15,-68.0,900000.0,9.0,1497.904913,0.000668,113.993391,0.636968,113.392552,,1211.001223,805.901062,liquid
206.15,-67.0,900000.0,9.0,1495.176219,0.000669,115.205031,0.64286,114.603095,,1212.281334,806.741192,liquid
207.15,-66.0,900000.0,9.0,1492.443442,0.00067,116.41796,0.64873,115.814922,,1213.578745,807.594227,liquid
208.15,-65.0,900000.0,9.0,1489.7065,0.000671,117.632194,0.654577,117.028048,,1214.893113,808.459615,liquid
209.15,-64.0,900000.0,9.0,1486.965307,0.000673,118.847751,0.660403,118.242492,,1216.224125,809.336836,liquid
210.15,-63.0,900000.0,9.0,1484.219778,0.000674,120.064648,0.666207,119.458269,,1217.571498,810.225394,liquid
211.15,-62.0,900000.0,9.0,1481.469825,0.000675,121.2829,0.671991,120.675395,,1218.934975,811.124823,liquid
212.15,-61.0,900000.0,9.0,1478.715359,0.000676,122.502523,0.677753,121.893887,,1220.314326,812.034679,liquid
213.15,-60.0,900000.0,9.0,1475.956289,0.000678,123.723534,0.683495,123.113759,,1221.709348,812.954545,liquid
214.15,-59.0,900000.0,9.0,1473.192522,0.000679,124.945947,0.689217,124.335029,,1223.119861,813.884023,liquid
215.15,-58.0,900000.0,9.0,1470.423964,0.00068,126.169778,0.694918,125.55771,,1224.545711,814.822738,liquid
216.15,-57.0,900000.0,9.0,1467.65052,0.000681,127.395043,0.7006,126.781818,,1225.986763,815.770337,liquid
217.15,-56.0,900000.0,9.0,1464.872091,0.000683,128.621757,0.706262,128.007369,,1227.442907,816.726483,liquid
218.15,-55.0,900000.0,9.0,1462.088579,0.000684,129.849934,0.711905,129.234376,,1228.914054,817.690861,liquid
219.15,-54.0,900000.0,9.0,1459.299881,0.000685,131.07959,0.717529,130.462856,,1230.400135,818.663171,liquid
220.15,-53.0,900000.0,9.0,1456.505895,0.000687,132.310739,0.723134,131.692822,,1231.901099,819.643131,liquid
221.15,-52.0,900000.0,9.0,1453.706515,0.000688,133.543397,0.72872,132.92429,,1233.416918,820.630473,liquid
222.15,-51.0,900000.0,9.0,1450.901635,0.000689,134.777578,0.734289,134.157274,,1234.94758,821.624947,liquid
223.15,-50.0,900000.0,9.0,1448.091144,0.000691,136.013297,0.739839,135.39179,,1236.493093,822.626315,liquid
224.15,-49.0,900000.0,9.0,1445.274932,0.000692,137.250569,0.745371,136.627851,,1238.05348,823.634354,liquid
225.15,-48.0,900000.0,9.0,1442.452885,0.000693,138.489409,0.750885,137.865472,,1239.628785,824.648853,liquid
226.15,-47.0,900000.0,9.0,1439.624887,0.000695,139.729832,0.756382,139.104669,,1241.219066,825.669613,liquid
227.15,-46.0,900000.0,9.0,1436.790821,0.000696,140.971852,0.761862,140.345456,,1242.824399,826.69645,liquid
228.15,-45.0,900000.0,9.0,1433.950565,0.000697,142.215486,0.767325,141.587849,,1244.444877,827.729187,liquid
229.15,-44.0,900000.0,9.0,1431.103998,0.000699,143.460747,0.772771,142.831862,,1246.080607,828.76766,liquid
230.15,-43.0,900000.0,9.0,1428.250993,0.0007,144.707652,0.778201,144.077511,,1247.731714,829.811716,liquid
231.15,-42.0,900000.0,9.0,1425.391423,0.000702,145.956216,0.783614,145.32481,,1249.398337,830.86121,liquid
232.15,-41.0,900000.0,9.0,1422.525158,0.000703,147.206454,0.789011,146.573776,,1251.080631,831.916008,liquid
233.15,-40.0,900000.0,9.0,1419.652064,0.000704,148.458382,0.794393,147.824424,,1252.778767,832.975983,liquid
234.15,-39.0,900000.0,9.0,1416.772005,0.000706,149.712017,0.799758,149.07677,,1254.492932,834.041018,liquid
235.15,-38.0,900000.0,9.0,1413.884843,0.000707,150.967374,0.805108,150.33083,,1256.223325,835.111004,liquid
236.15,-37.0,900000.0,9.0,1410.990437,0.000709,152.224469,0.810443,151.586619,,1257.970164,836.185839,liquid
237.15,-36.0,900000.0,9.0,1408.08864,0.00071,153.48332,0.815762,152.844155,,1259.73368,837.26543,liquid
238.15,-35.0,900000.0,9.0,1405.179305,0.000712,154.743942,0.821067,154.103454,,1261.51412,838.349689,liquid
