T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
208.564878,-64.585122,50000.0,0.5,1.761996,0.567538,440.0,2.219831,411.623097,0.874542,832.790266,630.440757,twophase
211.735178,-61.414822,60000.0,0.6,2.102928,0.475528,440.0,2.195142,411.468347,0.869081,850.621673,642.492635,twophase
214.503709,-58.646291,70000.0,0.7,2.442912,0.409347,440.0,2.17446,411.345677,0.864299,867.149173,653.495914,twophase
216.970202,-56.179798,80000.0,0.8,2.782258,0.35942,440.0,2.156692,411.246373,0.86003,882.635088,663.659986,twophase
219.200551,-53.949449,90000.0,0.9,3.121186,0.320391,440.0,2.14114,411.164809,0.856163,897.264512,673.132164,twophase
221.240713,-51.909287,100000.0,1.0,3.459866,0.289029,440.0,2.127328,411.097144,0.85262,911.174168,682.020999,twophase
223.124088,-50.025912,110000.0,1.1,3.798427,0.263267,440.0,2.114917,411.040641,0.849344,924.468629,690.409355,twophase
224.875765,-48.274235,120000.0,1.2,4.136973,0.241723,440.0,2.103658,410.993281,0.846294,937.230116,698.362266,twophase
226.515097,-46.634903,130000.0,1.3,4.475588,0.223434,440.0,2.093364,410.953535,0.843436,949.524726,705.931932,twophase
228.057344,-45.092656,140000.0,1.4,4.814341,0.207713,440.0,2.083887,410.920218,0.840744,961.40658,713.161027,twophase
229.514767,-43.635233,150000.0,1.5,5.153292,0.194051,440.0,2.075114,410.892392,0.838198,972.920683,720.084991,twophase
230.897376,-42.252624,160000.0,1.6,5.492488,0.182067,440.0,2.06695,410.869304,0.83578,984.104957,726.73364,twophase
232.213453,-40.936547,170000.0,1.7,5.831972,0.171469,440.0,2.05932,410.850339,0.833476,994.991719,733.13235,twophase
233.469935,-39.680065,180000.0,1.8,6.171779,0.162028,440.0,2.052163,410.834992,0.831276,1005.608786,739.302933,twophase
234.672696,-38.477304,190000.0,1.9,6.511942,0.153564,440.0,2.045425,410.822837,0.829167,1015.980312,745.264296,twophase
235.826752,-37.323248,200000.0,2.0,6.852488,0.145932,440.0,2.039062,410.81352,0.827143,1026.127431,751.032964,twophase
236.936428,-36.213572,210000.0,2.1,7.193441,0.139016,440.0,2.033037,410.806738,0.825195,1036.068767,756.623471,twophase
238.005476,-35.144524,220000.0,2.2,7.534822,0.132717,440.0,2.027317,410.802229,0.823318,1045.820832,762.048684,twophase
239.037177,-34.112823,230000.0,2.3,7.876651,0.126958,440.0,2.021876,410.799771,0.821505,1055.398351,767.320058,twophase
240.034416,-33.115584,240000.0,2.4,8.218944,0.12167,440.0,2.016687,410.799169,0.819751,1064.814523,772.44784,twophase
240.999746,-32.150254,250000.0,2.5,8.561718,0.116799,440.0,2.011731,410.800252,0.818053,1074.081233,777.441242,twophase
