T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
208.564878,-64.585122,50000.0,0.5,5.411071,0.184806,206.442625,1.1,197.202311,0.283942,1801.442096,1244.830492,twophase
211.735178,-61.414822,60000.0,0.6,6.553977,0.152579,208.119825,1.1,198.965079,0.277853,2058.547867,1382.872804,twophase
214.503709,-58.646291,70000.0,0.7,7.720667,0.129522,209.524436,1.1,200.457862,0.272301,2336.533671,1521.362042,twophase
216.970202,-56.179798,80000.0,0.8,8.91142,0.112216,210.729285,1.1,201.75204,0.267166,2640.237609,1660.795484,twophase
219.200551,-53.949449,90000.0,0.9,10.126499,0.098751,211.781475,1.1,202.893902,0.262366,2975.656725,1801.595565,twophase
221.240713,-51.909287,100000.0,1.0,11.366167,0.08798,212.713238,1.1,203.915197,0.257842,3350.445462,1944.134139,twophase
223.124088,-50.025912,110000.0,1.1,12.630699,0.079172,213.547598,1.1,204.838658,0.25355,3774.635249,2088.747883,twophase
224.875765,-48.274235,120000.0,1.2,13.920386,0.071837,214.301576,1.1,205.681125,0.249457,4261.724573,2235.74871,twophase
226.515097,-46.634903,130000.0,1.3,15.23554,0.065636,214.988109,1.1,206.455428,0.245535,4830.399969,2385.431151,twophase
228.057344,-45.092656,140000.0,1.4,16.576492,0.060326,215.61726,1.1,207.171565,0.241765,5507.371474,2538.077803,twophase
229.514767,-43.635233,150000.0,1.5,17.943592,0.05573,216.19701,1.1,207.83748,0.238128,6332.275741,2693.963489,twophase
230.897376,-42.252624,160000.0,1.6,19.337214,0.051714,216.733793,1.1,208.459592,0.23461,7366.656957,2853.358534,twophase
232.213453,-40.936547,170000.0,1.7,20.757749,0.048175,217.232874,1.1,209.043162,0.231199,8711.625925,3016.531416,twophase
233.469935,-39.680065,180000.0,1.8,22.205612,0.045034,217.698613,1.1,209.592554,0.227885,10545.865351,3183.750979,twophase
234.672696,-38.477304,190000.0,1.9,23.681235,0.042228,218.134663,1.1,210.111433,0.224659,13217.838115,3355.288315,twophase
235.826752,-37.323248,200000.0,2.0,25.185075,0.039706,218.544112,1.1,210.602901,0.221514,17510.518194,3531.418417,twophase
236.936428,-36.213572,210000.0,2.1,26.717605,0.037429,218.929596,1.1,211.06961,0.218442,25625.897642,3712.421653,twophase
238.005476,-35.144524,220000.0,2.2,28.279321,0.035362,219.293383,1.1,211.513847,0.215439,47064.420994,3898.585119,twophase
239.037177,-34.112823,230000.0,2.3,29.870741,0.033478,219.637436,1.1,211.937594,0.212499,275115.012586,4090.203901,twophase
240.034416,-33.115584,240000.0,2.4,31.492402,0.031754,219.963468,1.1,212.342582,0.209618,-71621.865006,4287.582277,twophase
240.999746,-32.150254,250000.0,2.5,33.144865,0.030171,220.272979,1.1,212.730333,0.206791,-31549.625176,4491.034871,twophase
241.935435,-31.214565,260000.0,2.6,34.82871,0.028712,220.567294,1.1,213.102188,0.204015,-20108.832171,4700.887801,twophase
242.84351,-30.30649,270000.0,2.7,36.544541,0.027364,220.847586,1.1,213.459342,0.201287,-14653.969526,4917.479796,twophase
243.72579,-29.42421,280000.0,2.8,38.292986,0.026114,221.1149,1.1,213.802856,0.198603,-11437.336611,5141.163343,twophase
244.583912,-28.566088,290000.0,2.9,40.074693,0.024953,221.37017,1.1,214.133683,0.195962,-9298.797858,5372.305828,twophase
245.419358,-27.730642,300000.0,3.0,41.890337,0.023872,221.614233,1.1,214.452677,0.19336,-7761.264776,5611.29071,twophase
246.233472,-26.916528,310000.0,3.1,43.740617,0.022862,221.847846,1.1,214.760612,0.190795,-6592.463612,5858.51873,twophase
247.027478,-26.122522,320000.0,3.2,45.626256,0.021917,222.071691,1.1,215.058185,0.188266,-5665.727525,6114.409151,twophase
247.802493,-25.347507,330000.0,3.3,47.548005,0.021031,222.286387,1.1,215.346032,0.185771,-4906.076767,6379.401052,twophase
248.55954,-24.59046,340000.0,3.4,49.506639,0.020199,222.492497,1.1,215.624731,0.183307,-4266.27295,6653.954668,twophase
249.29956,-23.85044,350000.0,3.5,51.502964,0.019416,222.690536,1.1,215.894811,0.180873,-3715.055974,6938.552793,twophase
250.023417,-23.126583,360000.0,3.6,53.537812,0.018678,222.880974,1.1,216.156755,0.178468,-3230.897695,7233.702244,twophase
250.731909,-22.418091,370000.0,3.7,55.612047,0.017982,223.064242,1.1,216.411007,0.17609,-2798.472628,7539.935397,twophase
251.425775,-21.724225,380000.0,3.8,57.726561,0.017323,223.240735,1.1,216.657977,0.173739,-2406.560017,7857.811795,twophase
252.1057,-21.0443,390000.0,3.9,59.882281,0.016699,223.41082,1.1,216.898042,0.171412,-2046.742849,8187.919835,twophase
252.772318,-20.377682,400000.0,4.0,62.080165,0.016108,223.574832,1.1,217.13155,0.169109,-1712.571638,8530.878543,twophase
253.426221,-19.723779,410000.0,4.1,64.321205,0.015547,223.733084,1.1,217.358825,0.166829,-1399.01013,8887.339435,twophase
254.06796,-19.08204,420000.0,4.2,66.606429,0.015014,223.885864,1.1,217.580166,0.164571,-1102.057943,9257.988467,twophase
254.69805,-18.45195,430000.0,4.3,68.936903,0.014506,224.033441,1.1,217.795853,0.162333,-818.48757,9643.54809,twophase
255.316973,-17.833027,440000.0,4.4,71.31373,0.014023,224.176065,1.1,218.006145,0.160115,-545.657266,10044.779396,twophase
255.925179,-17.224821,450000.0,4.5,73.738053,0.013562,224.313967,1.1,218.211283,0.157917,-281.375458,10462.484369,twophase
256.523091,-16.626909,460000.0,4.6,76.211059,0.013121,224.447365,1.1,218.411495,0.155737,-23.800878,10897.508243,twophase
257.111107,-16.038893,470000.0,4.7,78.733976,0.012701,224.576461,1.1,218.606993,0.153574,228.632064,11350.741958,twophase
257.689602,-15.460398,480000.0,4.8,81.308077,0.012299,224.701446,1.1,218.797973,0.151429,477.269765,11823.124721,twophase
