T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
208.15,-65.0,1000000.0,10.0,1250.568447,0.0008,93.927578,0.556877,93.127942,,1568.29347,949.984212,liquid
209.15,-64.0,1000000.0,10.0,1247.913822,0.000801,95.496333,0.564395,94.694996,,1569.222869,949.192178,liquid
210.15,-63.0,1000000.0,10.0,1245.252425,0.000803,97.066037,0.571883,96.262987,,1570.191662,948.420531,liquid
211.15,-62.0,1000000.0,10.0,1242.58413,0.000805,98.63673,0.579339,97.831955,,1571.200174,947.669189,liquid
212.15,-61.0,1000000.0,10.0,1239.90881,0.000807,100.208451,0.586765,99.40194,,1572.248741,946.938071,liquid
213.15,-60.0,1000000.0,10.0,1237.226333,0.000808,101.781241,0.594161,100.972981,,1573.337714,946.227099,liquid
214.15,-59.0,1000000.0,10.0,1234.536569,0.00081,103.35514,0.601528,102.545119,,1574.467458,945.536192,liquid
215.15,-58.0,1000000.0,10.0,1231.839382,0.000812,104.930189,0.608866,104.118395,,1575.638355,944.865273,liquid
216.15,-57.0,1000000.0,10.0,1229.134635,0.000814,106.506431,0.616175,105.69285,,1576.850798,944.214265,liquid
217.15,-56.0,1000000.0,10.0,1226.422188,0.000815,108.083905,0.623456,107.268525,,1578.1052,943.583093,liquid
218.15,-55.0,1000000.0,10.0,1223.701899,0.000817,109.662655,0.63071,108.845463,,1579.40199,942.971681,liquid
219.15,-54.0,1000000.0,10.0,1220.973624,0.000819,111.242723,0.637936,110.423705,,1580.741615,942.379957,liquid
220.15,-53.0,1000000.0,10.0,1218.237214,0.000821,112.824153,0.645136,112.003295,,1582.124539,941.807847,liquid
221.15,-52.0,1000000.0,10.0,1215.49252,0.000823,114.406987,0.65231,113.584275,,1583.551247,941.25528,liquid
222.15,-51.0,1000000.0,10.0,1212.739386,0.000825,115.99127,0.659457,115.16669,,1585.022244,940.722187,liquid
223.15,-50.0,1000000.0,10.0,1209.977658,0.000826,117.577046,0.66658,116.750585,,1586.538057,940.208499,liquid
224.15,-49.0,1000000.0,10.0,1207.207175,0.000828,119.164361,0.673677,118.336003,,1588.099232,939.714148,liquid
225.15,-48.0,1000000.0,10.0,1204.427773,0.00083,120.75326,0.68075,119.92299,,1589.706343,939.23907,liquid
226.15,-47.0,1000000.0,10.0,1201.639286,0.000832,122.343789,0.687798,121.511593,,1591.359984,938.783199,liquid
227.15,-46.0,1000000.0,10.0,1198.841543,0.000834,123.935996,0.694823,123.101857,,1593.060776,938.346473,liquid
228.15,-45.0,1000000.0,10.0,1196.034371,0.000836,125.529927,0.701825,124.693831,,1594.809369,937.928831,liquid
229.15,-44.0,1000000.0,10.0,1193.217591,0.000838,127.125631,0.708804,126.287561,,1596.606437,937.530215,liquid
230.15,-43.0,1000000.0,10.0,1190.391022,0.00084,128.723156,0.71576,127.883096,,1598.452685,937.150567,liquid
231.15,-42.0,1000000.0,10.0,1187.554476,0.000842,130.322553,0.722694,129.480486,,1600.348849,936.789831,liquid
232.15,-41.0,1000000.0,10.0,1184.707764,0.000844,131.923871,0.729607,131.079781,,1602.295698,936.447956,liquid
233.15,-40.0,1000000.0,10.0,1181.85069,0.000846,133.527161,0.736499,132.681031,,1604.294032,936.124889,liquid
234.15,-39.0,1000000.0,10.0,1178.983053,0.000848,135.132476,0.743369,134.284288,,1606.344689,935.820583,liquid
235.15,-38.0,1000000.0,10.0,1176.10465,0.00085,136.739868,0.750219,135.889604,,1608.448542,935.534992,liquid
236.15,-37.0,1000000.0,10.0,1173.21527,0.000852,138.349391,0.757049,137.497033,,1610.606505,935.268072,liquid
237.15,-36.0,1000000.0,10.0,1170.314697,0.000854,139.9611,0.76386,139.106629,,1612.819533,935.019784,liquid
238.15,-35.0,1000000.0,10.0,1167.40271,0.000857,141.575049,0.770651,140.718447,,1615.088622,934.790089,liquid
