T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
208.15,-65.0,5783000.0,57.83,1257.622901,0.000795,96.088048,0.548934,91.489691,,1557.586644,951.362254,supercritical_liquid
209.15,-64.0,5783000.0,57.83,1255.046255,0.000797,97.64599,0.5564,93.038192,,1558.302301,950.56733,supercritical_liquid
210.15,-63.0,5783000.0,57.83,1252.464054,0.000798,99.204664,0.563835,94.587366,,1559.052486,949.792549,supercritical_liquid
211.15,-62.0,5783000.0,57.83,1249.8762,0.0008,100.764106,0.571238,96.137248,,1559.837374,949.03782,supercritical_liquid
212.15,-61.0,5783000.0,57.83,1247.282593,0.000802,102.324351,0.57861,97.687871,,1560.65715,948.303054,supercritical_liquid
213.15,-60.0,5783000.0,57.83,1244.683133,0.000803,103.885432,0.585951,99.23927,,1561.512004,947.588161,supercritical_liquid
214.15,-59.0,5783000.0,57.83,1242.077716,0.000805,105.447387,0.593262,100.791478,,1562.402133,946.893053,supercritical_liquid
215.15,-58.0,5783000.0,57.83,1239.466239,0.000807,107.010249,0.600543,102.34453,,1563.327745,946.21764,supercritical_liquid
216.15,-57.0,5783000.0,57.83,1236.848596,0.000809,108.574054,0.607794,103.898461,,1564.289055,945.561834,supercritical_liquid
217.15,-56.0,5783000.0,57.83,1234.224681,0.00081,110.138839,0.615017,105.453306,,1565.286287,944.925548,supercritical_liquid
218.15,-55.0,5783000.0,57.83,1231.594385,0.000812,111.704639,0.622211,107.009099,,1566.319675,944.308695,supercritical_liquid
219.15,-54.0,5783000.0,57.83,1228.957599,0.000814,113.27149,0.629377,108.565876,,1567.389462,943.711188,supercritical_liquid
220.15,-53.0,5783000.0,57.83,1226.31421,0.000815,114.83943,0.636516,110.123673,,1568.495901,943.132939,supercritical_liquid
221.15,-52.0,5783000.0,57.83,1223.664105,0.000817,116.408494,0.643627,111.682524,,1569.639256,942.573865,supercritical_liquid
222.15,-51.0,5783000.0,57.83,1221.00717,0.000819,117.978721,0.650711,113.242467,,1570.819802,942.033879,supercritical_liquid
223.15,-50.0,5783000.0,57.83,1218.343287,0.000821,119.550146,0.657769,114.803537,,1572.037825,941.512896,supercritical_liquid
224.15,-49.0,5783000.0,57.83,1215.672337,0.000823,121.122809,0.664801,116.36577,,1573.293622,941.010832,supercritical_liquid
225.15,-48.0,5783000.0,57.83,1212.994201,0.000824,122.696746,0.671807,117.929205,,1574.587505,940.527604,supercritical_liquid
226.15,-47.0,5783000.0,57.83,1210.308755,0.000826,124.271997,0.678788,119.493877,,1575.919796,940.063129,supercritical_liquid
227.15,-46.0,5783000.0,57.83,1207.615873,0.000828,125.848599,0.685744,121.059824,,1577.290832,939.617324,supercritical_liquid
228.15,-45.0,5783000.0,57.83,1204.915431,0.00083,127.426591,0.692675,122.627084,,1578.700964,939.190106,supercritical_liquid
229.15,-44.0,5783000.0,57.83,1202.207297,0.000832,129.006014,0.699583,124.195695,,1580.150557,938.781396,supercritical_liquid
230.15,-43.0,5783000.0,57.83,1199.49134,0.000834,130.586906,0.706467,125.765695,,1581.639991,938.391112,supercritical_liquid
231.15,-42.0,5783000.0,57.83,1196.767427,0.000836,132.169307,0.713328,127.337124,,1583.169663,938.019175,supercritical_liquid
232.15,-41.0,5783000.0,57.83,1194.03542,0.000837,133.753259,0.720165,128.910019,,1584.739984,937.665506,supercritical_liquid
233.15,-40.0,5783000.0,57.83,1191.295182,0.000839,135.338801,0.72698,130.48442,,1586.351386,937.330026,supercritical_liquid
234.15,-39.0,5783000.0,57.83,1188.546569,0.000841,136.925975,0.733773,132.060369,,1588.004315,937.012659,supercritical_liquid
235.15,-38.0,5783000.0,57.83,1185.789438,0.000843,138.514823,0.740545,133.637904,,1589.699237,936.713328,supercritical_liquid
236.15,-37.0,5783000.0,57.83,1183.023641,0.000845,140.105388,0.747294,135.217066,,1591.43664,936.431957,supercritical_liquid
237.15,-36.0,5783000.0,57.83,1180.249028,0.000847,141.697711,0.754023,136.797898,,1593.217029,936.168473,supercritical_liquid
238.15,-35.0,5783000.0,57.83,1177.465445,0.000849,143.291836,0.760731,138.38044,,1595.040932,935.922801,supercritical_liquid
239.15,-34.0,5783000.0,57.83,1174.672735,0.000851,144.887808,0.767418,139.964734,,1596.908897,935.69487,supercritical_liquid
240.15,-33.0,5783000.0,57.83,1171.87074,0.000853,146.485669,0.774086,141.550824,,1598.821498,935.484609,supercritical_liquid
241.15,-32.0,5783000.0,57.83,1169.059295,0.000855,148.085466,0.780734,143.138753,,1600.779332,935.291948,supercritical_liquid
242.15,-31.0,5783000.0,57.83,1166.238233,0.000857,149.687243,0.787362,144.728565,,1602.783021,935.116818,supercritical_liquid
243.15,-30.0,5783000.0,57.83,1163.407384,0.00086,151.291047,0.793972,146.320303,,1604.833212,934.959153,supercritical_liquid
244.15,-29.0,5783000.0,57.83,1160.566573,0.000862,152.896925,0.800563,147.914014,,1606.930582,934.818888,supercritical_liquid
245.15,-28.0,5783000.0,57.83,1157.715623,0.000864,154.504924,0.807135,149.509743,,1609.075835,934.695958,supercritical_liquid
