T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
208.15,-65.0,50000.0,0.5,1249.123431,0.000801,93.504136,0.558494,93.464108,,1570.584417,949.715975,liquid
209.15,-64.0,50000.0,0.5,1.536317,0.650907,490.088138,2.459984,457.542775,,810.746293,616.055762,gas
210.15,-63.0,50000.0,0.5,1.528044,0.654432,490.897252,2.463843,458.175676,,807.538586,614.152338,gas
211.15,-62.0,50000.0,0.5,1.519886,0.657944,491.703325,2.46767,458.80612,,804.658703,612.487421,gas
212.15,-61.0,50000.0,0.5,1.51184,0.661446,492.506667,2.471465,459.434377,,802.070845,611.034665,gas
213.15,-60.0,50000.0,0.5,1.503901,0.664937,493.307553,2.475232,460.06069,,799.743952,609.771204,gas
214.15,-59.0,50000.0,0.5,1.496067,0.668419,494.106232,2.47897,460.685275,,797.651018,608.677166,gas
215.15,-58.0,50000.0,0.5,1.488334,0.671892,494.902926,2.482681,461.308326,,795.768518,607.735242,gas
216.15,-57.0,50000.0,0.5,1.4807,0.675356,495.697833,2.486368,461.930019,,794.075912,606.930335,gas
217.15,-56.0,50000.0,0.5,1.473161,0.678812,496.491135,2.490029,462.550511,,792.555231,606.24925,gas
218.15,-55.0,50000.0,0.5,1.465715,0.682261,497.282995,2.493668,463.169944,,791.190719,605.68043,gas
219.15,-54.0,50000.0,0.5,1.458359,0.685702,498.073564,2.497283,463.788449,,789.968533,605.213737,gas
220.15,-53.0,50000.0,0.5,1.451091,0.689137,498.862976,2.500877,464.406144,,788.876479,604.840258,gas
221.15,-52.0,50000.0,0.5,1.443909,0.692564,499.651356,2.50445,465.023138,,787.903795,604.552139,gas
222.15,-51.0,50000.0,0.5,1.436811,0.695986,500.43882,2.508003,465.639531,,787.040957,604.342448,gas
223.15,-50.0,50000.0,0.5,1.429795,0.699401,501.225472,2.511536,466.255413,,786.279518,604.205049,gas
224.15,-49.0,50000.0,0.5,1.422858,0.702811,502.01141,2.51505,466.87087,,785.611966,604.1345,gas
225.15,-48.0,50000.0,0.5,1.416,0.706215,502.796725,2.518546,467.485979,,785.031606,604.125964,gas
226.15,-47.0,50000.0,0.5,1.409217,0.709614,503.581501,2.522024,468.100815,,784.532454,604.175132,gas
227.15,-46.0,50000.0,0.5,1.40251,0.713007,504.365815,2.525484,468.715445,,784.109149,604.278153,gas
228.15,-45.0,50000.0,0.5,1.395876,0.716396,505.149742,2.528928,469.329932,,783.756873,604.431579,gas
229.15,-44.0,50000.0,0.5,1.389313,0.71978,505.933351,2.532355,469.944337,,783.471287,604.632313,gas
230.15,-43.0,50000.0,0.5,1.38282,0.72316,506.716706,2.535766,470.558715,,783.248471,604.877569,gas
231.15,-42.0,50000.0,0.5,1.376396,0.726535,507.499868,2.539161,471.173118,,783.084877,605.164831,gas
232.15,-41.0,50000.0,0.5,1.37004,0.729906,508.282894,2.542542,471.787598,,782.97728,605.491822,gas
233.15,-40.0,50000.0,0.5,1.363749,0.733273,509.06584,2.545907,472.4022,,782.922744,605.856477,gas
234.15,-39.0,50000.0,0.5,1.357523,0.736636,509.848757,2.549258,473.01697,,782.918589,606.256915,gas
235.15,-38.0,50000.0,0.5,1.351361,0.739995,510.631693,2.552594,473.63195,,782.962362,606.691422,gas
236.15,-37.0,50000.0,0.5,1.345261,0.74335,511.414697,2.555917,474.24718,,783.051809,607.158428,gas
237.15,-36.0,50000.0,0.5,1.339222,0.746702,512.197811,2.559226,474.8627,,783.184857,607.656494,gas
238.15,-35.0,50000.0,0.5,1.333243,0.750051,512.98108,2.562522,475.478546,,783.359592,608.184294,gas
239.15,-34.0,50000.0,0.5,1.327324,0.753396,513.764544,2.565805,476.094754,,783.574245,608.740609,gas
240.15,-33.0,50000.0,0.5,1.321462,0.756738,514.548241,2.569075,476.711357,,783.827173,609.324308,gas
241.15,-32.0,50000.0,0.5,1.315657,0.760076,515.33221,2.572333,477.328387,,784.116852,609.934344,gas
242.15,-31.0,50000.0,0.5,1.309908,0.763412,516.116487,2.575579,477.945877,,784.441859,610.569744,gas
243.15,-30.0,50000.0,0.5,1.304215,0.766745,516.901106,2.578812,478.563857,,784.800866,611.2296,gas
244.15,-29.0,50000.0,0.5,1.298575,0.770075,517.6861,2.582034,479.182354,,785.19263,611.913067,gas
245.15,-28.0,50000.0,0.5,1.292989,0.773402,518.471501,2.585244,479.801398,,785.615984,612.619351,gas
246.15,-27.0,50000.0,0.5,1.287454,0.776727,519.257342,2.588443,480.421014,,786.069834,613.347708,gas
247.15,-26.0,50000.0,0.5,1.281972,0.780048,520.043651,2.591631,481.04123,,786.553148,614.097438,gas
248.15,-25.0,50000.0,0.5,1.27654,0.783368,520.830458,2.594808,481.662071,,787.064951,614.867883,gas
249.15,-24.0,50000.0,0.5,1.271157,0.786685,521.61779,2.597975,482.28356,,787.604323,615.658419,gas
250.15,-23.0,50000.0,0.5,1.265824,0.789999,522.405675,2.601131,482.905722,,788.170394,616.468459,gas
251.15,-22.0,50000.0,0.5,1.260539,0.793311,523.194139,2.604276,483.528579,,788.762338,617.297443,gas
252.15,-21.0,50000.0,0.5,1.255302,0.796621,523.983208,2.607412,484.152154,,789.379369,618.144842,gas
253.15,-20.0,50000.0,0.5,1.250111,0.799929,524.772906,2.610538,484.776469,,790.020741,619.010152,gas
254.15,-19.0,50000.0,0.5,1.244967,0.803234,525.563257,2.613654,485.401543,,790.685743,619.892893,gas
255.15,-18.0,50000.0,0.5,1.239868,0.806538,526.354285,2.61676,486.027399,,791.373697,620.792607,gas
256.15,-17.0,50000.0,0.5,1.234813,0.809839,527.146012,2.619857,486.654055,,792.083956,621.708857,gas
257.15,-16.0,50000.0,0.5,1.229803,0.813139,527.93846,2.622945,487.281531,,792.8159,622.641224,gas
258.15,-15.0,50000.0,0.5,1.224836,0.816436,528.731651,2.626023,487.909845,,793.568936,623.589306,gas
259.15,-14.0,50000.0,0.5,1.219911,0.819732,529.525605,2.629093,488.539017,,794.342498,624.552719,gas
260.15,-13.0,50000.0,0.5,1.215029,0.823026,530.320343,2.632153,489.169063,,795.136038,625.531093,gas
