T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
208.15,-65.0,48798.005526,0.48798,1000.0,0.001,93.62269,0.559068,93.573892,0.000301,85.986056,22963.157917,twophase
209.15,-64.0,51735.935097,0.517359,1000.0,0.001,95.200366,0.566615,95.14863,0.000315,322.719356,20388.081311,twophase
210.15,-63.0,54815.590264,0.548156,1000.0,0.001,96.779226,0.574132,96.724411,0.00033,529.433477,18124.59442,twophase
211.15,-62.0,58041.945056,0.580419,1000.0,0.001,98.359312,0.581617,98.30127,0.000345,709.851732,16133.74852,twophase
212.15,-61.0,61420.070814,0.614201,1000.0,0.001,99.940663,0.589073,99.879243,0.00036,867.213646,14381.615808,twophase
213.15,-60.0,64955.135841,0.649551,1000.0,0.001,101.52332,0.596499,101.458364,0.000376,1004.338828,12838.62279,twophase
214.15,-59.0,68652.405017,0.686524,1000.0,0.001,103.107321,0.603896,103.038669,0.000393,1123.682061,11478.974719,twophase
215.15,-58.0,72517.239374,0.725172,1000.0,0.001,104.692709,0.611264,104.620192,0.000409,1227.380845,10280.158301,twophase
216.15,-57.0,76555.095642,0.765551,1000.0,0.001,106.279522,0.618603,106.202967,0.000427,1317.296433,9222.511729,twophase
217.15,-56.0,80771.525762,0.807715,1000.0,0.001,107.867801,0.625915,107.787029,0.000444,1395.049237,8288.852685,twophase
218.15,-55.0,85172.17637,0.851722,1000.0,0.001,109.457585,0.633199,109.372413,0.000462,1462.049387,7464.15626,twophase
219.15,-54.0,89762.788248,0.897628,1000.0,0.001,111.048915,0.640456,110.959152,0.000481,1519.523064,6735.27593,twophase
220.15,-53.0,94549.195761,0.945492,1000.0,0.001,112.641831,0.647686,112.547282,0.0005,1568.535171,6090.701656,twophase
221.15,-52.0,99537.32626,0.995373,1000.0,0.001,114.236372,0.65489,114.136835,0.000519,1610.008794,5520.350035,twophase
222.15,-51.0,104733.199468,1.047332,1000.0,0.001,115.832578,0.662068,115.727845,0.000539,1644.741841,5015.382141,twophase
223.15,-50.0,110142.926849,1.101429,1000.0,0.001,117.43049,0.669221,117.320347,0.000559,1673.421177,4568.045301,twophase
224.15,-49.0,115772.710952,1.157727,1000.0,0.001,119.030147,0.676348,118.914374,0.000579,1696.634498,4171.535561,twophase
