T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
333.15,60.0,50000.0,0.5,0.942911,1.060546,591.366859,2.838524,538.339565,,885.401743,722.182092,gas
333.15,60.0,55000.0,0.55,1.037627,0.963738,591.288808,2.823122,538.283239,,886.035213,722.471129,gas
333.15,60.0,60000.0,0.6,1.132421,0.883064,591.210712,2.809047,538.226877,,886.669709,722.760372,gas
333.15,60.0,65000.0,0.65,1.227293,0.814801,591.132572,2.796085,538.170481,,887.305233,723.04982,gas
333.15,60.0,70000.0,0.7,1.322243,0.756291,591.054386,2.784071,538.11405,,887.94179,723.339474,gas
333.15,60.0,75000.0,0.75,1.417272,0.705581,590.976155,2.772875,538.057584,,888.579382,723.629335,gas
333.15,60.0,80000.0,0.8,1.512379,0.66121,590.89788,2.762391,538.001082,,889.218013,723.919402,gas
333.15,60.0,85000.0,0.85,1.607565,0.622059,590.819559,2.752532,537.944546,,889.857685,724.209677,gas
333.15,60.0,90000.0,0.9,1.702829,0.587258,590.741193,2.743227,537.887974,,890.498402,724.500159,gas
333.15,60.0,95000.0,0.95,1.798173,0.55612,590.662781,2.734415,537.831367,,891.140166,724.79085,gas
333.15,60.0,100000.0,1.0,1.893595,0.528096,590.584325,2.726047,537.774724,,891.782982,725.081749,gas
333.15,60.0,105000.0,1.05,1.989097,0.502741,590.505822,2.718079,537.718046,,892.426852,725.372858,gas
333.15,60.0,110000.0,1.1,2.084678,0.47969,590.427274,2.710474,537.661332,,893.07178,725.664176,gas
333.15,60.0,115000.0,1.15,2.180339,0.458644,590.348681,2.703199,537.604583,,893.717768,725.955704,gas
333.15,60.0,120000.0,1.2,2.276079,0.439352,590.270042,2.696226,537.547798,,894.364821,726.247443,gas
333.15,60.0,125000.0,1.25,2.371899,0.421603,590.191357,2.689531,537.490978,,895.01294,726.539393,gas
333.15,60.0,130000.0,1.3,2.4678,0.405219,590.112626,2.683092,537.434121,,895.662131,726.831555,gas
333.15,60.0,135000.0,1.35,2.56378,0.390049,590.033849,2.676889,537.377229,,896.312395,727.123929,gas
333.15,60.0,140000.0,1.4,2.659841,0.375962,589.955025,2.670906,537.320301,,896.963736,727.416515,gas
333.15,60.0,145000.0,1.45,2.755982,0.362847,589.876156,2.665126,537.263337,,897.616158,727.709314,gas
333.15,60.0,150000.0,1.5,2.852204,0.350606,589.797241,2.659536,537.206336,,898.269664,728.002327,gas
333.15,60.0,155000.0,1.55,2.948507,0.339155,589.718279,2.654124,537.1493,,898.924257,728.295554,gas
333.15,60.0,160000.0,1.6,3.044891,0.328419,589.639271,2.648878,537.092227,,899.57994,728.588995,gas
333.15,60.0,165000.0,1.65,3.141355,0.318334,589.560216,2.643788,537.035118,,900.236717,728.882652,gas
333.15,60.0,170000.0,1.7,3.237902,0.308842,589.481114,2.638845,536.977973,,900.894592,729.176524,gas
333.15,60.0,175000.0,1.75,3.334529,0.299892,589.401966,2.63404,536.920792,,901.553567,729.470612,gas
333.15,60.0,180000.0,1.8,3.431238,0.29144,589.322771,2.629366,536.863574,,902.213647,729.764916,gas
333.15,60.0,185000.0,1.85,3.528029,0.283444,589.24353,2.624814,536.806319,,902.874834,730.059437,gas
333.15,60.0,190000.0,1.9,3.624902,0.27587,589.164241,2.62038,536.749028,,903.537132,730.354176,gas
333.15,60.0,195000.0,1.95,3.721857,0.268683,589.084905,2.616056,536.6917,,904.200544,730.649133,gas
333.15,60.0,200000.0,2.0,3.818894,0.261856,589.005522,2.611837,536.634335,,904.865075,730.944309,gas
333.15,60.0,205000.0,2.05,3.916013,0.255362,588.926092,2.607717,536.576934,,905.530727,731.239703,gas
333.15,60.0,210000.0,2.1,4.013215,0.249177,588.846615,2.603693,536.519495,,906.197504,731.535317,gas
333.15,60.0,215000.0,2.15,4.1105,0.243279,588.76709,2.599759,536.46202,,906.86541,731.831151,gas
333.15,60.0,220000.0,2.2,4.207868,0.23765,588.687518,2.595912,536.404507,,907.534447,732.127206,gas
333.15,60.0,225000.0,2.25,4.305319,0.232271,588.607898,2.592147,536.346958,,908.20462,732.423481,gas
333.15,60.0,230000.0,2.3,4.402853,0.227125,588.528231,2.58846,536.289371,,908.875933,732.719978,gas
333.15,60.0,235000.0,2.35,4.50047,0.222199,588.448515,2.58485,536.231747,,909.548388,733.016698,gas
333.15,60.0,240000.0,2.4,4.598171,0.217478,588.368752,2.581311,536.174086,,910.22199,733.31364,gas
333.15,60.0,245000.0,2.45,4.695956,0.212949,588.288941,2.577842,536.116387,,910.896741,733.610805,gas
333.15,60.0,250000.0,2.5,4.793824,0.208602,588.209082,2.574439,536.058651,,911.572647,733.908194,gas
333.15,60.0,255000.0,2.55,4.891777,0.204425,588.129175,2.5711,536.000878,,912.249709,734.205807,gas
333.15,60.0,260000.0,2.6,4.989814,0.200408,588.04922,2.567822,535.943066,,912.927933,734.503644,gas
333.15,60.0,265000.0,2.65,5.087935,0.196543,587.969216,2.564603,535.885217,,913.607321,734.801708,gas
333.15,60.0,270000.0,2.7,5.186141,0.192822,587.889164,2.561441,535.827331,,914.287878,735.099996,gas
333.15,60.0,275000.0,2.75,5.284431,0.189235,587.809063,2.558334,535.769406,,914.969607,735.398512,gas
333.15,60.0,280000.0,2.8,5.382807,0.185777,587.728914,2.55528,535.711444,,915.652511,735.697254,gas
333.15,60.0,285000.0,2.85,5.481268,0.18244,587.648716,2.552276,535.653443,,916.336595,735.996223,gas
333.15,60.0,290000.0,2.9,5.579813,0.179217,587.568469,2.549321,535.595405,,917.021863,736.295421,gas
333.15,60.0,295000.0,2.95,5.678445,0.176105,587.488174,2.546414,535.537328,,917.708318,736.594847,gas
333.15,60.0,300000.0,3.0,5.777162,0.173095,587.407829,2.543552,535.479214,,918.395963,736.894502,gas
333.15,60.0,305000.0,3.05,5.875964,0.170185,587.327436,2.540735,535.421061,,919.084804,737.194386,gas
333.15,60.0,310000.0,3.1,5.974853,0.167368,587.246993,2.537961,535.362869,,919.774843,737.494501,gas
333.15,60.0,315000.0,3.15,6.073827,0.164641,587.166501,2.535228,535.304639,,920.466084,737.794846,gas
333.15,60.0,320000.0,3.2,6.172889,0.161999,587.08596,2.532535,535.246371,,921.158532,738.095423,gas
333.15,60.0,325000.0,3.25,6.272036,0.159438,587.005369,2.529881,535.188064,,921.85219,738.396231,gas
333.15,60.0,330000.0,3.3,6.37127,0.156955,586.924729,2.527265,535.129719,,922.547062,738.697272,gas
333.15,60.0,335000.0,3.35,6.470591,0.154545,586.844039,2.524685,535.071334,,923.243153,738.998546,gas
333.15,60.0,340000.0,3.4,6.569999,0.152207,586.763299,2.522141,535.012911,,923.940465,739.300053,gas
333.15,60.0,345000.0,3.45,6.669494,0.149936,586.682509,2.519631,534.95445,,924.639003,739.601795,gas
333.15,60.0,350000.0,3.5,6.769077,0.147731,586.60167,2.517155,534.895949,,925.338771,739.903771,gas
333.15,60.0,355000.0,3.55,6.868747,0.145587,586.520781,2.514711,534.837409,,926.039773,740.205982,gas
333.15,60.0,360000.0,3.6,6.968505,0.143503,586.439841,2.512299,534.77883,,926.742014,740.508428,gas
333.15,60.0,365000.0,3.65,7.06835,0.141476,586.358851,2.509918,534.720211,,927.445496,740.811112,gas
333.15,60.0,370000.0,3.7,7.168284,0.139503,586.277811,2.507566,534.661554,,928.150224,741.114032,gas
333.15,60.0,375000.0,3.75,7.268306,0.137584,586.196721,2.505243,534.602857,,928.856202,741.417189,gas
333.15,60.0,380000.0,3.8,7.368417,0.135714,586.11558,2.502949,534.544121,,929.563434,741.720585,gas
333.15,60.0,385000.0,3.85,7.468616,0.133894,586.034388,2.500682,534.485345,,930.271925,742.024219,gas
333.15,60.0,390000.0,3.9,7.568904,0.13212,585.953146,2.498442,534.42653,,930.981678,742.328093,gas
333.15,60.0,395000.0,3.95,7.669281,0.13039,585.871852,2.496228,534.367675,,931.692698,742.632206,gas
333.15,60.0,400000.0,4.0,7.769747,0.128704,585.790508,2.49404,534.30878,,932.404988,742.93656,gas
333.15,60.0,405000.0,4.05,7.870302,0.12706,585.709113,2.491876,534.249846,,933.118554,743.241154,gas
333.15,60.0,410000.0,4.1,7.970948,0.125456,585.627667,2.489737,534.190871,,933.833398,743.54599,gas
333.15,60.0,415000.0,4.15,8.071682,0.12389,585.546169,2.487621,534.131857,,934.549526,743.851069,gas
333.15,60.0,420000.0,4.2,8.172507,0.122361,585.464621,2.485529,534.072802,,935.266942,744.15639,gas
333.15,60.0,425000.0,4.25,8.273422,0.120869,585.38302,2.483458,534.013708,,935.985649,744.461954,gas
333.15,60.0,430000.0,4.3,8.374427,0.119411,585.301369,2.48141,533.954573,,936.705653,744.767763,gas
333.15,60.0,435000.0,4.35,8.475523,0.117987,585.219665,2.479384,533.895398,,937.426956,745.073816,gas
333.15,60.0,440000.0,4.4,8.576709,0.116595,585.13791,2.477378,533.836183,,938.149565,745.380114,gas
333.15,60.0,445000.0,4.45,8.677986,0.115234,585.056103,2.475393,533.776927,,938.873483,745.686658,gas
333.15,60.0,450000.0,4.5,8.779355,0.113904,584.974244,2.473428,533.71763,,939.598714,745.993449,gas
333.15,60.0,455000.0,4.55,8.880814,0.112602,584.892333,2.471482,533.658293,,940.325263,746.300486,gas
333.15,60.0,460000.0,4.6,8.982365,0.111329,584.81037,2.469556,533.598915,,941.053134,746.607771,gas
333.15,60.0,465000.0,4.65,9.084008,0.110084,584.728355,2.467648,533.539497,,941.782332,746.915305,gas
333.15,60.0,470000.0,4.7,9.185743,0.108864,584.646287,2.465759,533.480037,,942.512861,747.223087,gas
333.15,60.0,475000.0,4.75,9.287569,0.107671,584.564167,2.463887,533.420537,,943.244726,747.531119,gas
333.15,60.0,480000.0,4.8,9.389488,0.106502,584.481994,2.462033,533.360995,,943.977931,747.8394,gas
333.15,60.0,485000.0,4.85,9.491499,0.105357,584.399769,2.460197,533.301412,,944.71248,748.147933,gas
333.15,60.0,490000.0,4.9,9.593603,0.104236,584.31749,2.458377,533.241789,,945.448378,748.456717,gas
333.15,60.0,495000.0,4.95,9.6958,0.103137,584.235159,2.456574,533.182124,,946.18563,748.765753,gas
333.15,60.0,500000.0,5.0,9.798089,0.102061,584.152775,2.454787,533.122417,,946.92424,749.075041,gas
333.15,60.0,505000.0,5.05,9.900472,0.101005,584.070338,2.453015,533.062669,,947.664213,749.384583,gas
333.15,60.0,510000.0,5.1,10.002948,0.099971,583.987847,2.45126,533.00288,,948.405553,749.694379,gas
333.15,60.0,515000.0,5.15,10.105518,0.098956,583.905304,2.449519,532.943048,,949.148266,750.004429,gas
333.15,60.0,520000.0,5.2,10.208182,0.097961,583.822706,2.447794,532.883176,,949.892355,750.314735,gas
333.15,60.0,525000.0,5.25,10.31094,0.096984,583.740055,2.446083,532.823261,,950.637825,750.625296,gas
333.15,60.0,530000.0,5.3,10.413792,0.096027,583.657351,2.444386,532.763304,,951.384682,750.936114,gas
333.15,60.0,535000.0,5.35,10.516738,0.095087,583.574593,2.442704,532.703306,,952.132929,751.247189,gas
333.15,60.0,540000.0,5.4,10.619779,0.094164,583.491781,2.441035,532.643265,,952.882572,751.558522,gas
333.15,60.0,545000.0,5.45,10.722915,0.093258,583.408914,2.43938,532.583182,,953.633615,751.870113,gas
333.15,60.0,550000.0,5.5,10.826146,0.092369,583.325994,2.437738,532.523057,,954.386063,752.181964,gas
333.15,60.0,555000.0,5.55,10.929472,0.091496,583.24302,2.436109,532.46289,,955.139921,752.494074,gas
333.15,60.0,560000.0,5.6,11.032893,0.090638,583.159991,2.434493,532.40268,,955.895194,752.806445,gas
333.15,60.0,565000.0,5.65,11.136411,0.089796,583.076908,2.43289,532.342428,,956.651886,753.119077,gas
333.15,60.0,570000.0,5.7,11.240024,0.088968,582.99377,2.431299,532.282133,,957.410003,753.43197,gas
333.15,60.0,575000.0,5.75,11.343733,0.088154,582.910578,2.42972,532.221796,,958.16955,753.745126,gas
333.15,60.0,580000.0,5.8,11.447538,0.087355,582.827331,2.428153,532.161415,,958.93053,754.058546,gas
333.15,60.0,585000.0,5.85,11.55144,0.086569,582.744028,2.426598,532.100992,,959.69295,754.372229,gas
333.15,60.0,590000.0,5.9,11.655439,0.085797,582.660671,2.425054,532.040526,,960.456814,754.686176,gas
333.15,60.0,595000.0,5.95,11.759534,0.085037,582.577259,2.423522,531.980017,,961.222128,755.000389,gas
333.15,60.0,600000.0,6.0,11.863727,0.084291,582.493792,2.422001,531.919464,,961.988895,755.314868,gas
333.15,60.0,605000.0,6.05,11.968017,0.083556,582.410269,2.42049,531.858869,,962.757122,755.629613,gas
333.15,60.0,610000.0,6.1,12.072404,0.082834,582.326691,2.418991,531.79823,,963.526814,755.944626,gas
333.15,60.0,615000.0,6.15,12.176889,0.082123,582.243057,2.417502,531.737548,,964.297974,756.259906,gas
333.15,60.0,620000.0,6.2,12.281473,0.081423,582.159367,2.416024,531.676822,,965.07061,756.575455,gas
333.15,60.0,625000.0,6.25,12.386154,0.080735,582.075622,2.414555,531.616052,,965.844725,756.891274,gas
333.15,60.0,630000.0,6.3,12.490934,0.080058,581.991821,2.413097,531.555239,,966.620325,757.207362,gas
333.15,60.0,635000.0,6.35,12.595812,0.079391,581.907963,2.411649,531.494382,,967.397416,757.523721,gas
333.15,60.0,640000.0,6.4,12.70079,0.078735,581.82405,2.410211,531.433482,,968.176001,757.840352,gas
333.15,60.0,645000.0,6.45,12.805866,0.078089,581.74008,2.408782,531.372537,,968.956088,758.157255,gas
333.15,60.0,650000.0,6.5,12.911041,0.077453,581.656054,2.407362,531.311548,,969.73768,758.474431,gas
333.15,60.0,655000.0,6.55,13.016317,0.076827,581.571971,2.405952,531.250515,,970.520783,758.791881,gas
333.15,60.0,660000.0,6.6,13.121691,0.07621,581.487832,2.404551,531.189438,,971.305403,759.109605,gas
333.15,60.0,665000.0,6.65,13.227166,0.075602,581.403636,2.403159,531.128317,,972.091545,759.427604,gas
333.15,60.0,670000.0,6.7,13.332741,0.075003,581.319382,2.401776,531.067151,,972.879214,759.745878,gas
333.15,60.0,675000.0,6.75,13.438417,0.074414,581.235072,2.400402,531.00594,,973.668416,760.06443,gas
333.15,60.0,680000.0,6.8,13.544192,0.073832,581.150705,2.399036,530.944685,,974.459156,760.383258,gas
