T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
203.15,-70.0,3500000.0,35.0,1413.062277,0.000708,102.639761,0.580679,100.162871,,1344.421723,856.30622,liquid
204.15,-69.0,3500000.0,35.0,1410.115341,0.000709,103.984403,0.587282,101.502337,,1344.868526,855.962304,liquid
205.15,-68.0,3500000.0,35.0,1407.163127,0.000711,105.329509,0.593855,102.842236,,1345.348849,855.644534,liquid
206.15,-67.0,3500000.0,35.0,1404.205522,0.000712,106.675112,0.600398,104.1826,,1345.863063,855.352523,liquid
207.15,-66.0,3500000.0,35.0,1401.242408,0.000714,108.021247,0.606912,105.523464,,1346.411541,855.085895,liquid
208.15,-65.0,3500000.0,35.0,1398.273664,0.000715,109.367947,0.613397,106.864861,,1346.994658,854.844283,liquid
209.15,-64.0,3500000.0,35.0,1395.299164,0.000717,110.715248,0.619855,108.206825,,1347.612791,854.627332,liquid
210.15,-63.0,3500000.0,35.0,1392.31878,0.000718,112.063184,0.626284,109.549392,,1348.26632,854.434695,liquid
211.15,-62.0,3500000.0,35.0,1389.332381,0.00072,113.411792,0.632686,110.892597,,1348.955628,854.266034,liquid
212.15,-61.0,3500000.0,35.0,1386.33983,0.000721,114.761108,0.639061,112.236474,,1349.681104,854.12102,liquid
213.15,-60.0,3500000.0,35.0,1383.340987,0.000723,116.111167,0.64541,113.58106,,1350.443138,853.999334,liquid
214.15,-59.0,3500000.0,35.0,1380.33571,0.000724,117.462006,0.651733,114.926391,,1351.242127,853.900665,liquid
215.15,-58.0,3500000.0,35.0,1377.323851,0.000726,118.813664,0.65803,116.272504,,1352.078474,853.824709,liquid
216.15,-57.0,3500000.0,35.0,1374.305259,0.000728,120.166176,0.664302,117.619435,,1352.952587,853.771173,liquid
217.15,-56.0,3500000.0,35.0,1371.279779,0.000729,121.519581,0.670549,118.967221,,1353.86488,853.739769,liquid
218.15,-55.0,3500000.0,35.0,1368.247252,0.000731,122.873919,0.676771,120.315901,,1354.815775,853.730219,liquid
219.15,-54.0,3500000.0,35.0,1365.207516,0.000732,124.229226,0.68297,121.665513,,1355.805702,853.742251,liquid
220.15,-53.0,3500000.0,35.0,1362.160402,0.000734,125.585543,0.689145,123.016095,,1356.835096,853.775602,liquid
221.15,-52.0,3500000.0,35.0,1359.105741,0.000736,126.94291,0.695296,124.367687,,1357.904406,853.830015,liquid
222.15,-51.0,3500000.0,35.0,1356.043355,0.000737,128.301365,0.701425,125.720327,,1359.014087,853.905242,liquid
223.15,-50.0,3500000.0,35.0,1352.973066,0.000739,129.660951,0.707532,127.074056,,1360.164605,854.00104,liquid
224.15,-49.0,3500000.0,35.0,1349.894688,0.000741,131.021708,0.713616,128.428913,,1361.356436,854.117174,liquid
225.15,-48.0,3500000.0,35.0,1346.808033,0.000742,132.383678,0.719679,129.784941,,1362.590068,854.253416,liquid
226.15,-47.0,3500000.0,35.0,1343.712908,0.000744,133.746903,0.72572,131.14218,,1363.866003,854.409545,liquid
227.15,-46.0,3500000.0,35.0,1340.609113,0.000746,135.111424,0.73174,132.500671,,1365.184752,854.585347,liquid
228.15,-45.0,3500000.0,35.0,1337.496447,0.000748,136.477287,0.73774,133.860457,,1366.546845,854.780613,liquid
229.15,-44.0,3500000.0,35.0,1334.3747,0.000749,137.844533,0.74372,135.221581,,1367.95282,854.995142,liquid
230.15,-43.0,3500000.0,35.0,1331.24366,0.000751,139.213207,0.74968,136.584086,,1369.403237,855.228739,liquid
231.15,-42.0,3500000.0,35.0,1328.103108,0.000753,140.583354,0.75562,137.948017,,1370.898667,855.481215,liquid
232.15,-41.0,3500000.0,35.0,1324.95282,0.000755,141.95502,0.761541,139.313416,,1372.439701,855.75239,liquid
233.15,-40.0,3500000.0,35.0,1321.792567,0.000757,143.328249,0.767444,140.68033,,1374.026947,856.042088,liquid
234.15,-39.0,3500000.0,35.0,1318.622113,0.000758,144.703089,0.773328,142.048803,,1375.661033,856.350139,liquid
235.15,-38.0,3500000.0,35.0,1315.441219,0.00076,146.079587,0.779194,143.418883,,1377.342605,856.676381,liquid
236.15,-37.0,3500000.0,35.0,1312.249638,0.000762,147.45779,0.785043,144.790615,,1379.072333,857.020658,liquid
237.15,-36.0,3500000.0,35.0,1309.047115,0.000764,148.837748,0.790874,146.164047,,1380.850906,857.38282,liquid
238.15,-35.0,3500000.0,35.0,1305.833393,0.000766,150.219509,0.796688,147.539228,,1382.67904,857.762724,liquid
239.15,-34.0,3500000.0,35.0,1302.608205,0.000768,151.603123,0.802486,148.916206,,1384.557473,858.160233,liquid
240.15,-33.0,3500000.0,35.0,1299.371278,0.00077,152.988641,0.808267,150.29503,,1386.48697,858.575217,liquid
241.15,-32.0,3500000.0,35.0,1296.122332,0.000772,154.376114,0.814033,151.675752,,1388.468324,859.007552,liquid
242.15,-31.0,3500000.0,35.0,1292.861082,0.000773,155.765595,0.819783,153.058421,,1390.502356,859.457122,liquid
243.15,-30.0,3500000.0,35.0,1289.587232,0.000775,157.157136,0.825518,154.44309,,1392.589917,859.923816,liquid
244.15,-29.0,3500000.0,35.0,1286.30048,0.000777,158.550793,0.831238,155.829811,,1394.731892,860.407531,liquid
245.15,-28.0,3500000.0,35.0,1283.000517,0.000779,159.946619,0.836943,157.218638,,1396.929197,860.908171,liquid
246.15,-27.0,3500000.0,35.0,1279.687024,0.000781,161.34467,0.842634,158.609626,,1399.182785,861.425646,liquid
247.15,-26.0,3500000.0,35.0,1276.359673,0.000783,162.745003,0.848312,160.00283,,1401.493648,861.959875,liquid
248.15,-25.0,3500000.0,35.0,1273.01813,0.000786,164.147677,0.853976,161.398305,,1403.862813,862.510784,liquid
249.15,-24.0,3500000.0,35.0,1269.66205,0.000788,165.552749,0.859626,162.79611,,1406.291354,863.078306,liquid
250.15,-23.0,3500000.0,35.0,1266.291076,0.00079,166.96028,0.865264,164.196302,,1408.780385,863.66238,liquid
251.15,-22.0,3500000.0,35.0,1262.904846,0.000792,168.37033,0.87089,165.598942,,1411.331068,864.262957,liquid
252.15,-21.0,3500000.0,35.0,1259.502984,0.000794,169.782963,0.876503,167.004089,,1413.944614,864.879994,liquid
253.15,-20.0,3500000.0,35.0,1256.085105,0.000796,171.198241,0.882105,168.411805,,1416.622284,865.513456,liquid
254.15,-19.0,3500000.0,35.0,1252.650811,0.000798,172.616229,0.887696,169.822154,,1419.365395,866.163318,liquid
255.15,-18.0,3500000.0,35.0,1249.199695,0.000801,174.036994,0.893275,171.2352,,1422.175322,866.829563,liquid
256.15,-17.0,3500000.0,35.0,1245.731335,0.000803,175.460602,0.898843,172.651008,,1425.053501,867.512185,liquid
257.15,-16.0,3500000.0,35.0,1242.245298,0.000805,176.887124,0.904402,174.069645,,1428.001431,868.211185,liquid
258.15,-15.0,3500000.0,35.0,1238.741138,0.000807,178.316629,0.90995,175.49118,,1431.020682,868.926576,liquid
259.15,-14.0,3500000.0,35.0,1235.218395,0.00081,179.74919,0.915488,176.915683,,1434.112895,869.658383,liquid
260.15,-13.0,3500000.0,35.0,1231.676593,0.000812,181.18488,0.921018,178.343225,,1437.279787,870.406638,liquid
261.15,-12.0,3500000.0,35.0,1228.115244,0.000814,182.623775,0.926538,179.773879,,1440.52316,871.171389,liquid
262.15,-11.0,3500000.0,35.0,1224.533841,0.000817,184.065952,0.93205,181.207722,,1443.8449,871.952692,liquid
263.15,-10.0,3500000.0,35.0,1220.931862,0.000819,185.511491,0.937554,182.644828,,1447.246987,872.750618,liquid
264.15,-9.0,3500000.0,35.0,1217.308769,0.000821,186.960474,0.94305,184.085279,,1450.731498,873.565252,liquid
265.15,-8.0,3500000.0,35.0,1213.664003,0.000824,188.412983,0.948538,185.529153,,1454.300615,874.396689,liquid
266.15,-7.0,3500000.0,35.0,1209.996989,0.000826,189.869104,0.954019,186.976535,,1457.956631,875.245041,liquid
267.15,-6.0,3500000.0,35.0,1206.307129,0.000829,191.328926,0.959494,188.427509,,1461.701961,876.110437,liquid
268.15,-5.0,3500000.0,35.0,1202.593807,0.000832,192.792538,0.964962,189.882162,,1465.539142,876.99302,liquid
