T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
203.15,-70.0,35516.329097,0.355163,200.0,0.005,103.168698,0.595379,102.991117,0.006705,4819758.130331,23079512.870423,twophase
204.15,-69.0,37789.664874,0.377897,200.0,0.005,104.630107,0.602499,104.441158,0.007104,4264545.60696,20420764.11033,twophase
205.15,-68.0,40179.977556,0.4018,200.0,0.005,106.096884,0.609608,105.895985,0.007522,3775615.674676,18079391.10524,twophase
206.15,-67.0,42691.675687,0.426917,200.0,0.005,107.569203,0.616706,107.355745,0.007959,3344783.723875,16016209.427062,twophase
207.15,-66.0,45329.262383,0.453293,200.0,0.005,109.047237,0.623795,108.820591,0.008417,2964908.786144,14197030.589753,twophase
208.15,-65.0,48097.335084,0.480973,200.0,0.005,110.531161,0.630874,110.290674,0.008895,2629756.302232,12592005.175984,twophase
209.15,-64.0,51000.585263,0.510006,200.0,0.005,112.021151,0.637946,111.766148,0.009395,2333879.475204,11175054.916846,twophase
210.15,-63.0,54043.798093,0.540438,200.0,0.005,113.517385,0.64501,113.247166,0.009916,2072516.61944,9923381.332163,twophase
211.15,-62.0,57231.852078,0.572319,200.0,0.005,115.020042,0.652068,114.733883,0.010461,1841502.286879,8817040.313218,twophase
212.15,-61.0,60569.718638,0.605697,200.0,0.005,116.529304,0.65912,116.226456,0.011029,1637190.268145,7838573.54312,twophase
213.15,-60.0,64062.461658,0.640625,200.0,0.005,118.045352,0.666167,117.72504,0.011621,1456386.836145,6972688.942004,twophase
214.15,-59.0,67715.237007,0.677152,200.0,0.005,119.56837,0.67321,119.229793,0.012239,1296292.830367,6205983.428018,twophase
215.15,-58.0,71533.292017,0.715333,200.0,0.005,121.098541,0.68025,120.740874,0.012882,1154453.377264,5526702.228649,twophase
216.15,-57.0,75521.964939,0.75522,200.0,0.005,122.63605,0.687287,122.258441,0.013551,1028714.210828,4924529.784344,twophase
217.15,-56.0,79686.68436,0.796867,200.0,0.005,124.181086,0.694323,123.782653,0.014248,917183.701864,4390407.977633,twophase
218.15,-55.0,84032.968605,0.84033,200.0,0.005,125.733835,0.701357,125.31367,0.014974,818199.828273,3916378.013274,twophase
219.15,-54.0,88566.425099,0.885664,200.0,0.005,127.294486,0.708391,126.851654,0.015728,730301.424743,3495442.782836,twophase
220.15,-53.0,93292.749726,0.932927,200.0,0.005,128.863228,0.715425,128.396764,0.016512,652203.141309,3121446.982915,twophase
221.15,-52.0,98217.726151,0.982177,200.0,0.005,130.440253,0.722461,129.949164,0.017326,582773.618446,2788972.630398,twophase
222.15,-51.0,103347.225128,1.033472,200.0,0.005,132.025751,0.729498,131.509015,0.018172,521016.453517,2493247.939738,twophase
223.15,-50.0,108687.203798,1.086872,200.0,0.005,133.619915,0.736538,133.076479,0.01905,466053.591185,2230067.803695,twophase
224.15,-49.0,114243.704961,1.142437,200.0,0.005,135.222939,0.743582,134.65172,0.019962,417110.820113,1995724.35693,twophase
225.15,-48.0,120022.856351,1.200229,200.0,0.005,136.835016,0.750629,136.234902,0.020907,373505.101048,1786946.306666,twophase
226.15,-47.0,126030.86988,1.260309,200.0,0.005,138.456341,0.757681,137.826187,0.021888,334633.488308,1600845.891185,twophase
227.15,-46.0,132274.040901,1.32274,200.0,0.005,140.08711,0.764738,139.425739,0.022905,299963.438445,1434872.479103,twophase
228.15,-45.0,138758.747432,1.387587,200.0,0.005,141.727519,0.771802,141.033725,0.023959,269024.327331,1286771.953676,twophase
229.15,-44.0,145491.449411,1.454914,200.0,0.005,143.377765,0.778872,142.650307,0.02505,241400.020563,1154551.139785,twophase
230.15,-43.0,152478.687913,1.524787,200.0,0.005,145.038046,0.785949,144.275652,0.026181,216722.362582,1036446.629165,twophase
231.15,-42.0,159727.084398,1.597271,200.0,0.005,146.70856,0.793035,145.909924,0.027352,194665.467563,930897.444135,twophase
232.15,-41.0,167243.339939,1.672433,200.0,0.005,148.389506,0.800129,147.55329,0.028563,174940.710454,836521.053328,twophase
233.15,-40.0,175034.234462,1.750342,200.0,0.005,150.081085,0.807232,149.205914,0.029817,157292.329767,752092.316308,twophase
234.15,-39.0,183106.625988,1.831066,200.0,0.005,151.783497,0.814346,150.867964,0.031114,141493.565224,676524.9889,twophase
235.15,-38.0,191467.449888,1.914674,200.0,0.005,153.496942,0.82147,152.539605,0.032455,127343.263277,608855.468621,twophase
236.15,-37.0,200123.718136,2.001237,200.0,0.005,155.221622,0.828605,154.221004,0.033841,114662.892162,548228.500899,twophase
237.15,-36.0,209082.518579,2.090825,200.0,0.005,156.95774,0.835752,155.912328,0.035274,103293.915614,493884.602574,twophase
238.15,-35.0,218351.01422,2.18351,200.0,0.005,158.705498,0.842911,157.613743,0.036755,93095.480881,445148.990262,twophase
239.15,-34.0,227936.44251,2.279364,200.0,0.005,160.465101,0.850084,159.325418,0.038285,83942.382314,401421.828202,twophase
240.15,-33.0,237846.114658,2.378461,200.0,0.005,162.236751,0.85727,161.04752,0.039864,75723.266708,362169.633677,twophase
241.15,-32.0,248087.414955,2.480874,200.0,0.005,164.020653,0.86447,162.780216,0.041495,68339.050843,326917.69853,twophase
242.15,-31.0,258667.800123,2.586678,200.0,0.005,165.817014,0.871684,164.523675,0.043179,61701.525403,295243.403099,twophase
243.15,-30.0,269594.798676,2.695948,200.0,0.005,167.626039,0.878914,166.278065,0.044917,55732.122655,266770.314349,twophase
244.15,-29.0,280876.010304,2.80876,200.0,0.005,169.447934,0.88616,168.043554,0.04671,50360.828117,241162.973497,twophase
245.15,-28.0,292519.105286,2.925191,200.0,0.005,171.282908,0.893423,169.820312,0.048559,45525.218884,218122.29019,twophase
246.15,-27.0,304531.823921,3.045318,200.0,0.005,173.131167,0.900702,171.608507,0.050467,41169.613438,197381.470533,twophase
247.15,-26.0,316921.975987,3.16922,200.0,0.005,174.99292,0.907999,173.40831,0.052434,37244.319624,178702.415271,twophase
248.15,-25.0,329697.440229,3.296974,200.0,0.005,176.868376,0.915314,175.219889,0.054463,33704.969123,161872.532191,twophase
249.15,-24.0,342866.163873,3.428662,200.0,0.005,178.757747,0.922648,177.043416,0.056554,30511.928175,146701.913714,twophase
250.15,-23.0,356436.162175,3.564362,200.0,0.005,180.661241,0.930001,178.879061,0.058708,27629.775542,133020.836563,twophase
251.15,-22.0,370415.517996,3.704155,200.0,0.005,182.579072,0.937374,180.726994,0.060929,25026.839828,120677.54567,twophase
252.15,-21.0,384812.381417,3.848124,200.0,0.005,184.51145,0.944766,182.587388,0.063217,22674.789172,109536.289032,twophase
253.15,-20.0,399634.969385,3.99635,200.0,0.005,186.45859,0.95218,184.460415,0.065573,20548.267235,99475.574248,twophase
254.15,-19.0,414891.565397,4.148916,200.0,0.005,188.420704,0.959615,186.346247,0.068001,18624.570077,90386.620984,twophase
255.15,-18.0,430590.51922,4.305905,200.0,0.005,190.398009,0.967071,188.245057,0.070501,16883.359192,82171.986675,twophase
256.15,-17.0,446740.246655,4.467402,200.0,0.005,192.39072,0.97455,190.157019,0.073075,15306.406543,74744.345498,twophase
257.15,-16.0,463349.229343,4.633492,200.0,0.005,194.399053,0.982052,192.082307,0.075725,13877.367887,68025.402999,twophase
258.15,-15.0,480426.014605,4.80426,200.0,0.005,196.423226,0.989576,194.021096,0.078453,12581.58119,61944.930857,twophase
259.15,-14.0,497979.21534,4.979792,200.0,0.005,198.463459,0.997125,195.973563,0.081262,11405.887226,56439.908073,twophase
260.15,-13.0,516017.50996,5.160175,200.0,0.005,200.519971,1.004698,197.939883,0.084153,10338.469867,51453.756505,twophase
261.15,-12.0,534549.642382,5.345496,200.0,0.005,202.592983,1.012296,199.920234,0.087128,9368.713814,46935.660069,twophase
262.15,-11.0,553584.422061,5.535844,200.0,0.005,204.682717,1.019919,201.914795,0.090189,8487.07781,42839.958168,twophase
263.15,-10.0,573130.724086,5.731307,200.0,0.005,206.789398,1.027568,203.923745,0.093339,7684.981577,39125.605011,twophase
264.15,-9.0,593197.489324,5.931975,200.0,0.005,208.91325,1.035243,205.947263,0.09658,6954.70495,35755.687448,twophase
265.15,-8.0,613793.724626,6.137937,200.0,0.005,211.0545,1.042944,207.985532,0.099915,6289.297832,32696.994798,twophase
266.15,-7.0,634928.503089,6.349285,200.0,0.005,213.213376,1.050673,210.038733,0.103345,5682.499774,29919.634884,twophase
267.15,-6.0,656610.964424,6.56611,200.0,0.005,215.390106,1.05843,212.107051,0.106874,5128.668088,27396.691174,twophase
268.15,-5.0,678850.315153,6.788503,200.0,0.005,217.584923,1.066215,214.190672,0.110504,4622.713565,25103.916471,twophase
269.15,-4.0,701655.829457,7.016558,200.0,0.005,219.798059,1.074028,216.28978,0.114239,4160.042946,23019.459167,twophase
270.15,-3.0,725036.849319,7.250368,200.0,0.005,222.029749,1.081871,218.404565,0.11808,3736.507391,21123.618462,twophase
271.15,-2.0,749002.785327,7.490028,200.0,0.005,224.280229,1.089743,220.535215,0.122031,3348.356292,19398.625408,twophase
272.15,-1.0,773563.117321,7.735631,200.0,0.005,226.549739,1.097646,222.681923,0.126094,2992.195835,17828.44697,twophase
273.15,0.0,798727.395155,7.987274,200.0,0.005,228.838519,1.105579,224.844882,0.130274,2664.951773,16398.610593,twophase
274.15,1.0,824505.239557,8.245052,200.0,0.005,231.146812,1.113543,227.024285,0.134574,2363.835958,15096.047088,twophase
275.15,2.0,850906.343073,8.509063,200.0,0.005,233.474864,1.121539,229.220332,0.138996,2086.316193,13908.94984,twophase
276.15,3.0,877940.471104,8.779405,200.0,0.005,235.822922,1.129567,231.43322,0.143545,1830.089038,12826.64861,twophase
277.15,4.0,905617.463052,9.056175,200.0,0.005,238.191239,1.137627,233.663151,0.148225,1593.055219,11839.496356,twophase
278.15,5.0,933947.23355,9.339472,200.0,0.005,240.580066,1.145721,235.91033,0.153039,1373.29735,10938.767702,twophase
