T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
268.15,-5.0,50000.0,0.5,1.643644,0.608404,436.886582,2.16807,406.466362,,774.366922,653.410967,gas
268.15,-5.0,55000.0,0.55,1.809783,0.552552,436.772008,2.156835,406.381631,,775.814609,654.19032,gas
268.15,-5.0,60000.0,0.6,1.976253,0.506008,436.657183,2.14655,406.2967,,777.272132,654.9743,gas
268.15,-5.0,65000.0,0.65,2.143055,0.466624,436.542105,2.137063,406.211568,,778.739578,655.762937,gas
268.15,-5.0,70000.0,0.7,2.31019,0.432865,436.426774,2.128255,406.126234,,780.217033,656.55626,gas
268.15,-5.0,75000.0,0.75,2.477661,0.403607,436.311186,2.120031,406.040696,,781.704587,657.354302,gas
268.15,-5.0,80000.0,0.8,2.645469,0.378005,436.195342,2.112317,405.954954,,783.202329,658.157092,gas
268.15,-5.0,85000.0,0.85,2.813616,0.355415,436.07924,2.105051,405.869006,,784.710352,658.964664,gas
268.15,-5.0,90000.0,0.9,2.982105,0.335334,435.962878,2.098181,405.782851,,786.228747,659.77705,gas
268.15,-5.0,95000.0,0.95,3.150937,0.317366,435.846254,2.091664,405.696488,,787.757612,660.594284,gas
268.15,-5.0,100000.0,1.0,3.320114,0.301195,435.729367,2.085463,405.609915,,789.297041,661.416398,gas
268.15,-5.0,105000.0,1.05,3.489638,0.286563,435.612215,2.079549,405.523132,,790.847133,662.243428,gas
268.15,-5.0,110000.0,1.1,3.659511,0.273261,435.494797,2.073894,405.436136,,792.407989,663.075409,gas
268.15,-5.0,115000.0,1.15,3.829735,0.261115,435.377112,2.068474,405.348928,,793.979709,663.912376,gas
268.15,-5.0,120000.0,1.2,4.000313,0.24998,435.259156,2.063271,405.261504,,795.562398,664.754367,gas
268.15,-5.0,125000.0,1.25,4.171246,0.239737,435.14093,2.058266,405.173865,,797.15616,665.601418,gas
268.15,-5.0,130000.0,1.3,4.342536,0.23028,435.022431,2.053443,405.086008,,798.761102,666.453567,gas
268.15,-5.0,135000.0,1.35,4.514186,0.221524,434.903658,2.048789,404.997933,,800.377333,667.310853,gas
268.15,-5.0,140000.0,1.4,4.686197,0.213393,434.784608,2.044291,404.909638,,802.004965,668.173316,gas
268.15,-5.0,145000.0,1.45,4.858572,0.205822,434.66528,2.039938,404.821121,,803.64411,669.040994,gas
268.15,-5.0,150000.0,1.5,5.031313,0.198755,434.545673,2.035721,404.732382,,805.294882,669.91393,gas
268.15,-5.0,155000.0,1.55,5.204422,0.192144,434.425784,2.03163,404.643418,,806.957399,670.792164,gas
268.15,-5.0,160000.0,1.6,5.377901,0.185946,434.305612,2.027658,404.554228,,808.63178,671.675739,gas
268.15,-5.0,165000.0,1.65,5.551753,0.180123,434.185155,2.023796,404.464812,,810.318145,672.564698,gas
268.15,-5.0,170000.0,1.7,5.725979,0.174643,434.06441,2.020039,404.375166,,812.016617,673.459085,gas
268.15,-5.0,175000.0,1.75,5.900583,0.169475,433.943377,2.01638,404.285291,,813.727323,674.358944,gas
268.15,-5.0,180000.0,1.8,6.075566,0.164594,433.822054,2.012813,404.195184,,815.450388,675.264322,gas
268.15,-5.0,185000.0,1.85,6.25093,0.159976,433.700437,2.009334,404.104843,,817.185944,676.175264,gas
268.15,-5.0,190000.0,1.9,6.426679,0.155601,433.578526,2.005937,404.014268,,818.934123,677.091817,gas
268.15,-5.0,195000.0,1.95,6.602814,0.151451,433.456319,2.002619,403.923456,,820.695059,678.01403,gas
268.15,-5.0,200000.0,2.0,6.779338,0.147507,433.333812,1.999376,403.832407,,822.468888,678.941952,gas
268.15,-5.0,205000.0,2.05,6.956253,0.143756,433.211006,1.996202,403.741118,,824.255752,679.875633,gas
268.15,-5.0,210000.0,2.1,7.133562,0.140182,433.087896,1.993096,403.649587,,826.055791,680.815123,gas
268.15,-5.0,215000.0,2.15,7.311267,0.136775,432.964482,1.990054,403.557814,,827.86915,681.760474,gas
268.15,-5.0,220000.0,2.2,7.489371,0.133523,432.840761,1.987073,403.465796,,829.695977,682.711739,gas
268.15,-5.0,225000.0,2.25,7.667875,0.130414,432.716731,1.98415,403.373531,,831.536422,683.668971,gas
268.15,-5.0,230000.0,2.3,7.846784,0.127441,432.59239,1.981283,403.281019,,833.390637,684.632226,gas
268.15,-5.0,235000.0,2.35,8.026099,0.124594,432.467736,1.978468,403.188256,,835.258778,685.601558,gas
268.15,-5.0,240000.0,2.4,8.205823,0.121865,432.342766,1.975704,403.095242,,837.141003,686.577024,gas
268.15,-5.0,245000.0,2.45,8.385959,0.119247,432.217478,1.972989,403.001975,,839.037474,687.558683,gas
268.15,-5.0,250000.0,2.5,8.566509,0.116734,432.09187,1.970321,402.908452,,840.948355,688.546592,gas
268.15,-5.0,255000.0,2.55,8.747475,0.114319,431.96594,1.967698,402.814672,,842.873813,689.540812,gas
268.15,-5.0,260000.0,2.6,8.928862,0.111996,431.839685,1.965117,402.720634,,844.81402,690.541404,gas
268.15,-5.0,265000.0,2.65,9.110671,0.109761,431.713104,1.962577,402.626334,,846.769149,691.54843,gas
268.15,-5.0,270000.0,2.7,9.292906,0.107609,431.586192,1.960078,402.531771,,848.739377,692.561952,gas
268.15,-5.0,275000.0,2.75,9.475569,0.105535,431.458949,1.957616,402.436943,,850.724884,693.582036,gas
268.15,-5.0,280000.0,2.8,9.658662,0.103534,431.331371,1.955191,402.341849,,852.725855,694.608746,gas
268.15,-5.0,285000.0,2.85,9.84219,0.101603,431.203456,1.952802,402.246486,,854.742477,695.64215,gas
268.15,-5.0,290000.0,2.9,10.026154,0.099739,431.075202,1.950447,402.150852,,856.77494,696.682316,gas
268.15,-5.0,295000.0,2.95,10.210558,0.097938,430.946606,1.948124,402.054944,,858.823439,697.729312,gas
268.15,-5.0,300000.0,3.0,10.395405,0.096196,430.817665,1.945833,401.958762,,860.888174,698.78321,gas
268.15,-5.0,305000.0,3.05,10.580698,0.094512,430.688377,1.943573,401.862303,,862.969345,699.844081,gas
268.15,-5.0,310000.0,3.1,10.76644,0.092881,430.558739,1.941343,401.765564,,865.067159,700.911999,gas
268.15,-5.0,315000.0,3.15,10.952634,0.091302,430.428748,1.939141,401.668543,,867.181826,701.987037,gas
268.15,-5.0,320000.0,3.2,11.139283,0.089772,430.298402,1.936967,401.571239,,869.313561,703.069273,gas
268.15,-5.0,325000.0,3.25,11.32639,0.088289,430.167697,1.934819,401.473648,,871.462581,704.158782,gas
268.15,-5.0,330000.0,3.3,11.513959,0.086851,430.036632,1.932698,401.375769,,873.62911,705.255644,gas
268.15,-5.0,335000.0,3.35,11.701993,0.085456,429.905202,1.930601,401.277599,,875.813375,706.35994,gas
268.15,-5.0,340000.0,3.4,11.890495,0.084101,429.773405,1.928529,401.179137,,878.015607,707.47175,gas
268.15,-5.0,345000.0,3.45,12.079468,0.082785,429.641238,1.92648,401.080378,,880.236042,708.591158,gas
268.15,-5.0,350000.0,3.5,12.268916,0.081507,429.508699,1.924454,400.981322,,882.474922,709.71825,gas
268.15,-5.0,355000.0,3.55,12.458843,0.080264,429.375783,1.922451,400.881965,,884.732492,710.85311,gas
268.15,-5.0,360000.0,3.6,12.649251,0.079056,429.242489,1.920468,400.782306,,887.009003,711.995827,gas
268.15,-5.0,365000.0,3.65,12.840145,0.077881,429.108812,1.918507,400.68234,,889.30471,713.146492,gas
268.15,-5.0,370000.0,3.7,13.031527,0.076737,428.974749,1.916565,400.582067,,891.619875,714.305194,gas
268.15,-5.0,375000.0,3.75,13.223402,0.075624,428.840298,1.914643,400.481483,,893.954765,715.472028,gas
268.15,-5.0,380000.0,3.8,13.415773,0.074539,428.705455,1.91274,400.380586,,896.309649,716.647087,gas
268.15,-5.0,385000.0,3.85,13.608643,0.073483,428.570216,1.910856,400.279373,,898.684807,717.830469,gas
268.15,-5.0,390000.0,3.9,13.802018,0.072453,428.434579,1.90899,400.177841,,901.080521,719.022272,gas
268.15,-5.0,395000.0,3.95,13.995899,0.07145,428.29854,1.907141,400.075987,,903.497079,720.222597,gas
268.15,-5.0,400000.0,4.0,14.190292,0.070471,428.162094,1.905309,399.973809,,905.934778,721.431544,gas
268.15,-5.0,405000.0,4.05,14.3852,0.069516,428.02524,1.903493,399.871303,,908.393917,722.649219,gas
268.15,-5.0,410000.0,4.1,14.580626,0.068584,427.887973,1.901694,399.768467,,910.874805,723.875728,gas
268.15,-5.0,415000.0,4.15,14.776576,0.067675,427.750289,1.89991,399.665299,,913.377754,725.111179,gas
268.15,-5.0,420000.0,4.2,14.973053,0.066787,427.612185,1.898142,399.561793,,915.903086,726.355681,gas
268.15,-5.0,425000.0,4.25,15.170061,0.065919,427.473657,1.896388,399.457949,,918.451128,727.609347,gas
268.15,-5.0,430000.0,4.3,15.367605,0.065072,427.334701,1.894648,399.353762,,921.022214,728.872293,gas
268.15,-5.0,435000.0,4.35,15.565688,0.064244,427.195313,1.892923,399.24923,,923.616686,730.144633,gas
268.15,-5.0,440000.0,4.4,15.764314,0.063434,427.055489,1.891211,399.144349,,926.234891,731.426488,gas
268.15,-5.0,445000.0,4.45,15.96349,0.062643,426.915226,1.889513,399.039115,,928.877188,732.717978,gas
268.15,-5.0,450000.0,4.5,16.163217,0.061869,426.774519,1.887827,398.933527,,931.543939,734.019227,gas
268.15,-5.0,455000.0,4.55,16.363502,0.061112,426.633363,1.886154,398.82758,,934.235518,735.330361,gas
268.15,-5.0,460000.0,4.6,16.564348,0.060371,426.491756,1.884494,398.72127,,936.952303,736.651508,gas
268.15,-5.0,465000.0,4.65,16.765761,0.059645,426.349692,1.882845,398.614595,,939.694684,737.9828,gas
268.15,-5.0,470000.0,4.7,16.967744,0.058935,426.207167,1.881208,398.507551,,942.463058,739.324369,gas
268.15,-5.0,475000.0,4.75,17.170303,0.05824,426.064176,1.879582,398.400134,,945.257831,740.676352,gas
268.15,-5.0,480000.0,4.8,17.373443,0.057559,425.920716,1.877968,398.292341,,948.079418,742.038888,gas
268.15,-5.0,485000.0,4.85,17.577168,0.056892,425.776781,1.876364,398.184167,,950.928244,743.412119,gas
268.15,-5.0,490000.0,4.9,17.781482,0.056238,425.632367,1.874771,398.075609,,953.804743,744.796188,gas
268.15,-5.0,495000.0,4.95,17.986393,0.055598,425.487469,1.873188,397.966664,,956.709358,746.191242,gas
268.15,-5.0,500000.0,5.0,18.191903,0.05497,425.342082,1.871615,397.857327,,959.642545,747.597433,gas
268.15,-5.0,505000.0,5.05,18.398019,0.054354,425.196202,1.870051,397.747594,,962.604766,749.014912,gas
268.15,-5.0,510000.0,5.1,18.604745,0.05375,425.049823,1.868498,397.637462,,965.596499,750.443837,gas
268.15,-5.0,515000.0,5.15,18.812088,0.053157,424.902941,1.866953,397.526926,,968.618229,751.884367,gas
268.15,-5.0,520000.0,5.2,19.020052,0.052576,424.755549,1.865418,397.415982,,971.670453,753.336664,gas
268.15,-5.0,525000.0,5.25,19.228643,0.052006,424.607643,1.863891,397.304625,,974.753681,754.800894,gas
268.15,-5.0,530000.0,5.3,19.437867,0.051446,424.459218,1.862373,397.192852,,977.868435,756.277227,gas
268.15,-5.0,535000.0,5.35,19.647728,0.050896,424.310268,1.860864,397.080657,,981.015248,757.765834,gas
268.15,-5.0,540000.0,5.4,19.858234,0.050357,424.160788,1.859362,396.968037,,984.194666,759.266893,gas
268.15,-5.0,545000.0,5.45,20.069389,0.049827,424.010771,1.857869,396.854987,,987.40725,760.780584,gas
268.15,-5.0,550000.0,5.5,20.2812,0.049307,423.860213,1.856383,396.741502,,990.653572,762.307089,gas
268.15,-5.0,555000.0,5.55,20.493673,0.048796,423.709106,1.854905,396.627578,,993.934218,763.846596,gas
268.15,-5.0,560000.0,5.6,20.706814,0.048293,423.557447,1.853434,396.513209,,997.249792,765.399296,gas
268.15,-5.0,565000.0,5.65,20.920629,0.0478,423.405227,1.851971,396.398391,,1000.600908,766.965386,gas
268.15,-5.0,570000.0,5.7,21.135124,0.047315,423.252442,1.850514,396.283119,,1003.988197,768.545063,gas
268.15,-5.0,575000.0,5.75,21.350307,0.046838,423.099084,1.849064,396.167387,,1007.412308,770.138532,gas
268.15,-5.0,580000.0,5.8,21.566182,0.046369,422.945148,1.847621,396.05119,,1010.873902,771.746,gas
268.15,-5.0,585000.0,5.85,21.782758,0.045908,422.790627,1.846185,395.934524,,1014.37366,773.36768,gas
268.15,-5.0,590000.0,5.9,22.000041,0.045454,422.635514,1.844755,395.817382,,1017.912279,775.003788,gas
268.15,-5.0,595000.0,5.95,22.218038,0.045008,422.479802,1.84333,395.699759,,1021.490473,776.654546,gas
268.15,-5.0,600000.0,6.0,22.436755,0.04457,422.323485,1.841912,395.58165,,1025.108975,778.32018,gas
268.15,-5.0,605000.0,6.05,22.656201,0.044138,422.166556,1.8405,395.463049,,1028.768538,780.000921,gas
268.15,-5.0,610000.0,6.1,22.876381,0.043713,422.009007,1.839094,395.34395,,1032.469933,781.697005,gas
268.15,-5.0,615000.0,6.15,23.097304,0.043295,421.850831,1.837692,395.224347,,1036.213952,783.408674,gas
268.15,-5.0,620000.0,6.2,23.318978,0.042884,421.692021,1.836297,395.104234,,1040.001407,785.136172,gas
268.15,-5.0,625000.0,6.25,23.541409,0.042478,421.532568,1.834906,394.983605,,1043.833132,786.879753,gas
268.15,-5.0,630000.0,6.3,23.764605,0.042079,421.372467,1.833521,394.862453,,1047.709983,788.639675,gas
268.15,-5.0,635000.0,6.35,23.988575,0.041687,421.211707,1.83214,394.740773,,1051.632839,790.416199,gas
268.15,-5.0,640000.0,6.4,24.213327,0.0413,421.050282,1.830765,394.618557,,1055.602606,792.209597,gas
268.15,-5.0,645000.0,6.45,24.438869,0.040918,420.888182,1.829394,394.495799,,1059.620207,794.02014,gas
268.15,-5.0,650000.0,6.5,24.665209,0.040543,420.725401,1.828027,394.372492,,1063.686596,795.848112,gas
268.15,-5.0,655000.0,6.55,24.892355,0.040173,420.561929,1.826665,394.248629,,1067.802752,797.693799,gas
268.15,-5.0,660000.0,6.6,25.120317,0.039808,420.397757,1.825307,394.124203,,1071.969682,799.557497,gas
268.15,-5.0,665000.0,6.65,25.349104,0.039449,420.232876,1.823953,393.999207,,1076.188421,801.439505,gas
268.15,-5.0,670000.0,6.7,25.578723,0.039095,420.067278,1.822604,393.873633,,1080.460032,803.340131,gas
268.15,-5.0,675000.0,6.75,25.809186,0.038746,419.900953,1.821258,393.747474,,1084.785608,805.259692,gas
268.15,-5.0,680000.0,6.8,,,,,,,,,"unknown: Two-phase inputs not supported for pseudo-pure for now : PropsSI(""Phase"",""T"",268.15,""P"",680000,""R410A"")"
268.15,-5.0,685000.0,6.85,1189.604812,0.000841,192.467174,0.972525,191.891353,,1493.24928,880.628165,liquid
268.15,-5.0,690000.0,6.9,1189.629211,0.000841,192.467614,0.972511,191.887602,,1493.193794,880.620344,liquid
268.15,-5.0,695000.0,6.95,1189.653605,0.000841,192.468055,0.972497,191.883851,,1493.138334,880.612528,liquid
268.15,-5.0,700000.0,7.0,1189.677993,0.000841,192.468496,0.972483,191.880101,,1493.082899,880.604718,liquid
268.15,-5.0,705000.0,7.05,1189.702376,0.000841,192.468938,0.972469,191.876352,,1493.02749,880.596913,liquid
268.15,-5.0,710000.0,7.1,1189.726754,0.000841,192.46938,0.972455,191.872604,,1492.972106,880.589114,liquid
268.15,-5.0,715000.0,7.15,1189.751127,0.000841,192.469822,0.972441,191.868856,,1492.916748,880.58132,liquid
268.15,-5.0,720000.0,7.2,1189.775494,0.00084,192.470266,0.972427,191.865109,,1492.861415,880.573532,liquid
268.15,-5.0,725000.0,7.25,1189.799857,0.00084,192.470709,0.972413,191.861363,,1492.806108,880.56575,liquid
268.15,-5.0,730000.0,7.3,1189.824214,0.00084,192.471154,0.972399,191.857618,,1492.750826,880.557973,liquid
268.15,-5.0,735000.0,7.35,1189.848566,0.00084,192.471599,0.972385,191.853873,,1492.69557,880.550202,liquid
268.15,-5.0,740000.0,7.4,1189.872913,0.00084,192.472044,0.972371,191.850129,,1492.640339,880.542436,liquid
268.15,-5.0,745000.0,7.45,1189.897255,0.00084,192.47249,0.972357,191.846385,,1492.585134,880.534675,liquid
268.15,-5.0,750000.0,7.5,1189.921591,0.00084,192.472936,0.972343,191.842643,,1492.529954,880.52692,liquid
268.15,-5.0,755000.0,7.55,1189.945923,0.00084,192.473383,0.972329,191.838901,,1492.474799,880.519171,liquid
268.15,-5.0,760000.0,7.6,1189.970249,0.00084,192.473831,0.972315,191.835159,,1492.419669,880.511427,liquid
268.15,-5.0,765000.0,7.65,1189.99457,0.00084,192.474279,0.972301,191.831419,,1492.364565,880.503689,liquid
268.15,-5.0,770000.0,7.7,1190.018886,0.00084,192.474727,0.972287,191.827679,,1492.309486,880.495956,liquid
268.15,-5.0,775000.0,7.75,1190.043197,0.00084,192.475176,0.972273,191.82394,,1492.254433,880.488229,liquid
268.15,-5.0,780000.0,7.8,1190.067502,0.00084,192.475626,0.972259,191.820201,,1492.199404,880.480507,liquid
268.15,-5.0,785000.0,7.85,1190.091803,0.00084,192.476076,0.972245,191.816463,,1492.144401,880.472791,liquid
268.15,-5.0,790000.0,7.9,1190.116098,0.00084,192.476527,0.972231,191.812726,,1492.089423,880.46508,liquid
268.15,-5.0,795000.0,7.95,1190.140388,0.00084,192.476978,0.972217,191.80899,,1492.034471,880.457375,liquid
268.15,-5.0,800000.0,8.0,1190.164673,0.00084,192.47743,0.972203,191.805254,,1491.979543,880.449675,liquid
268.15,-5.0,805000.0,8.05,1190.188953,0.00084,192.477882,0.972189,191.801519,,1491.924641,880.44198,liquid
268.15,-5.0,810000.0,8.1,1190.213228,0.00084,192.478335,0.972175,191.797785,,1491.869763,880.434291,liquid
268.15,-5.0,815000.0,8.15,1190.237497,0.00084,192.478789,0.972161,191.794051,,1491.814911,880.426608,liquid
268.15,-5.0,820000.0,8.2,1190.261762,0.00084,192.479242,0.972147,191.790318,,1491.760084,880.41893,liquid
268.15,-5.0,825000.0,8.25,1190.286021,0.00084,192.479697,0.972133,191.786586,,1491.705282,880.411257,liquid
268.15,-5.0,830000.0,8.3,1190.310276,0.00084,192.480152,0.972119,191.782855,,1491.650505,880.40359,liquid
268.15,-5.0,835000.0,8.35,1190.334525,0.00084,192.480607,0.972105,191.779124,,1491.595753,880.395929,liquid
268.15,-5.0,840000.0,8.4,1190.358769,0.00084,192.481063,0.972091,191.775394,,1491.541026,880.388272,liquid
268.15,-5.0,845000.0,8.45,1190.383008,0.00084,192.48152,0.972077,191.771664,,1491.486324,880.380622,liquid
268.15,-5.0,850000.0,8.5,1190.407242,0.00084,192.481977,0.972063,191.767936,,1491.431647,880.372976,liquid
268.15,-5.0,855000.0,8.55,1190.43147,0.00084,192.482435,0.972049,191.764208,,1491.376995,880.365336,liquid
