T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
280.11957,6.96957,1000.0,0.01,0.009288,107.669279,2100.0,7.498117,1992.330721,0.833492,1905.588297,1436.366882,twophase
354.960934,81.810934,51000.0,0.51,0.412065,2.426802,2100.0,6.047966,1976.23311,0.762945,2074.426514,1555.585634,twophase
373.034313,99.884313,101000.0,1.01,0.799612,1.250607,2100.0,5.813055,1973.688719,0.745033,2180.280076,1625.392314,twophase
384.698898,111.548898,151000.0,1.51,1.183184,0.845177,2100.0,5.678235,1972.378249,0.733352,2287.113425,1695.967743,twophase
393.51783,120.36783,201000.0,2.01,1.565054,0.638955,2100.0,5.584107,1971.569958,0.724472,2397.560984,1768.846335,twophase
400.692977,127.542977,251000.0,2.51,1.946224,0.513815,2100.0,5.5121,1971.032327,0.717222,2511.631059,1843.777201,twophase
406.785932,133.635932,301000.0,3.01,2.327243,0.429693,2100.0,5.453984,1970.662423,0.71105,2628.855719,1920.241678,twophase
412.107386,138.957386,351000.0,3.51,2.708452,0.369215,2100.0,5.405388,1970.40568,0.705649,2748.7179,1997.736384,twophase
416.848383,143.698383,401000.0,4.01,3.090078,0.323616,2100.0,5.363718,1970.229808,0.70083,2870.754713,2075.832091,twophase
421.135305,147.985305,451000.0,4.51,3.472281,0.287995,2100.0,5.327306,1970.114187,0.696468,2994.577474,2154.178009,twophase
425.05636,151.90636,501000.0,5.01,3.855177,0.259391,2100.0,5.295019,1970.044891,0.692475,3119.868146,2232.492341,twophase
428.675709,155.525709,551000.0,5.51,4.238856,0.235913,2100.0,5.266053,1970.012103,0.688785,3246.369743,2310.550554,twophase
432.041565,158.891565,601000.0,6.01,4.623385,0.216292,2100.0,5.239816,1970.008666,0.685352,3373.876199,2388.174635,twophase
435.191138,162.041138,651000.0,6.51,5.008818,0.199648,2100.0,5.21586,1970.029209,0.682138,3502.223338,2465.224065,twophase
438.153778,165.003778,701000.0,7.01,5.395197,0.18535,2100.0,5.193838,1970.069614,0.679112,3631.281303,2541.588497,twophase
440.953075,167.803075,751000.0,7.51,5.782557,0.172934,2100.0,5.173477,1970.126658,0.676252,3760.948369,2617.181888,twophase
443.608288,170.458288,801000.0,8.01,6.170927,0.16205,2100.0,5.154554,1970.19778,0.673538,3891.145926,2691.937813,twophase
446.13536,172.98536,851000.0,8.51,6.56033,0.152431,2100.0,5.136892,1970.280912,0.670953,4021.814433,2765.805726,twophase
448.547647,175.397647,901000.0,9.01,6.950786,0.143869,2100.0,5.120342,1970.374365,0.668485,4152.910149,2838.747961,twophase
450.856454,177.706454,951000.0,9.51,7.342311,0.136197,2100.0,5.10478,1970.476745,0.666122,4284.402484,2910.737332,twophase
453.071444,179.921444,1001000.0,10.01,7.734919,0.129284,2100.0,5.090102,1970.586888,0.663854,4416.271854,2981.755182,twophase
455.200943,182.050943,1051000.0,10.51,8.128624,0.123022,2100.0,5.076218,1970.703817,0.661672,4548.507924,3051.789819,twophase
457.25218,184.10218,1101000.0,11.01,8.523433,0.117324,2100.0,5.063052,1970.826702,0.65957,4681.10818,3120.835227,twophase
459.231473,186.081473,1151000.0,11.51,8.919358,0.112116,2100.0,5.050539,1970.954835,0.657541,4814.07675,3188.890028,twophase
461.144382,187.994382,1201000.0,12.01,9.316404,0.107338,2100.0,5.038621,1971.087606,0.655579,4947.423437,3255.956619,twophase
