T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
534.434761,261.284761,1000.0,0.01,0.004054,246.643552,3000.0,10.206649,2753.356448,,1975.965771,1514.363511,gas
535.198579,262.048579,51000.0,0.51,0.206804,4.835489,3000.0,8.392763,2753.390038,,1985.392384,1519.567631,gas
535.959719,262.809719,101000.0,1.01,0.409609,2.441352,3000.0,8.07813,2753.423445,,1994.839478,1524.769311,gas
536.718155,263.568155,151000.0,1.51,0.612468,1.632737,3000.0,7.893245,2753.456674,,2004.304409,1529.966772,gas
537.47386,264.32386,201000.0,2.01,0.815382,1.226419,3000.0,7.761954,2753.48973,,2013.78467,1535.158338,gas
538.226812,265.076812,251000.0,2.51,1.018349,0.981982,3000.0,7.660142,2753.522619,,2023.277883,1540.342436,gas
538.976993,265.826993,301000.0,3.01,1.22137,0.818753,3000.0,7.577015,2753.555346,,2032.781795,1545.517588,gas
539.724386,266.574386,351000.0,3.51,1.424443,0.702029,3000.0,7.5068,2753.587914,,2042.29427,1550.682405,gas
540.468975,267.318975,401000.0,4.01,1.627569,0.614413,3000.0,7.446043,2753.620329,,2051.813283,1555.835586,gas
541.210749,268.060749,451000.0,4.51,1.830748,0.546225,3000.0,7.392516,2753.652595,,2061.336915,1560.975911,gas
541.949696,268.799696,501000.0,5.01,2.033979,0.491647,3000.0,7.344694,2753.684715,,2070.86335,1566.102237,gas
542.685809,269.535809,551000.0,5.51,2.237261,0.446975,3000.0,7.30149,2753.716693,,2080.390867,1571.213494,gas
543.41908,270.26908,601000.0,6.01,2.440595,0.409736,3000.0,7.2621,2753.748533,,2089.917836,1576.308681,gas
544.149506,270.999506,651000.0,6.51,2.643979,0.378218,3000.0,7.225913,2753.780239,,2099.442714,1581.386865,gas
544.877081,271.727081,701000.0,7.01,2.847415,0.351196,3000.0,7.192454,2753.811813,,2108.964041,1586.44717,gas
545.601805,272.451805,751000.0,7.51,3.050902,0.327772,3000.0,7.161346,2753.843258,,2118.480436,1591.488785,gas
546.323677,273.173677,801000.0,8.01,3.254438,0.307273,3000.0,7.132287,2753.874577,,2127.99059,1596.51095,gas
547.042698,273.892698,851000.0,8.51,3.458025,0.289182,3000.0,7.105028,2753.905773,,2137.493267,1601.51296,gas
547.75887,274.60887,901000.0,9.01,3.661662,0.2731,3000.0,7.079362,2753.936849,,2146.987299,1606.494158,gas
548.472196,275.322196,951000.0,9.51,3.865348,0.258709,3000.0,7.055117,2753.967806,,2156.471579,1611.453937,gas
549.18268,276.03268,1001000.0,10.01,4.069083,0.245756,3000.0,7.032148,2753.998648,,2165.945064,1616.391732,gas
549.890327,276.740327,1051000.0,10.51,4.272868,0.234035,3000.0,7.01033,2754.029376,,2175.406765,1621.30702,gas
550.595145,277.445145,1101000.0,11.01,4.476701,0.223379,3000.0,6.989555,2754.059992,,2184.855752,1626.19932,gas
551.297139,278.147139,1151000.0,11.51,4.680584,0.213649,3000.0,6.96973,2754.090499,,2194.291142,1631.068187,gas
551.996317,278.846317,1201000.0,12.01,4.884514,0.204729,3000.0,6.950776,2754.120897,,2203.712107,1635.913212,gas
552.692689,279.542689,1251000.0,12.51,5.088493,0.196522,3000.0,6.932619,2754.15119,,2213.117861,1640.73402,gas
553.386263,280.236263,1301000.0,13.01,5.29252,0.188946,3000.0,6.915199,2754.181378,,2222.507666,1645.530268,gas
