T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
280.11957,6.96957,1000.0,0.01,0.024954,40.074422,800.0,2.857242,759.925578,0.31022,2416.332373,1883.314701,twophase
354.960934,81.810934,51000.0,0.51,1.581351,0.632371,800.0,2.385591,767.749088,0.198567,76072.410749,19844.070773,twophase
373.034313,99.884313,101000.0,1.01,3.515644,0.284443,800.0,2.328121,771.271268,0.168973,-3100.30062,168491.770262,twophase
384.698898,111.548898,151000.0,1.51,5.787508,0.172786,800.0,2.298969,773.909324,0.149197,84394.180069,688913.78131,twophase
393.51783,120.36783,201000.0,2.01,8.409075,0.118919,800.0,2.280572,776.097251,0.133855,298391.248484,2030479.442721,twophase
400.692977,127.542977,251000.0,2.51,11.409813,0.087644,800.0,2.267721,778.001391,0.121102,771456.701551,5020999.888853,twophase
406.785932,133.635932,301000.0,3.01,14.832086,0.067421,800.0,2.2582,779.706159,0.110067,1741332.265952,11174503.80559,twophase
412.107386,138.957386,351000.0,3.51,18.73122,0.053387,800.0,2.250871,781.261232,0.100265,3641739.836438,23259499.253902,twophase
416.848383,143.698383,401000.0,4.01,23.177465,0.043145,800.0,2.245078,782.698712,0.091396,7269483.324431,46367706.897634,twophase
421.135305,147.985305,451000.0,4.51,28.259449,0.035386,800.0,2.240412,784.040736,0.083259,14104946.108533,89967547.092137,twophase
425.05636,151.90636,501000.0,5.01,34.08933,0.029335,800.0,2.236601,785.303319,0.075714,26942990.922824,171949563.170936,twophase
428.675709,155.525709,551000.0,5.51,40.81022,0.024504,800.0,2.233458,786.49848,0.068659,51171481.34346,326830573.821284,twophase
432.041565,158.891565,601000.0,6.01,48.606925,0.020573,800.0,2.230847,787.635507,0.062017,97450244.039282,622960190.245511,twophase
435.191138,162.041138,651000.0,6.51,57.721722,0.017325,800.0,2.228667,788.72175,0.055727,187544195.853696,1200039352.206036,twophase
438.153778,165.003778,701000.0,7.01,68.478058,0.014603,800.0,2.226844,789.763144,0.049743,367593702.991964,2354704048.346717,twophase
440.953075,167.803075,751000.0,7.51,81.317182,0.012298,800.0,2.225317,790.764559,0.044026,739828800.68664,4746256478.062035,twophase
443.608288,170.458288,801000.0,8.01,96.856694,0.010325,800.0,2.224041,791.73005,0.038544,1542454584.816598,9922232947.019804,twophase
