T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
280.11957,6.96957,1000.0,0.01,0.009285,107.696702,2100.527407,7.5,1992.830705,0.833704,1905.563596,1436.345632,twophase
354.960934,81.810934,51000.0,0.51,0.318649,3.138246,2615.415274,7.5,2455.364744,0.986705,2019.397674,1516.103572,twophase
400.449166,127.299166,101000.0,1.01,0.552491,1.809985,2731.234434,7.5,2548.425959,,2008.253686,1508.518012,gas
440.813469,167.663469,151000.0,1.51,0.750157,1.333054,2808.414237,7.5,2607.123136,,2006.996487,1511.806251,gas
471.814334,198.664334,201000.0,2.01,0.932941,1.07188,2867.992723,7.5,2652.544912,,2014.207327,1520.841155,gas
497.244148,224.094148,251000.0,2.51,1.105529,0.904544,2917.131894,7.5,2690.091229,,2023.431498,1530.889187,gas
518.936931,245.786931,301000.0,3.01,1.270484,0.787102,2959.267146,7.5,2722.349472,,2032.985425,1540.801537,gas
537.930432,264.780432,351000.0,3.51,1.429402,0.699593,2996.336188,7.5,2750.778884,,2042.332825,1550.259809,gas
554.87326,281.72326,401000.0,4.01,1.583365,0.631566,3029.548888,7.5,2776.29086,,2051.299343,1559.193686,gas
570.19985,297.04985,451000.0,4.51,1.733152,0.576983,3059.715669,7.5,2799.496188,,2059.840947,1567.614435,gas
584.216441,311.066441,501000.0,5.01,1.879345,0.5321,3087.408195,7.5,2820.825964,,2067.963295,1575.559457,gas
597.147577,323.997577,551000.0,5.51,2.022395,0.494463,3113.046047,7.5,2840.596793,,2075.6906,1583.072287,gas
609.163137,336.013137,601000.0,6.01,2.162661,0.462393,3136.947041,7.5,2859.048644,,2083.052877,1590.195236,gas
620.394965,347.244965,651000.0,6.51,2.300434,0.434701,3159.358158,7.5,2876.368118,,2090.080589,1596.966884,gas
630.947578,357.797578,701000.0,7.01,2.435956,0.410516,3180.475453,7.5,2892.703434,,2096.802478,1603.421482,gas
640.905327,367.755327,751000.0,7.51,2.569428,0.389192,3200.457372,7.5,2908.174452,,2103.24478,1609.589095,gas
650.337338,377.187338,801000.0,8.01,2.701023,0.37023,3219.433945,7.5,2922.879592,,2109.431081,1615.49602,supercritical_gas
659.301017,386.151017,851000.0,8.51,2.830886,0.353246,3237.513303,7.5,2936.900748,,2115.382431,1621.165256,supercritical_gas
667.844595,394.694595,901000.0,9.01,2.959148,0.337935,3254.786416,7.5,2950.306856,,2121.11757,1626.616959,supercritical_gas
676.009008,402.859008,951000.0,9.51,3.085918,0.324053,3271.330601,7.5,2963.156536,,2126.653177,1631.868848,supercritical_gas
683.82932,410.67932,1001000.0,10.01,3.211297,0.311401,3287.21217,7.5,2975.50009,,2132.004119,1636.936559,supercritical_gas
691.335808,418.185808,1051000.0,10.51,3.335371,0.299817,3302.488455,7.5,2987.381033,,2137.18368,1641.833942,supercritical_gas
698.554809,425.404809,1101000.0,11.01,3.458218,0.289166,3317.209392,7.5,2998.837284,,2142.203754,1646.573313,supercritical_gas
705.509387,432.359387,1151000.0,11.51,3.579908,0.279337,3331.418759,7.5,3009.9021,,2147.07503,1651.165669,supercritical_gas
712.219855,439.069855,1201000.0,12.01,3.700505,0.270233,3345.155166,7.5,3020.604828,,2151.807135,1655.620866,supercritical_gas
718.70421,445.55421,1251000.0,12.51,3.820065,0.261776,3358.452854,7.5,3030.971505,,2156.408771,1659.947769,supercritical_gas
