T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
274.15,1.0,70000.0,0.7,999.886017,0.001,4.247015,0.015264,4.177007,,4216.26457,4214.908753,liquid
275.15,2.0,70000.0,0.7,999.927294,0.001,8.461713,0.03061,8.391708,,4213.171218,4212.585239,liquid
276.15,3.0,70000.0,0.7,999.951562,0.001,12.673432,0.045889,12.603429,,4210.302241,4210.161199,liquid
277.15,4.0,70000.0,0.7,999.959369,0.001,16.882387,0.061103,16.812384,,4207.640986,4207.640951,liquid
278.15,5.0,70000.0,0.7,999.951231,0.001,21.088778,0.076253,21.018775,,4205.172357,4205.028511,liquid
279.15,6.0,70000.0,0.7,999.927636,0.001,25.292791,0.09134,25.222786,,4202.882628,4202.32761,liquid
280.15,7.0,70000.0,0.7,999.889041,0.001,29.494599,0.106365,29.424591,,4200.759283,4199.541713,liquid
281.15,8.0,70000.0,0.7,999.835883,0.001,33.694362,0.12133,33.62435,,4198.790885,4196.674041,liquid
282.15,9.0,70000.0,0.7,999.768572,0.001,37.892229,0.136234,37.822213,,4196.966953,4193.727584,liquid
283.15,10.0,70000.0,0.7,999.687498,0.001,42.088341,0.15108,42.018319,,4195.277861,4190.705126,liquid
284.15,11.0,70000.0,0.7,999.593031,0.001,46.282827,0.165867,46.212798,,4193.714752,4187.609253,liquid
285.15,12.0,70000.0,0.7,999.485521,0.001001,50.475809,0.180598,50.405773,,4192.269455,4184.442376,liquid
286.15,13.0,70000.0,0.7,999.365303,0.001001,54.667402,0.195272,54.597358,,4190.934423,4181.206746,liquid
287.15,14.0,70000.0,0.7,999.232694,0.001001,58.857713,0.20989,58.787659,,4189.702671,4177.904465,liquid
288.15,15.0,70000.0,0.7,999.087995,0.001001,63.04684,0.224453,62.976776,,4188.567723,4174.5375,liquid
289.15,16.0,70000.0,0.7,998.931495,0.001001,67.234878,0.238962,67.164803,,4187.523571,4171.107698,liquid
290.15,17.0,70000.0,0.7,998.76347,0.001001,71.421915,0.253418,71.351829,,4186.564629,4167.616799,liquid
291.15,18.0,70000.0,0.7,998.58418,0.001001,75.608034,0.26782,75.537935,,4185.685702,4164.066441,liquid
292.15,19.0,70000.0,0.7,998.393877,0.001002,79.793312,0.282171,79.723199,,4184.881953,4160.458175,liquid
293.15,20.0,70000.0,0.7,998.1928,0.001002,83.977822,0.296469,83.907695,,4184.148872,4156.793474,liquid
294.15,21.0,70000.0,0.7,997.981179,0.001002,88.161632,0.310717,88.09149,,4183.482255,4153.07374,liquid
295.15,22.0,70000.0,0.7,997.759233,0.001002,92.344807,0.324914,92.27465,,4182.87818,4149.30031,liquid
296.15,23.0,70000.0,0.7,997.527172,0.001002,96.527408,0.339061,96.457234,,4182.332985,4145.474469,liquid
297.15,24.0,70000.0,0.7,997.285198,0.001003,100.709491,0.353159,100.639301,,4181.843252,4141.597451,liquid
298.15,25.0,70000.0,0.7,997.033505,0.001003,104.891112,0.367208,104.820903,,4181.405789,4137.670445,liquid
299.15,26.0,70000.0,0.7,996.772277,0.001003,109.072319,0.381208,109.002093,,4181.017614,4133.694604,liquid
300.15,27.0,70000.0,0.7,996.501694,0.001004,113.253162,0.395161,113.182917,,4180.675945,4129.671046,liquid
301.15,28.0,70000.0,0.7,996.221926,0.001004,117.433686,0.409065,117.363421,,4180.378182,4125.600862,liquid
302.15,29.0,70000.0,0.7,995.933139,0.001004,121.613933,0.422923,121.543647,,4180.121901,4121.485113,liquid
303.15,30.0,70000.0,0.7,995.635491,0.001004,125.793943,0.436735,125.723636,,4179.904839,4117.324843,liquid
304.15,31.0,70000.0,0.7,995.329133,0.001005,129.973755,0.4505,129.903426,,4179.724885,4113.121073,liquid
305.15,32.0,70000.0,0.7,995.014215,0.001005,134.153404,0.46422,134.083054,,4179.580075,4108.874809,liquid
306.15,33.0,70000.0,0.7,994.690875,0.001005,138.332926,0.477894,138.262552,,4179.468575,4104.587042,liquid
307.15,34.0,70000.0,0.7,994.359252,0.001006,142.512352,0.491523,142.441955,,4179.388684,4100.258749,liquid
308.15,35.0,70000.0,0.7,994.019477,0.001006,146.691713,0.505108,146.621292,,4179.338818,4095.8909,liquid
309.15,36.0,70000.0,0.7,993.671676,0.001006,150.871039,0.518649,150.800593,,4179.317505,4091.484451,liquid
310.15,37.0,70000.0,0.7,993.315972,0.001007,155.050357,0.532146,154.979886,,4179.323383,4087.040354,liquid
311.15,38.0,70000.0,0.7,992.952483,0.001007,159.229695,0.545599,159.159198,,4179.355188,4082.559551,liquid
312.15,39.0,70000.0,0.7,992.581323,0.001007,163.409076,0.55901,163.338553,,4179.411752,4078.042978,liquid
313.15,40.0,70000.0,0.7,992.202603,0.001008,167.588526,0.572377,167.517976,,4179.491998,4073.491566,liquid
314.15,41.0,70000.0,0.7,991.816429,0.001008,171.768068,0.585703,171.69749,,4179.594932,4068.906241,liquid
315.15,42.0,70000.0,0.7,991.422903,0.001009,175.947723,0.598986,175.877118,,4179.719641,4064.287923,liquid
316.15,43.0,70000.0,0.7,991.022127,0.001009,180.127514,0.612228,180.05688,,4179.865286,4059.637529,liquid
317.15,44.0,70000.0,0.7,990.614195,0.001009,184.30746,0.625429,184.236797,,4180.0311,4054.955971,liquid
318.15,45.0,70000.0,0.7,990.199202,0.00101,188.487583,0.638588,188.41689,,4180.216385,4050.244157,liquid
319.15,46.0,70000.0,0.7,989.777238,0.00101,192.667899,0.651707,192.597176,,4180.420504,4045.502989,liquid
320.15,47.0,70000.0,0.7,989.348389,0.001011,196.84843,0.664786,196.777676,,4180.64288,4040.733368,liquid
321.15,48.0,70000.0,0.7,988.912742,0.001011,201.029191,0.677824,200.958406,,4180.882994,4035.936187,liquid
322.15,49.0,70000.0,0.7,988.470377,0.001012,205.210201,0.690823,205.139385,,4181.14038,4031.112338,liquid
323.15,50.0,70000.0,0.7,988.021374,0.001012,209.391478,0.703782,209.320629,,4181.414621,4026.262705,liquid
324.15,51.0,70000.0,0.7,987.565811,0.001013,213.573036,0.716702,213.502155,,4181.705347,4021.388168,liquid
325.15,52.0,70000.0,0.7,987.103762,0.001013,217.754894,0.729583,217.683979,,4182.012234,4016.489604,liquid
326.15,53.0,70000.0,0.7,986.635299,0.001014,221.937066,0.742426,221.866118,,4182.334998,4011.567881,liquid
327.15,54.0,70000.0,0.7,986.160492,0.001014,226.119569,0.75523,226.048586,,4182.673397,4006.623863,liquid
328.15,55.0,70000.0,0.7,985.679411,0.001015,230.302418,0.767996,230.231401,,4183.027223,4001.658408,liquid
329.15,56.0,70000.0,0.7,985.19212,0.001015,234.485628,0.780725,234.414576,,4183.396306,3996.672366,liquid
330.15,57.0,70000.0,0.7,984.698684,0.001016,238.669215,0.793416,238.598128,,4183.780505,3991.666583,liquid
331.15,58.0,70000.0,0.7,984.199165,0.001016,242.853194,0.806069,242.782071,,4184.179711,3986.641894,liquid
332.15,59.0,70000.0,0.7,983.693624,0.001017,247.03758,0.818686,246.96642,,4184.593847,3981.599129,liquid
333.15,60.0,70000.0,0.7,983.182119,0.001017,251.222387,0.831266,251.15119,,4185.022857,3976.539111,liquid
334.15,61.0,70000.0,0.7,982.664707,0.001018,255.407631,0.84381,255.336396,,4185.466715,3971.462652,liquid
335.15,62.0,70000.0,0.7,982.141443,0.001018,259.593325,0.856318,259.522053,,4185.925417,3966.370559,liquid
336.15,63.0,70000.0,0.7,981.612381,0.001019,263.779486,0.86879,263.708175,,4186.39898,3961.263627,liquid
337.15,64.0,70000.0,0.7,981.077573,0.001019,267.966128,0.881226,267.894778,,4186.887444,3956.142644,liquid
338.15,65.0,70000.0,0.7,980.53707,0.00102,272.153266,0.893627,272.081877,,4187.390865,3951.008388,liquid
339.15,66.0,70000.0,0.7,979.99092,0.00102,276.340915,0.905993,276.269486,,4187.909319,3945.861628,liquid
340.15,67.0,70000.0,0.7,979.439172,0.001021,280.52909,0.918323,280.45762,,4188.442899,3940.703124,liquid
341.15,68.0,70000.0,0.7,978.881871,0.001022,284.717806,0.93062,284.646296,,4188.991713,3935.533624,liquid
342.15,69.0,70000.0,0.7,978.319064,0.001022,288.907078,0.942882,288.835527,,4189.555883,3930.353866,liquid
343.15,70.0,70000.0,0.7,977.750793,0.001023,293.096923,0.955109,293.02533,,4190.135544,3925.164579,liquid
344.15,71.0,70000.0,0.7,977.177101,0.001023,297.287355,0.967303,297.21572,,4190.730846,3919.966482,liquid
345.15,72.0,70000.0,0.7,976.598029,0.001024,301.47839,0.979463,301.406712,,4191.341947,3914.76028,liquid
346.15,73.0,70000.0,0.7,976.013617,0.001025,305.670044,0.99159,305.598324,,4191.969018,3909.546669,liquid
347.15,74.0,70000.0,0.7,975.423904,0.001025,309.862333,1.003684,309.79057,,4192.612239,3904.326336,liquid
348.15,75.0,70000.0,0.7,974.828929,0.001026,314.055274,1.015745,313.983466,,4193.271801,3899.099953,liquid
349.15,76.0,70000.0,0.7,974.228726,0.001026,318.248882,1.027773,318.177031,,4193.947899,3893.868183,liquid
350.15,77.0,70000.0,0.7,973.623333,0.001027,322.443175,1.039769,322.371279,,4194.640741,3888.631676,liquid
351.15,78.0,70000.0,0.7,973.012784,0.001028,326.638169,1.051732,326.566228,,4195.350539,3883.391074,liquid
352.15,79.0,70000.0,0.7,972.397112,0.001028,330.833882,1.063664,330.761895,,4196.077511,3878.147003,liquid
353.15,80.0,70000.0,0.7,971.776349,0.001029,335.03033,1.075564,334.958297,,4196.821884,3872.90008,liquid
354.15,81.0,70000.0,0.7,971.150528,0.00103,339.227532,1.087432,339.155452,,4197.583887,3867.65091,liquid
355.15,82.0,70000.0,0.7,970.519678,0.00103,343.425504,1.099269,343.353378,,4198.363757,3862.400086,liquid
356.15,83.0,70000.0,0.7,969.88383,0.001031,347.624265,1.111075,347.552092,,4199.161733,3857.148189,liquid
357.15,84.0,70000.0,0.7,969.243013,0.001032,351.823834,1.12285,351.751612,,4199.978061,3851.89579,liquid
358.15,85.0,70000.0,0.7,968.597253,0.001032,356.024228,1.134594,355.951958,,4200.812989,3846.643445,liquid
359.15,86.0,70000.0,0.7,967.946579,0.001033,360.225466,1.146308,360.153148,,4201.666768,3841.391703,liquid
360.15,87.0,70000.0,0.7,967.291016,0.001034,364.427567,1.157992,364.3552,,4202.539654,3836.141098,liquid
361.15,88.0,70000.0,0.7,966.63059,0.001035,368.630552,1.169646,368.558135,,4203.431904,3830.892152,liquid
362.15,89.0,70000.0,0.7,965.965325,0.001035,372.834438,1.18127,372.761971,,4204.343779,3825.645378,liquid
363.15,90.0,70000.0,0.7,0.422786,2.365263,2659.558243,7.47938,2493.989841,,2042.422197,1531.236334,gas
364.15,91.0,70000.0,0.7,0.42155,2.3722,2661.598688,7.484991,2495.544699,,2038.512216,1528.418291,gas
365.15,92.0,70000.0,0.7,0.420322,2.379129,2663.63535,7.490577,2497.096287,,2034.850336,1525.800079,gas
366.15,93.0,70000.0,0.7,0.419102,2.386052,2665.668463,7.496137,2498.644819,,2031.410742,1523.360219,gas
367.15,94.0,70000.0,0.7,0.417891,2.392968,2667.698238,7.501673,2500.190484,,2028.171097,1521.080147,gas
368.15,95.0,70000.0,0.7,0.416688,2.399877,2669.724865,7.507185,2501.733456,,2025.112038,1518.943793,gas
369.15,96.0,70000.0,0.7,0.415493,2.40678,2671.748516,7.512675,2503.273889,,2022.216741,1516.937218,gas
370.15,97.0,70000.0,0.7,0.414306,2.413678,2673.769348,7.518142,2504.811923,,2019.470558,1515.048306,gas
371.15,98.0,70000.0,0.7,0.413126,2.420569,2675.787503,7.523587,2506.347687,,2016.860702,1513.266504,gas
372.15,99.0,70000.0,0.7,0.411954,2.427454,2677.803111,7.52901,2507.881299,,2014.375986,1511.582598,gas
373.15,100.0,70000.0,0.7,0.41079,2.434335,2679.816293,7.534412,2509.412865,,2012.006593,1509.988523,gas
374.15,101.0,70000.0,0.7,0.409633,2.44121,2681.82716,7.539794,2510.942484,,2009.743885,1508.477203,gas
375.15,102.0,70000.0,0.7,0.408483,2.448079,2683.835814,7.545155,2512.47025,,2007.580241,1507.042412,gas
376.15,103.0,70000.0,0.7,0.407341,2.454944,2685.842351,7.550497,2513.996246,,2005.508913,1505.678654,gas
377.15,104.0,70000.0,0.7,0.406206,2.461804,2687.846861,7.555819,2515.520552,,2003.523908,1504.381067,gas
378.15,105.0,70000.0,0.7,0.405078,2.46866,2689.849426,7.561122,2517.043243,,2001.619888,1503.145332,gas
379.15,106.0,70000.0,0.7,0.403957,2.475511,2691.850126,7.566405,2518.564388,,1999.792076,1501.967602,gas
380.15,107.0,70000.0,0.7,0.402843,2.482357,2693.849034,7.571671,2520.084053,,1998.036189,1500.844439,gas
381.15,108.0,70000.0,0.7,0.401736,2.489199,2695.846221,7.576917,2521.602299,,1996.348369,1499.772758,gas
382.15,109.0,70000.0,0.7,0.400635,2.496037,2697.841753,7.582146,2523.119185,,1994.725127,1498.749784,gas
383.15,110.0,70000.0,0.7,0.399541,2.50287,2699.835692,7.587357,2524.634766,,1993.1633,1497.773006,gas
384.15,111.0,70000.0,0.7,0.398454,2.5097,2701.828099,7.59255,2526.149097,,1991.660007,1496.840153,gas
385.15,112.0,70000.0,0.7,0.397373,2.516526,2703.81903,7.597726,2527.662226,,1990.212613,1495.949152,gas
386.15,113.0,70000.0,0.7,0.396299,2.523348,2705.808542,7.602885,2529.174202,,1988.818704,1495.098115,gas
387.15,114.0,70000.0,0.7,0.395231,2.530166,2707.796685,7.608027,2530.685071,,1987.476055,1494.285307,gas
388.15,115.0,70000.0,0.7,0.394169,2.53698,2709.78351,7.613152,2532.194877,,1986.18261,1493.509135,gas
389.15,116.0,70000.0,0.7,0.393114,2.543791,2711.769066,7.618261,2533.703662,,1984.936467,1492.768125,gas
390.15,117.0,70000.0,0.7,0.392065,2.550599,2713.753398,7.623354,2535.211467,,1983.735852,1492.060913,gas
