T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
274.15,1.0,9000000.0,90.0,1004.350086,0.000996,13.240906,0.015566,4.279887,,4175.10828,4174.926513,liquid
275.15,2.0,9000000.0,90.0,1004.360268,0.000996,17.415052,0.030764,8.454124,,4173.209716,4173.20688,liquid
276.15,3.0,9000000.0,90.0,1004.354772,0.000996,21.587376,0.0459,12.626399,,4171.462636,4171.365322,liquid
277.15,4.0,9000000.0,90.0,1004.33408,0.000996,25.758024,0.060976,16.796862,,4169.856107,4169.40767,liquid
278.15,5.0,9000000.0,90.0,1004.29865,0.000996,29.927132,0.075992,20.965654,,4168.38019,4167.339316,liquid
279.15,6.0,9000000.0,90.0,1004.248914,0.000996,34.094825,0.090948,25.132903,,4167.025822,4165.165245,liquid
280.15,7.0,9000000.0,90.0,1004.185279,0.000996,38.261221,0.105847,29.298732,,4165.784711,4162.890064,liquid
281.15,8.0,9000000.0,90.0,1004.108133,0.000996,42.42643,0.120688,33.463251,,4164.649252,4160.518037,liquid
282.15,9.0,9000000.0,90.0,1004.017841,0.000996,46.590552,0.135473,37.626568,,4163.612446,4158.053107,liquid
283.15,10.0,9000000.0,90.0,1003.914752,0.000996,50.753685,0.150202,41.788781,,4162.667839,4155.498927,liquid
284.15,11.0,9000000.0,90.0,1003.799197,0.000996,54.915917,0.164876,45.94998,,4161.809467,4152.858882,liquid
285.15,12.0,9000000.0,90.0,1003.67149,0.000996,59.077331,0.179495,50.110254,,4161.031802,4150.136111,liquid
286.15,13.0,9000000.0,90.0,1003.531929,0.000996,63.238006,0.194061,54.269681,,4160.329716,4147.333535,liquid
287.15,14.0,9000000.0,90.0,1003.380801,0.000997,67.398014,0.208573,58.428339,,4159.698441,4144.453868,liquid
288.15,15.0,9000000.0,90.0,1003.218377,0.000997,71.557425,0.223033,62.586297,,4159.133539,4141.499645,liquid
289.15,16.0,9000000.0,90.0,1003.044916,0.000997,75.716302,0.237441,66.743623,,4158.630873,4138.473232,liquid
290.15,17.0,9000000.0,90.0,1002.860666,0.000997,79.874706,0.251798,70.900378,,4158.186581,4135.376845,liquid
291.15,18.0,9000000.0,90.0,1002.665864,0.000997,84.032693,0.266104,75.056622,,4157.797057,4132.212565,liquid
292.15,19.0,9000000.0,90.0,1002.460736,0.000998,88.190317,0.280359,79.212409,,4157.458932,4128.982351,liquid
293.15,20.0,9000000.0,90.0,1002.2455,0.000998,92.347627,0.294565,83.367791,,4157.169054,4125.688052,liquid
294.15,21.0,9000000.0,90.0,1002.020361,0.000998,96.50467,0.308722,87.522817,,4156.924476,4122.331418,liquid
295.15,22.0,9000000.0,90.0,1001.785521,0.000998,100.66149,0.322829,91.677531,,4156.72244,4118.914111,liquid
296.15,23.0,9000000.0,90.0,1001.541168,0.000998,104.818129,0.336889,95.831978,,4156.560365,4115.437713,liquid
297.15,24.0,9000000.0,90.0,1001.287488,0.000999,108.974624,0.3509,99.986196,,4156.435836,4111.903737,liquid
298.15,25.0,9000000.0,90.0,1001.024654,0.000999,113.131012,0.364864,104.140224,,4156.346597,4108.313632,liquid
299.15,26.0,9000000.0,90.0,1000.752837,0.000999,117.287328,0.378781,108.294098,,4156.290537,4104.668792,liquid
300.15,27.0,9000000.0,90.0,1000.472199,0.001,121.443603,0.392652,112.447851,,4156.265682,4100.97056,liquid
301.15,28.0,9000000.0,90.0,1000.182895,0.001,125.599869,0.406476,116.601515,,4156.270191,4097.220236,liquid
302.15,29.0,9000000.0,90.0,999.885077,0.001,129.756153,0.420254,120.755119,,4156.302345,4093.419079,liquid
303.15,30.0,9000000.0,90.0,999.578889,0.001,133.912482,0.433988,124.908691,,4156.360542,4089.568315,liquid
304.15,31.0,9000000.0,90.0,999.26447,0.001001,138.068882,0.447676,129.062258,,4156.443291,4085.669138,liquid
305.15,32.0,9000000.0,90.0,998.941955,0.001001,142.225377,0.461319,133.215844,,4156.549203,4081.722715,liquid
306.15,33.0,9000000.0,90.0,998.611473,0.001001,146.381988,0.474918,137.369474,,4156.67699,4077.73019,liquid
