T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
274.15,1.0,657.085634,0.006571,5.0,0.2,6.760465,0.024685,6.629048,0.001034,1250786803344.2307,7827116614401.533,twophase
275.15,2.0,705.985594,0.00706,5.0,0.2,11.155178,0.04065,11.013981,0.001107,1041549347601.6667,6518052002100.102,twophase
276.15,3.0,758.080514,0.007581,5.0,0.2,15.557705,0.056584,15.406089,0.001184,867877768730.17,5431455258588.721,twophase
277.15,4.0,813.548355,0.008135,5.0,0.2,19.968803,0.072489,19.806093,0.001267,723631261900.8066,4528922146471.357,twophase
278.15,5.0,872.575114,0.008726,5.0,0.2,24.389232,0.088367,24.214717,0.001354,603745680991.5411,3778780660079.819,twophase
279.15,6.0,935.355089,0.009354,5.0,0.2,28.819762,0.104222,28.632691,0.001446,504041910693.75555,3154892980350.5073,twophase
280.15,7.0,1002.091151,0.010021,5.0,0.2,33.26117,0.120056,33.060751,0.001544,421068851506.5335,2635673796872.8306,twophase
281.15,8.0,1072.995017,0.01073,5.0,0.2,37.714242,0.135873,37.499643,0.001647,351974674694.61194,2203285352222.4863,twophase
282.15,9.0,1148.287528,0.011483,5.0,0.2,42.179779,0.151674,41.950122,0.001756,294401183225.4528,1842976931494.0784,twophase
283.15,10.0,1228.198931,0.012282,5.0,0.2,46.658594,0.167463,46.412954,0.001872,246397071449.59567,1542542499313.5085,twophase
284.15,11.0,1312.969166,0.01313,5.0,0.2,51.151513,0.183243,50.888919,0.001994,206346653297.44916,1291875042787.3867,twophase
285.15,12.0,1402.848159,0.014028,5.0,0.2,55.659381,0.199017,55.378811,0.002123,172911260264.01016,1082600125707.131,twophase
286.15,13.0,1498.096113,0.014981,5.0,0.2,60.183057,0.214786,59.883437,0.00226,144981024065.6303,907774369485.2034,twophase
287.15,14.0,1598.983812,0.01599,5.0,0.2,64.72342,0.230555,64.403623,0.002404,121635176888.00574,761637189153.9893,twophase
288.15,15.0,1705.792916,0.017058,5.0,0.2,69.281368,0.246327,68.94021,0.002555,102109342632.78932,639406240975.7863,twophase
289.15,16.0,1818.816275,0.018188,5.0,0.2,73.85782,0.262103,73.494057,0.002715,85768570094.51764,537108772920.9242,twophase
290.15,17.0,1938.358233,0.019384,5.0,0.2,78.453714,0.277888,78.066043,0.002884,72085085363.66779,451442484233.79425,twophase
291.15,18.0,2064.734944,0.020647,5.0,0.2,83.070013,0.293683,82.657066,0.003062,60619925516.464645,379660655270.8199,twophase
292.15,19.0,2198.274686,0.021983,5.0,0.2,87.7077,0.309493,87.268045,0.003249,51007766567.75855,319477252194.2889,twophase
293.15,20.0,2339.318183,0.023393,5.0,0.2,92.367784,0.325321,91.89992,0.003446,42944382016.46865,268988482229.12314,twophase
294.15,21.0,2488.218927,0.024882,5.0,0.2,97.051297,0.341168,96.553653,0.003653,36176269207.06371,226607905930.83426,twophase
295.15,22.0,2645.3435,0.026453,5.0,0.2,101.759299,0.35704,101.23023,0.00387,30492063310.971645,191012729180.85623,twophase
296.15,23.0,2811.071908,0.028111,5.0,0.2,106.492873,0.372939,105.930658,0.004099,25715426368.65713,161099320483.16013,twophase
297.15,24.0,2985.797907,0.029858,5.0,0.2,111.253131,0.388868,110.655971,0.004339,21699154267.93355,135946345718.07631,twophase
298.15,25.0,3169.929339,0.031699,5.0,0.2,116.041211,0.40483,115.407225,0.004592,18320289998.569073,114784196764.59435,twophase
299.15,26.0,3363.888465,0.033639,5.0,0.2,120.858282,0.42083,120.185504,0.004857,15476068835.436205,96969623694.42004,twophase
300.15,27.0,3568.112305,0.035681,5.0,0.2,125.705539,0.43687,124.991916,0.005135,13080551744.372522,81964671833.43486,twophase
301.15,28.0,3783.052978,0.037831,5.0,0.2,130.584208,0.452954,129.827598,0.005427,11061828485.480518,69319182435.51082,twophase
302.15,29.0,4009.178042,0.040092,5.0,0.2,135.495546,0.469086,134.69371,0.005732,9359692594.6859,58656245188.90957,twophase
303.15,30.0,4246.970837,0.04247,5.0,0.2,140.440838,0.485268,139.591444,0.006053,7923707462.072463,49660097315.610466,twophase
304.15,31.0,4496.930833,0.044969,5.0,0.2,145.421404,0.501506,144.522018,0.006388,6711596753.755931,42066051748.03893,twophase
305.15,32.0,4759.573973,0.047596,5.0,0.2,150.438593,0.517802,149.486679,0.00674,5687903981.776679,35652109144.89902,twophase
306.15,33.0,5035.433021,0.050354,5.0,0.2,155.49379,0.534161,154.486703,0.007108,4822875554.809005,30231968095.93929,twophase
307.15,34.0,5325.057914,0.053251,5.0,0.2,160.588408,0.550586,159.523397,0.007493,4091529502.684942,25649197023.094257,twophase
308.15,35.0,5629.016107,0.05629,5.0,0.2,165.723899,0.567081,164.598096,0.007895,3472878555.898073,21772371863.730286,twophase
309.15,36.0,5947.892925,0.059479,5.0,0.2,170.901745,0.58365,169.712167,0.008316,2949281620.213896,18491017138.81,twophase
310.15,37.0,6282.291914,0.062823,5.0,0.2,176.123466,0.600297,174.867008,0.008756,2505902115.519433,15712215710.496246,twophase
311.15,38.0,6632.835195,0.066328,5.0,0.2,181.390614,0.617027,180.064047,0.009216,2130255310.720288,13357775443.086279,twophase
312.15,39.0,7000.163809,0.070002,5.0,0.2,186.704778,0.633843,185.304745,0.009696,1811829817.272785,11361859938.788834,twophase
313.15,40.0,7384.938074,0.073849,5.0,0.2,192.067583,0.650749,190.590596,0.010197,1541770913.358529,9669006216.885405,twophase
314.15,41.0,7787.837935,0.077878,5.0,0.2,197.480691,0.667751,195.923124,0.01072,1312615449.696678,8232465209.847757,twophase
315.15,42.0,8209.563317,0.082096,5.0,0.2,202.945799,0.684852,201.303887,0.011266,1118069811.407754,7012811731.13444,twophase
316.15,43.0,8650.834469,0.086508,5.0,0.2,208.464643,0.702056,206.734476,0.011836,952823839.848777,5976779512.233553,twophase
317.15,44.0,9112.392325,0.091124,5.0,0.2,214.038996,0.719369,212.216517,0.012429,812394804.755616,5096284328.881518,twophase
318.15,45.0,9594.998844,0.09595,5.0,0.2,219.670668,0.736794,217.751668,0.013048,692996502.268817,4347604400.392012,twophase
319.15,46.0,10099.437363,0.100994,5.0,0.2,225.361508,0.754336,223.341621,0.013692,591429373.071022,3710692367.983548,twophase
320.15,47.0,10626.512946,0.106265,5.0,0.2,231.113405,0.772001,228.988102,0.014363,504988215.488155,3168597416.523154,twophase
321.15,48.0,11177.052726,0.111771,5.0,0.2,236.928285,0.789792,234.692874,0.015062,431384634.598741,2706979646.786645,twophase
322.15,49.0,11751.906253,0.117519,5.0,0.2,242.808114,0.807715,240.457733,0.01579,368681839.664043,2313701754.186744,twophase
323.15,50.0,12351.945838,0.123519,5.0,0.2,248.754897,0.825774,246.284508,0.016547,315239794.672411,1978485525.868781,twophase
324.15,51.0,12978.066891,0.129781,5.0,0.2,254.770681,0.843974,252.175067,0.017334,269669053.839759,1692622714.657872,twophase
325.15,52.0,13631.188266,0.136312,5.0,0.2,260.857549,0.862321,258.131312,0.018153,230791886.585491,1448731554.751129,twophase
326.15,53.0,14312.252594,0.143123,5.0,0.2,267.017629,0.880819,264.155178,0.019004,197609523.974755,1240551607.615437,twophase
327.15,54.0,15022.226622,0.150222,5.0,0.2,273.253086,0.899473,270.248641,0.019888,169274548.482629,1062770814.813788,twophase
328.15,55.0,15762.101546,0.157621,5.0,0.2,279.566128,0.918289,276.413707,0.020807,145067607.498074,910879626.878278,twophase
329.15,56.0,16532.893341,0.165329,5.0,0.2,285.959002,0.937272,282.652423,0.021762,124377763.478188,781047906.614958,twophase
330.15,57.0,17335.643088,0.173356,5.0,0.2,292.433997,0.956427,288.966869,0.022753,106685904.432265,670020998.552533,twophase
331.15,58.0,18171.417303,0.181714,5.0,0.2,298.993446,0.97576,295.359162,0.023781,91550731.07244,575031936.231942,twophase
332.15,59.0,19041.308261,0.190413,5.0,0.2,305.639718,0.995275,301.831456,0.024849,78596914.515738,493727244.463718,twophase
333.15,60.0,19946.434308,0.199464,5.0,0.2,312.375229,1.014979,308.385942,0.025956,67505083.3598,424104200.187123,twophase
334.15,61.0,20887.940187,0.208879,5.0,0.2,319.202433,1.034877,315.024845,0.027104,58003353.36044,364457756.159438,twophase
335.15,62.0,21866.997347,0.21867,5.0,0.2,326.123827,1.054974,321.750428,0.028295,49860158.545722,313335617.224011,twophase
336.15,63.0,22884.804252,0.228848,5.0,0.2,333.141952,1.075276,328.564991,0.029529,42878180.851361,269500198.380947,twophase
337.15,64.0,23942.586691,0.239426,5.0,0.2,340.259389,1.09579,335.470871,0.030808,36889207.459173,231896394.844797,twophase
338.15,65.0,25041.598079,0.250416,5.0,0.2,347.47876,1.11652,342.470441,0.032132,31749771.967833,199624263.000498,twophase
339.15,66.0,26183.119758,0.261831,5.0,0.2,354.802733,1.137473,349.566109,0.033504,27337458.160919,171915852.904637,twophase
340.15,67.0,27368.461288,0.273685,5.0,0.2,362.234014,1.158654,356.760321,0.034925,23547764.160846,148115552.102352,twophase
341.15,68.0,28598.960745,0.28599,5.0,0.2,369.775354,1.18007,364.055562,0.036395,20291440.753175,127663400.698988,twophase
342.15,69.0,29875.985005,0.29876,5.0,0.2,377.429546,1.201726,371.454349,0.037917,17492231.122701,110080921.89835,twophase
343.15,70.0,31200.930027,0.312009,5.0,0.2,385.199424,1.223628,378.959238,0.039491,15084950.569157,94959083.153983,twophase
344.15,71.0,32575.221134,0.325752,5.0,0.2,393.087867,1.245783,386.572823,0.04112,13013854.308555,81948062.817168,twophase
345.15,72.0,34000.313287,0.340003,5.0,0.2,401.097793,1.268197,394.29773,0.042803,11231249.502181,70748547.497502,twophase
346.15,73.0,35477.691355,0.354777,5.0,0.2,409.232165,1.290875,402.136626,0.044544,9696314.429202,61104327.780722,twophase
347.15,74.0,37008.870382,0.370089,5.0,0.2,417.493986,1.313825,410.092212,0.046343,8374093.431485,52795995.732115,twophase
348.15,75.0,38595.395848,0.385954,5.0,0.2,425.886303,1.337053,418.167224,0.048202,7234641.079416,45635577.80801,twophase
349.15,76.0,40238.843925,0.402388,5.0,0.2,434.412205,1.360564,426.364436,0.050122,6252293.076396,39461962.287642,twophase
350.15,77.0,41940.821731,0.419408,5.0,0.2,443.074822,1.384365,434.686657,0.052106,5405044.856211,34137001.866503,twophase
351.15,78.0,43702.967576,0.43703,5.0,0.2,451.877326,1.408464,443.136732,0.054154,4674021.731157,29542190.244285,twophase
352.15,79.0,45526.951204,0.45527,5.0,0.2,460.822932,1.432865,451.717542,0.056268,4043026.903492,25575826.920098,twophase
353.15,80.0,47414.47403,0.474145,5.0,0.2,469.914897,1.457576,460.432002,0.05845,3498155.728857,22150597.415758,twophase
