T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
274.15,1.0,657.085634,0.006571,0.05,20.0,263.837741,0.96241,250.696028,0.103925,15034.197449,12012.046737,twophase
275.15,2.0,705.985594,0.00706,0.05,20.0,286.105708,1.039925,271.985996,0.111256,12679.697918,10258.578966,twophase
276.15,3.0,758.080514,0.007581,0.05,20.0,309.456137,1.120855,294.294527,0.119036,10782.096899,8801.451824,twophase
277.15,4.0,813.548355,0.008135,0.05,20.0,333.943508,1.205358,317.67254,0.127289,9242.760465,7589.726408,twophase
278.15,5.0,872.575114,0.008726,0.05,20.0,359.624377,1.293599,342.172874,0.136038,7987.407101,6581.360279,twophase
279.15,6.0,935.355089,0.009354,0.05,20.0,386.557433,1.385747,367.850331,0.145308,6959.144092,5741.629581,twophase
280.15,7.0,1002.091151,0.010021,0.05,20.0,414.80355,1.481978,394.761727,0.155125,6113.788918,5041.835253,twophase
281.15,8.0,1072.995017,0.01073,0.05,20.0,444.425839,1.582473,422.965939,0.165516,5416.634622,4458.241428,twophase
282.15,9.0,1148.287528,0.011483,0.05,20.0,475.489701,1.687417,452.523951,0.176509,4840.157221,3971.203734,twophase
283.15,10.0,1228.198931,0.012282,0.05,20.0,508.062881,1.797004,483.498902,0.188133,4362.355291,3564.453015,twophase
284.15,11.0,1312.969166,0.01313,0.05,20.0,542.215519,1.911429,515.956136,0.200418,3965.524544,3224.506351,twophase
285.15,12.0,1402.848159,0.014028,0.05,20.0,578.020205,2.030898,549.963242,0.213396,3635.338486,2940.182432,twophase
286.15,13.0,1498.096113,0.014981,0.05,20.0,615.552028,2.155618,585.590106,0.227098,3360.148816,2702.202493,twophase
287.15,14.0,1598.983812,0.01599,0.05,20.0,654.888632,2.285806,622.908956,0.241558,3130.446404,2502.86151,twophase
288.15,15.0,1705.792916,0.017058,0.05,20.0,696.110264,2.421683,661.994406,0.256811,2938.441514,2335.75708,twophase
289.15,16.0,1818.816275,0.018188,0.05,20.0,739.29983,2.563476,702.923505,0.272892,2777.733842,2195.565727,twophase
290.15,17.0,1938.358233,0.019384,0.05,20.0,784.542942,2.711419,745.775777,0.28984,2643.051054,2077.858204,twophase
291.15,18.0,2064.734944,0.020647,0.05,20.0,831.927972,2.865753,790.633273,0.307692,2530.040163,1978.946901,twophase
292.15,19.0,2198.274686,0.021983,0.05,20.0,881.546103,3.026722,837.580609,0.326488,2435.100063,1895.759693,twophase
293.15,20.0,2339.318183,0.023393,0.05,20.0,933.491375,3.194581,886.705011,0.346269,2355.246391,1825.735569,twophase
