T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
300.0,26.85,10000.0,0.1,996.51593,0.001003,112.570811,0.393087,112.560776,,4180.894014,4130.475555,liquid
300.0,26.85,60000.0,0.6,996.538381,0.001003,112.61685,0.393073,112.556642,,4180.752609,4130.31057,liquid
300.0,26.85,110000.0,1.1,996.56083,0.001003,112.662887,0.39306,112.552507,,4180.611255,4130.145631,liquid
300.0,26.85,160000.0,1.6,996.583277,0.001003,112.708922,0.393046,112.548374,,4180.469952,4129.980737,liquid
300.0,26.85,210000.0,2.1,996.605721,0.001003,112.754956,0.393032,112.54424,,4180.328699,4129.815888,liquid
300.0,26.85,260000.0,2.6,996.628162,0.001003,112.800987,0.393018,112.540108,,4180.187496,4129.651085,liquid
300.0,26.85,310000.0,3.1,996.650602,0.001003,112.847017,0.393005,112.535975,,4180.046344,4129.486328,liquid
300.0,26.85,360000.0,3.6,996.673039,0.001003,112.893045,0.392991,112.531844,,4179.905243,4129.321615,liquid
300.0,26.85,410000.0,4.1,996.695473,0.001003,112.939072,0.392977,112.527712,,4179.764193,4129.156949,liquid
300.0,26.85,460000.0,4.6,996.717906,0.001003,112.985096,0.392963,112.523581,,4179.623192,4128.992327,liquid
300.0,26.85,510000.0,5.1,996.740336,0.001003,113.031119,0.392949,112.519451,,4179.482243,4128.827751,liquid
300.0,26.85,560000.0,5.6,996.762763,0.001003,113.07714,0.392935,112.515321,,4179.341344,4128.663221,liquid
300.0,26.85,610000.0,6.1,996.785188,0.001003,113.123159,0.392922,112.511192,,4179.200495,4128.498735,liquid
300.0,26.85,660000.0,6.6,996.807611,0.001003,113.169176,0.392908,112.507063,,4179.059697,4128.334295,liquid
300.0,26.85,710000.0,7.1,996.830031,0.001003,113.215192,0.392894,112.502934,,4178.918949,4128.169901,liquid
300.0,26.85,760000.0,7.6,996.852449,0.001003,113.261206,0.39288,112.498806,,4178.778252,4128.005551,liquid
300.0,26.85,810000.0,8.1,996.874865,0.001003,113.307218,0.392866,112.494679,,4178.637605,4127.841247,liquid
300.0,26.85,860000.0,8.6,996.897278,0.001003,113.353228,0.392853,112.490552,,4178.497008,4127.676989,liquid
300.0,26.85,910000.0,9.1,996.919689,0.001003,113.399237,0.392839,112.486425,,4178.356462,4127.512775,liquid
300.0,26.85,960000.0,9.6,996.942098,0.001003,113.445243,0.392825,112.482299,,4178.215966,4127.348607,liquid
300.0,26.85,1010000.0,10.1,996.964504,0.001003,113.491248,0.392811,112.478173,,4178.075521,4127.184484,liquid
300.0,26.85,1060000.0,10.6,996.986907,0.001003,113.537251,0.392797,112.474048,,4177.935125,4127.020406,liquid
300.0,26.85,1110000.0,11.1,997.009309,0.001003,113.583253,0.392783,112.469923,,4177.794781,4126.856374,liquid
300.0,26.85,1160000.0,11.6,997.031708,0.001003,113.629252,0.39277,112.465799,,4177.654486,4126.692386,liquid
300.0,26.85,1210000.0,12.1,997.054105,0.001003,113.67525,0.392756,112.461675,,4177.514242,4126.528444,liquid
300.0,26.85,1260000.0,12.6,997.076499,0.001003,113.721246,0.392742,112.457552,,4177.374048,4126.364547,liquid
300.0,26.85,1310000.0,13.1,997.098891,0.001003,113.767241,0.392728,112.453429,,4177.233904,4126.200695,liquid
300.0,26.85,1360000.0,13.6,997.12128,0.001003,113.813233,0.392714,112.449307,,4177.09381,4126.036888,liquid
300.0,26.85,1410000.0,14.1,997.143667,0.001003,113.859224,0.3927,112.445185,,4176.953767,4125.873127,liquid
300.0,26.85,1460000.0,14.6,997.166052,0.001003,113.905213,0.392687,112.441063,,4176.813774,4125.70941,liquid
300.0,26.85,1510000.0,15.1,997.188435,0.001003,113.9512,0.392673,112.436942,,4176.673831,4125.545739,liquid
300.0,26.85,1560000.0,15.6,997.210815,0.001003,113.997185,0.392659,112.432822,,4176.533938,4125.382112,liquid
300.0,26.85,1610000.0,16.1,997.233192,0.001003,114.043169,0.392645,112.428702,,4176.394095,4125.218531,liquid
300.0,26.85,1660000.0,16.6,997.255568,0.001003,114.089151,0.392631,112.424582,,4176.254303,4125.054995,liquid
300.0,26.85,1710000.0,17.1,997.277941,0.001003,114.135131,0.392617,112.420463,,4176.11456,4124.891504,liquid
300.0,26.85,1760000.0,17.6,997.300311,0.001003,114.181109,0.392603,112.416345,,4175.974868,4124.728057,liquid
300.0,26.85,1810000.0,18.1,997.32268,0.001003,114.227086,0.39259,112.412227,,4175.835225,4124.564656,liquid
300.0,26.85,1860000.0,18.6,997.345045,0.001003,114.27306,0.392576,112.408109,,4175.695633,4124.4013,liquid
300.0,26.85,1910000.0,19.1,997.367409,0.001003,114.319033,0.392562,112.403992,,4175.556091,4124.237989,liquid
300.0,26.85,1960000.0,19.6,997.38977,0.001003,114.365004,0.392548,112.399875,,4175.416599,4124.074722,liquid
300.0,26.85,2010000.0,20.1,997.412129,0.001003,114.410974,0.392534,112.395759,,4175.277156,4123.911501,liquid
300.0,26.85,2060000.0,20.6,997.434485,0.001003,114.456941,0.39252,112.391643,,4175.137764,4123.748324,liquid
300.0,26.85,2110000.0,21.1,997.456839,0.001003,114.502907,0.392506,112.387528,,4174.998422,4123.585193,liquid
300.0,26.85,2160000.0,21.6,997.479191,0.001003,114.548871,0.392493,112.383413,,4174.85913,4123.422106,liquid
300.0,26.85,2210000.0,22.1,997.50154,0.001003,114.594834,0.392479,112.379298,,4174.719887,4123.259064,liquid
300.0,26.85,2260000.0,22.6,997.523887,0.001002,114.640794,0.392465,112.375184,,4174.580695,4123.096067,liquid
300.0,26.85,2310000.0,23.1,997.546232,0.001002,114.686753,0.392451,112.371071,,4174.441552,4122.933115,liquid
300.0,26.85,2360000.0,23.6,997.568574,0.001002,114.73271,0.392437,112.366958,,4174.30246,4122.770208,liquid
300.0,26.85,2410000.0,24.1,997.590914,0.001002,114.778665,0.392423,112.362845,,4174.163417,4122.607346,liquid
300.0,26.85,2460000.0,24.6,997.613252,0.001002,114.824619,0.392409,112.358733,,4174.024424,4122.444528,liquid
300.0,26.85,2510000.0,25.1,997.635587,0.001002,114.87057,0.392395,112.354622,,4173.885481,4122.281755,liquid
300.0,26.85,2560000.0,25.6,997.65792,0.001002,114.91652,0.392381,112.35051,,4173.746587,4122.119027,liquid
300.0,26.85,2610000.0,26.1,997.68025,0.001002,114.962468,0.392368,112.3464,,4173.607744,4121.956344,liquid
300.0,26.85,2660000.0,26.6,997.702578,0.001002,115.008415,0.392354,112.342289,,4173.46895,4121.793705,liquid
300.0,26.85,2710000.0,27.1,997.724904,0.001002,115.054359,0.39234,112.33818,,4173.330206,4121.631111,liquid
300.0,26.85,2760000.0,27.6,997.747228,0.001002,115.100302,0.392326,112.33407,,4173.191512,4121.468562,liquid
300.0,26.85,2810000.0,28.1,997.769549,0.001002,115.146243,0.392312,112.329962,,4173.052868,4121.306058,liquid
300.0,26.85,2860000.0,28.6,997.791867,0.001002,115.192182,0.392298,112.325853,,4172.914273,4121.143598,liquid
300.0,26.85,2910000.0,29.1,997.814184,0.001002,115.23812,0.392284,112.321745,,4172.775728,4120.981183,liquid
300.0,26.85,2960000.0,29.6,997.836498,0.001002,115.284056,0.39227,112.317638,,4172.637232,4120.818813,liquid
300.0,26.85,3010000.0,30.1,997.858809,0.001002,115.32999,0.392256,112.313531,,4172.498787,4120.656487,liquid
300.0,26.85,3060000.0,30.6,997.881119,0.001002,115.375922,0.392242,112.309424,,4172.360391,4120.494206,liquid
300.0,26.85,3110000.0,31.1,997.903425,0.001002,115.421852,0.392228,112.305318,,4172.222044,4120.331969,liquid
300.0,26.85,3160000.0,31.6,997.92573,0.001002,115.467781,0.392215,112.301213,,4172.083747,4120.169777,liquid
300.0,26.85,3210000.0,32.1,997.948032,0.001002,115.513708,0.392201,112.297108,,4171.9455,4120.00763,liquid
300.0,26.85,3260000.0,32.6,997.970332,0.001002,115.559633,0.392187,112.293003,,4171.807302,4119.845527,liquid
300.0,26.85,3310000.0,33.1,997.99263,0.001002,115.605556,0.392173,112.288899,,4171.669154,4119.683469,liquid
300.0,26.85,3360000.0,33.6,998.014925,0.001002,115.651478,0.392159,112.284795,,4171.531056,4119.521455,liquid
300.0,26.85,3410000.0,34.1,998.037218,0.001002,115.697398,0.392145,112.280692,,4171.393007,4119.359486,liquid
300.0,26.85,3460000.0,34.6,998.059508,0.001002,115.743316,0.392131,112.276589,,4171.255007,4119.197562,liquid
300.0,26.85,3510000.0,35.1,998.081796,0.001002,115.789232,0.392117,112.272486,,4171.117057,4119.035681,liquid
300.0,26.85,3560000.0,35.6,998.104082,0.001002,115.835147,0.392103,112.268384,,4170.979157,4118.873846,liquid
300.0,26.85,3610000.0,36.1,998.126365,0.001002,115.88106,0.392089,112.264283,,4170.841306,4118.712055,liquid
300.0,26.85,3660000.0,36.6,998.148647,0.001002,115.926971,0.392075,112.260182,,4170.703504,4118.550308,liquid
300.0,26.85,3710000.0,37.1,998.170925,0.001002,115.97288,0.392061,112.256082,,4170.565752,4118.388606,liquid
300.0,26.85,3760000.0,37.6,998.193202,0.001002,116.018787,0.392047,112.251981,,4170.42805,4118.226948,liquid
300.0,26.85,3810000.0,38.1,998.215476,0.001002,116.064693,0.392033,112.247882,,4170.290396,4118.065334,liquid
300.0,26.85,3860000.0,38.6,998.237747,0.001002,116.110597,0.392019,112.243783,,4170.152792,4117.903765,liquid
300.0,26.85,3910000.0,39.1,998.260017,0.001002,116.156499,0.392006,112.239684,,4170.015238,4117.742241,liquid
300.0,26.85,3960000.0,39.6,998.282284,0.001002,116.2024,0.391992,112.235586,,4169.877732,4117.58076,liquid
300.0,26.85,4010000.0,40.1,998.304548,0.001002,116.248298,0.391978,112.231488,,4169.740277,4117.419324,liquid
300.0,26.85,4060000.0,40.6,998.326811,0.001002,116.294195,0.391964,112.227391,,4169.60287,4117.257933,liquid
300.0,26.85,4110000.0,41.1,998.349071,0.001002,116.34009,0.39195,112.223294,,4169.465513,4117.096585,liquid
300.0,26.85,4160000.0,41.6,998.371328,0.001002,116.385984,0.391936,112.219197,,4169.328205,4116.935282,liquid
300.0,26.85,4210000.0,42.1,998.393584,0.001002,116.431875,0.391922,112.215101,,4169.190946,4116.774024,liquid
300.0,26.85,4260000.0,42.6,998.415837,0.001002,116.477765,0.391908,112.211006,,4169.053736,4116.612809,liquid
300.0,26.85,4310000.0,43.1,998.438087,0.001002,116.523653,0.391894,112.206911,,4168.916576,4116.451639,liquid
300.0,26.85,4360000.0,43.6,998.460335,0.001002,116.56954,0.39188,112.202816,,4168.779465,4116.290513,liquid
300.0,26.85,4410000.0,44.1,998.482581,0.001002,116.615424,0.391866,112.198722,,4168.642403,4116.129431,liquid
300.0,26.85,4460000.0,44.6,998.504825,0.001001,116.661307,0.391852,112.194628,,4168.505391,4115.968394,liquid
300.0,26.85,4510000.0,45.1,998.527066,0.001001,116.707188,0.391838,112.190535,,4168.368427,4115.807401,liquid
300.0,26.85,4560000.0,45.6,998.549305,0.001001,116.753067,0.391824,112.186442,,4168.231513,4115.646452,liquid
300.0,26.85,4610000.0,46.1,998.571542,0.001001,116.798945,0.39181,112.18235,,4168.094648,4115.485547,liquid
300.0,26.85,4660000.0,46.6,998.593776,0.001001,116.844821,0.391796,112.178258,,4167.957831,4115.324686,liquid
300.0,26.85,4710000.0,47.1,998.616008,0.001001,116.890695,0.391782,112.174167,,4167.821064,4115.163869,liquid
300.0,26.85,4760000.0,47.6,998.638237,0.001001,116.936567,0.391768,112.170076,,4167.684347,4115.003097,liquid
300.0,26.85,4810000.0,48.1,998.660465,0.001001,116.982437,0.391754,112.165985,,4167.547678,4114.842369,liquid
300.0,26.85,4860000.0,48.6,998.68269,0.001001,117.028306,0.39174,112.161895,,4167.411058,4114.681685,liquid
300.0,26.85,4910000.0,49.1,998.704912,0.001001,117.074173,0.391726,112.157806,,4167.274487,4114.521044,liquid
300.0,26.85,4960000.0,49.6,998.727132,0.001001,117.120038,0.391712,112.153717,,4167.137965,4114.360448,liquid
300.0,26.85,5010000.0,50.1,998.74935,0.001001,117.165902,0.391698,112.149628,,4167.001493,4114.199896,liquid
300.0,26.85,5060000.0,50.6,998.771566,0.001001,117.211763,0.391684,112.14554,,4166.865069,4114.039388,liquid
300.0,26.85,5110000.0,51.1,998.793779,0.001001,117.257623,0.39167,112.141452,,4166.728694,4113.878925,liquid
300.0,26.85,5160000.0,51.6,998.81599,0.001001,117.303481,0.391656,112.137365,,4166.592368,4113.718505,liquid
300.0,26.85,5210000.0,52.1,998.838198,0.001001,117.349338,0.391642,112.133278,,4166.456091,4113.558129,liquid
300.0,26.85,5260000.0,52.6,998.860405,0.001001,117.395193,0.391628,112.129191,,4166.319863,4113.397797,liquid
300.0,26.85,5310000.0,53.1,998.882608,0.001001,117.441045,0.391614,112.125106,,4166.183684,4113.237509,liquid
300.0,26.85,5360000.0,53.6,998.90481,0.001001,117.486897,0.3916,112.12102,,4166.047554,4113.077265,liquid
300.0,26.85,5410000.0,54.1,998.927009,0.001001,117.532746,0.391586,112.116935,,4165.911473,4112.917065,liquid
300.0,26.85,5460000.0,54.6,998.949206,0.001001,117.578594,0.391572,112.11285,,4165.77544,4112.756909,liquid
300.0,26.85,5510000.0,55.1,998.971401,0.001001,117.62444,0.391558,112.108766,,4165.639456,4112.596797,liquid
300.0,26.85,5560000.0,55.6,998.993593,0.001001,117.670284,0.391544,112.104682,,4165.503522,4112.436728,liquid
300.0,26.85,5610000.0,56.1,999.015783,0.001001,117.716126,0.39153,112.100599,,4165.367636,4112.276704,liquid
300.0,26.85,5660000.0,56.6,999.03797,0.001001,117.761967,0.391516,112.096516,,4165.231798,4112.116724,liquid
300.0,26.85,5710000.0,57.1,999.060156,0.001001,117.807806,0.391502,112.092434,,4165.09601,4111.956787,liquid
300.0,26.85,5760000.0,57.6,999.082339,0.001001,117.853643,0.391488,112.088352,,4164.96027,4111.796894,liquid
300.0,26.85,5810000.0,58.1,999.104519,0.001001,117.899478,0.391474,112.084271,,4164.824579,4111.637045,liquid
300.0,26.85,5860000.0,58.6,999.126697,0.001001,117.945312,0.39146,112.08019,,4164.688937,4111.47724,liquid
300.0,26.85,5910000.0,59.1,999.148873,0.001001,117.991144,0.391446,112.076109,,4164.553343,4111.317479,liquid
300.0,26.85,5960000.0,59.6,999.171047,0.001001,118.036974,0.391432,112.072029,,4164.417798,4111.157761,liquid
300.0,26.85,6010000.0,60.1,999.193218,0.001001,118.082802,0.391418,112.067949,,4164.282302,4110.998087,liquid
300.0,26.85,6060000.0,60.6,999.215387,0.001001,118.128629,0.391404,112.06387,,4164.146854,4110.838457,liquid
300.0,26.85,6110000.0,61.1,999.237554,0.001001,118.174454,0.39139,112.059792,,4164.011456,4110.678871,liquid
300.0,26.85,6160000.0,61.6,999.259718,0.001001,118.220277,0.391375,112.055713,,4163.876105,4110.519329,liquid
300.0,26.85,6210000.0,62.1,999.28188,0.001001,118.266098,0.391361,112.051635,,4163.740804,4110.35983,liquid
300.0,26.85,6260000.0,62.6,999.30404,0.001001,118.311918,0.391347,112.047558,,4163.60555,4110.200375,liquid
300.0,26.85,6310000.0,63.1,999.326197,0.001001,118.357736,0.391333,112.043481,,4163.470346,4110.040963,liquid
300.0,26.85,6360000.0,63.6,999.348352,0.001001,118.403552,0.391319,112.039404,,4163.33519,4109.881596,liquid
300.0,26.85,6410000.0,64.1,999.370505,0.001001,118.449366,0.391305,112.035328,,4163.200082,4109.722272,liquid
300.0,26.85,6460000.0,64.6,999.392655,0.001001,118.495179,0.391291,112.031253,,4163.065024,4109.562991,liquid
300.0,26.85,6510000.0,65.1,999.414803,0.001001,118.540989,0.391277,112.027178,,4162.930013,4109.403754,liquid
300.0,26.85,6560000.0,65.6,999.436949,0.001001,118.586799,0.391263,112.023103,,4162.795051,4109.244561,liquid
300.0,26.85,6610000.0,66.1,999.459093,0.001001,118.632606,0.391249,112.019029,,4162.660138,4109.085412,liquid
300.0,26.85,6660000.0,66.6,999.481234,0.001001,118.678412,0.391235,112.014955,,4162.525273,4108.926306,liquid
300.0,26.85,6710000.0,67.1,999.503372,0.001,118.724215,0.391221,112.010881,,4162.390456,4108.767243,liquid
300.0,26.85,6760000.0,67.6,999.525509,0.001,118.770018,0.391207,112.006808,,4162.255688,4108.608224,liquid
300.0,26.85,6810000.0,68.1,999.547643,0.001,118.815818,0.391193,112.002736,,4162.120968,4108.449249,liquid
300.0,26.85,6860000.0,68.6,999.569775,0.001,118.861617,0.391179,111.998664,,4161.986297,4108.290317,liquid
300.0,26.85,6910000.0,69.1,999.591904,0.001,118.907413,0.391164,111.994592,,4161.851674,4108.131429,liquid
300.0,26.85,6960000.0,69.6,999.614032,0.001,118.953209,0.39115,111.990521,,4161.717099,4107.972584,liquid
300.0,26.85,7010000.0,70.1,999.636156,0.001,118.999002,0.391136,111.98645,,4161.582573,4107.813783,liquid
300.0,26.85,7060000.0,70.6,999.658279,0.001,119.044794,0.391122,111.98238,,4161.448095,4107.655025,liquid
300.0,26.85,7110000.0,71.1,999.680399,0.001,119.090583,0.391108,111.97831,,4161.313666,4107.496311,liquid
300.0,26.85,7160000.0,71.6,999.702517,0.001,119.136372,0.391094,111.974241,,4161.179284,4107.33764,liquid
300.0,26.85,7210000.0,72.1,999.724633,0.001,119.182158,0.39108,111.970172,,4161.044951,4107.179013,liquid
300.0,26.85,7260000.0,72.6,999.746746,0.001,119.227943,0.391066,111.966104,,4160.910666,4107.020429,liquid
300.0,26.85,7310000.0,73.1,999.768857,0.001,119.273726,0.391052,111.962035,,4160.77643,4106.861888,liquid
300.0,26.85,7360000.0,73.6,999.790966,0.001,119.319507,0.391038,111.957968,,4160.642242,4106.703391,liquid
300.0,26.85,7410000.0,74.1,999.813072,0.001,119.365286,0.391024,111.953901,,4160.508102,4106.544937,liquid
300.0,26.85,7460000.0,74.6,999.835176,0.001,119.411064,0.391009,111.949834,,4160.37401,4106.386527,liquid
300.0,26.85,7510000.0,75.1,999.857278,0.001,119.45684,0.390995,111.945768,,4160.239966,4106.22816,liquid
300.0,26.85,7560000.0,75.6,999.879377,0.001,119.502614,0.390981,111.941702,,4160.10597,4106.069836,liquid
300.0,26.85,7610000.0,76.1,999.901474,0.001,119.548386,0.390967,111.937636,,4159.972023,4105.911556,liquid
300.0,26.85,7660000.0,76.6,999.923569,0.001,119.594157,0.390953,111.933572,,4159.838124,4105.753319,liquid
300.0,26.85,7710000.0,77.1,999.945662,0.001,119.639926,0.390939,111.929507,,4159.704272,4105.595125,liquid
300.0,26.85,7760000.0,77.6,999.967752,0.001,119.685693,0.390925,111.925443,,4159.570469,4105.436974,liquid
300.0,26.85,7810000.0,78.1,999.98984,0.001,119.731459,0.390911,111.921379,,4159.436714,4105.278867,liquid
300.0,26.85,7860000.0,78.6,1000.011925,0.001,119.777222,0.390897,111.917316,,4159.303007,4105.120803,liquid
300.0,26.85,7910000.0,79.1,1000.034009,0.001,119.822984,0.390882,111.913253,,4159.169349,4104.962782,liquid
300.0,26.85,7960000.0,79.6,1000.05609,0.001,119.868745,0.390868,111.909191,,4159.035738,4104.804804,liquid
300.0,26.85,8010000.0,80.1,1000.078168,0.001,119.914503,0.390854,111.905129,,4158.902175,4104.64687,liquid
300.0,26.85,8060000.0,80.6,1000.100245,0.001,119.96026,0.39084,111.901068,,4158.76866,4104.488979,liquid
300.0,26.85,8110000.0,81.1,1000.122319,0.001,120.006015,0.390826,111.897007,,4158.635193,4104.331131,liquid
300.0,26.85,8160000.0,81.6,1000.14439,0.001,120.051768,0.390812,111.892946,,4158.501774,4104.173326,liquid
300.0,26.85,8210000.0,82.1,1000.16646,0.001,120.09752,0.390798,111.888886,,4158.368404,4104.015565,liquid
300.0,26.85,8260000.0,82.6,1000.188527,0.001,120.14327,0.390784,111.884827,,4158.235081,4103.857846,liquid
300.0,26.85,8310000.0,83.1,1000.210592,0.001,120.189018,0.390769,111.880767,,4158.101806,4103.700171,liquid
300.0,26.85,8360000.0,83.6,1000.232654,0.001,120.234764,0.390755,111.876708,,4157.968578,4103.542538,liquid
300.0,26.85,8410000.0,84.1,1000.254714,0.001,120.280509,0.390741,111.87265,,4157.835399,4103.384949,liquid
300.0,26.85,8460000.0,84.6,1000.276772,0.001,120.326251,0.390727,111.868592,,4157.702268,4103.227403,liquid
300.0,26.85,8510000.0,85.1,1000.298828,0.001,120.371993,0.390713,111.864535,,4157.569184,4103.0699,liquid
300.0,26.85,8560000.0,85.6,1000.320881,0.001,120.417732,0.390699,111.860478,,4157.436149,4102.91244,liquid
300.0,26.85,8610000.0,86.1,1000.342932,0.001,120.46347,0.390684,111.856421,,4157.303161,4102.755023,liquid
300.0,26.85,8660000.0,86.6,1000.364981,0.001,120.509205,0.39067,111.852365,,4157.170221,4102.597649,liquid
300.0,26.85,8710000.0,87.1,1000.387027,0.001,120.55494,0.390656,111.848309,,4157.037328,4102.440319,liquid
300.0,26.85,8760000.0,87.6,1000.409071,0.001,120.600672,0.390642,111.844254,,4156.904484,4102.283031,liquid
300.0,26.85,8810000.0,88.1,1000.431113,0.001,120.646403,0.390628,111.840199,,4156.771687,4102.125786,liquid
300.0,26.85,8860000.0,88.6,1000.453153,0.001,120.692132,0.390614,111.836145,,4156.638938,4101.968584,liquid
300.0,26.85,8910000.0,89.1,1000.47519,0.001,120.737859,0.3906,111.832091,,4156.506237,4101.811425,liquid
300.0,26.85,8960000.0,89.6,1000.497225,0.001,120.783584,0.390585,111.828037,,4156.373583,4101.654309,liquid
300.0,26.85,9010000.0,90.1,1000.519257,0.000999,120.829308,0.390571,111.823984,,4156.240977,4101.497236,liquid
300.0,26.85,9060000.0,90.6,1000.541287,0.000999,120.87503,0.390557,111.819932,,4156.108419,4101.340206,liquid
300.0,26.85,9110000.0,91.1,1000.563315,0.000999,120.92075,0.390543,111.815879,,4155.975909,4101.183218,liquid
