T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,q_quality,cp_J_kgK,cv_J_kgK,phase
338.15,65.0,10000.0,0.1,0.064233,15.56831,2620.72935,8.261081,2465.046251,,1910.83767,1439.211073,gas
338.15,65.0,20000.0,0.2,0.128787,7.764775,2618.609336,7.936039,2463.313843,,1951.046195,1468.277083,gas
338.15,65.0,30000.0,0.3,980.519499,0.00102,272.120116,0.893649,272.08952,,4187.478777,3951.096143,liquid
338.15,65.0,40000.0,0.4,980.523892,0.00102,272.128404,0.893644,272.087609,,4187.456797,3951.074203,liquid
338.15,65.0,50000.0,0.5,980.528285,0.00102,272.136691,0.893638,272.085698,,4187.434819,3951.052264,liquid
338.15,65.0,60000.0,0.6,980.532677,0.00102,272.144979,0.893632,272.083787,,4187.412841,3951.030325,liquid
338.15,65.0,70000.0,0.7,980.53707,0.00102,272.153266,0.893627,272.081877,,4187.390865,3951.008388,liquid
338.15,65.0,80000.0,0.8,980.541462,0.00102,272.161554,0.893621,272.079966,,4187.36889,3950.986451,liquid
338.15,65.0,90000.0,0.9,980.545854,0.00102,272.169841,0.893616,272.078056,,4187.346916,3950.964516,liquid
338.15,65.0,100000.0,1.0,980.550246,0.00102,272.178129,0.89361,272.076145,,4187.324943,3950.942581,liquid
338.15,65.0,110000.0,1.1,980.554638,0.00102,272.186416,0.893604,272.074235,,4187.302972,3950.920647,liquid
338.15,65.0,120000.0,1.2,980.55903,0.00102,272.194704,0.893599,272.072325,,4187.281002,3950.898714,liquid
338.15,65.0,130000.0,1.3,980.563422,0.00102,272.202991,0.893593,272.070414,,4187.259033,3950.876782,liquid
338.15,65.0,140000.0,1.4,980.567814,0.00102,272.211279,0.893587,272.068504,,4187.237065,3950.854851,liquid
338.15,65.0,150000.0,1.5,980.572205,0.00102,272.219566,0.893582,272.066594,,4187.215099,3950.83292,liquid
338.15,65.0,160000.0,1.6,980.576597,0.00102,272.227854,0.893576,272.064684,,4187.193134,3950.810991,liquid
338.15,65.0,170000.0,1.7,980.580988,0.00102,272.236141,0.89357,272.062774,,4187.17117,3950.789062,liquid
338.15,65.0,180000.0,1.8,980.585379,0.00102,272.244428,0.893565,272.060865,,4187.149207,3950.767134,liquid
